t,z,y,vz,vy,thrust_z,thrust_y,battery,delta,A,e_R,lf,vy_value,wh_rth,wh_land,crashed,landed,decision
0.52,2.4650309999999998,118.8075,0.24683999999999945,-4.416666666666668,20.0,-10.0,0.09388141727255377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.53,2.4681850666666665,118.7625,0.3154066666666661,-4.500000000000001,20.0,-10.0,0.09386031193807365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.54,2.4720248,118.71666666666667,0.3839733333333328,-4.583333333333334,20.0,-10.0,0.09383920660359353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.55,2.4765501999999997,118.67,0.45253999999999944,-4.666666666666667,20.0,-10.0,0.09381810126911341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.56,2.481761266666666,118.6225,0.5211066666666662,-4.75,20.0,-10.0,0.0937969959346333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.5700000000000001,2.4876579999999997,118.57416666666667,0.5896733333333328,-4.833333333333333,20.0,-10.0,0.09377589060015318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.58,2.4942404,118.525,0.6582399999999995,-4.916666666666666,20.0,-10.0,0.09375478526567306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.59,2.5,118.47500000000001,-0.21804199999999985,-4.999999999999999,20.0,-10.0,0.09373367993119294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.6,2.498505246666667,118.42416666666668,-0.14947533333333318,-5.083333333333332,20.0,-10.0,0.09371257459671282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.61,2.4976961600000003,118.37250000000002,-0.0809086666666665,-5.166666666666665,20.0,-10.0,0.09369146926223271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.62,2.4975727400000003,118.32000000000002,-0.012341999999999825,-5.249999999999998,20.0,-10.0,0.09367036392775259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.63,2.498134986666667,118.2666666666667,0.05622466666666685,-5.333333333333331,20.0,-10.0,0.09364925859327247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.64,2.4993829,118.21250000000003,0.12479133333333353,-5.416666666666664,20.0,-10.0,0.09362815325879235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.65,2.5,118.15750000000003,-0.058007400000000056,-5.499999999999997,20.0,-10.0,0.09360704792431224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.66,2.5,118.10166666666669,-0.003167779999999987,-5.58333333333333,20.0,-10.0,0.09358594258983212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.67,2.5,118.04500000000002,-0.019619666000000008,-5.666666666666663,20.0,-10.0,0.093564837255352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.68,2.5,117.98750000000001,-0.014684100200000001,-5.7499999999999964,20.0,-10.0,0.09354373192087188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.6900000000000001,2.5,117.92916666666667,-0.016164769940000004,-5.8333333333333295,20.0,-10.0,0.09352262658639177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.7000000000000001,2.5,117.87,-0.015720569018,-5.9166666666666625,20.0,-10.0,0.09350152125191165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.71,2.5,117.81,-0.015853829294600004,-5.999999999999996,20.0,-10.0,0.09348041591743153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.72,2.5,117.74916666666667,-0.015813851211620003,-6.083333333333329,20.0,-10.0,0.09345931058295141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.73,2.5,117.6875,-0.015825844636514003,-6.166666666666662,20.0,-10.0,0.0934382052484713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.74,2.5,117.625,-0.0158222466090458,-6.249999999999995,20.0,-10.0,0.09341709991399118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.75,2.5,117.56166666666667,-0.015823326017286265,-6.333333333333328,20.0,-10.0,0.09339599457951106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.76,2.5,117.4975,-0.015823002194814122,-6.416666666666661,20.0,-10.0,0.09337488924503094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.77,2.5,117.4325,-0.015823099341555767,-6.499999999999994,20.0,-10.0,0.09335378391055082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.78,2.5,117.36666666666667,-0.015823070197533273,-6.583333333333327,20.0,-10.0,0.09333267857607071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.79,2.5,117.30000000000001,-0.01582307894074002,-6.66666666666666,20.0,-10.0,0.09331157324159059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.8,2.5,117.23250000000002,-0.015823076317777997,-6.749999999999993,20.0,-10.0,0.09329046790711047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.81,2.5,117.16416666666669,-0.015823077104666603,-6.833333333333326,20.0,-10.0,0.09326936257263035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.8200000000000001,2.5,117.09500000000003,-0.015823076868600024,-6.916666666666659,20.0,-10.0,0.09324825723815024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.8300000000000001,2.5,117.02500000000003,-0.015823076939419995,-6.999999999999992,20.0,-10.0,0.09322715190367012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.84,2.5,116.9541666666667,-0.015823076918174004,-7.083333333333325,20.0,-10.0,0.09320604656919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.85,2.5,116.88250000000002,-0.0158230769245478,-7.166666666666658,20.0,-10.0,0.09318494123470988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.86,2.5,116.81000000000002,-0.01582307692263566,-7.249999999999991,20.0,-10.0,0.09316383590022977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.87,2.5,116.73666666666668,-0.015823076923209306,-7.333333333333324,20.0,-10.0,0.09314273056574965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.88,2.5,116.66250000000001,-0.01582307692303721,-7.416666666666657,20.0,-10.0,0.09312162523126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.89,2.5,116.5875,-0.01582307692308884,-7.49999999999999,20.0,-10.0,0.09310051989678941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.9,2.5,116.51166666666667,-0.015823076923073352,-7.583333333333323,20.0,-10.0,0.0930794145623093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.91,2.5,116.435,-0.015823076923077998,-7.666666666666656,20.0,-10.0,0.09305830922782918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.92,2.5,116.3575,-0.015823076923076603,-7.749999999999989,20.0,-10.0,0.09303720389334906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.93,2.5,116.27916666666667,-0.01582307692307702,-7.833333333333322,20.0,-10.0,0.09301609855886894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.9400000000000001,2.5,116.2,-0.015823076923076895,-7.916666666666655,20.0,-10.0,0.09299499322438882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.9500000000000001,2.5,116.12,-0.015823076923076933,-7.9999999999999885,20.0,-10.0,0.09297388788990871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.96,2.5,116.03916666666667,-0.015823076923076922,-8.083333333333321,20.0,-10.0,0.09295278255542859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.97,2.5,115.95750000000001,-0.015823076923076926,-8.166666666666655,20.0,-10.0,0.09293167722094847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.98,2.5,115.87500000000001,-0.015823076923076926,-8.24999999999999,20.0,-10.0,0.09291057188646835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
