t,z,y,vz,vy,thrust_z,thrust_y,delta,A,e_R,lf,vy_value,wind_y
25.91,1.191174494931995,-0.15733386671066518,0.0019718292870756922,4.597421459117323e-05,12.1600077714215,-0.15428990192993783,0.0029313570622464553,1.0,-0.0,0.4114,1.0,0.0
25.92,1.1911938024270976,-0.1573334146310293,0.0019307495102616197,4.520796359046429e-05,11.767070426782311,-9.194842918234646e-05,4.650499357378203,1.0,-0.0,0.4114,1.0,0.0
25.93,1.1912127076827188,-0.15733297008619024,0.0018905255621311664,4.4454483905556743e-05,11.767173126224346,-9.041592718092859e-05,4.561146468312591,1.0,-0.0,0.4114,1.0,0.0
25.94,1.191247752437059,-0.15734838339531085,0.0035044754340247584,-0.00154133091206108,11.965673984627232,-0.19029424593503547,0.002507697112035071,1.0,-0.0,0.4114,1.0,0.0
25.95,1.1912820670923505,-0.15736353965756605,0.0034314655291492356,-0.001515626225520192,11.763238811414938,0.00308266182412216,3.3671951470201837,1.0,-0.0,0.4114,1.0,0.0
25.96,1.1913156668589902,-0.1573784431623088,0.003359976663958637,-0.001490350474275819,11.763421336177128,0.003031252451040384,3.3023984429332955,1.0,-0.0,0.4114,1.0,0.0
25.97,1.191351862524959,-0.1573914156073266,0.00361956659689211,-0.0012972445017791793,11.803150791952017,0.02317093978396782,0.005820559638837772,1.0,-0.0,0.4114,1.0,0.0
25.98,1.1913873041145537,-0.15740417173273788,0.003544158959456869,-0.0012756125411275438,11.76295108350777,0.0025944890035583586,0.5170168555935426,1.0,-0.0,0.4114,1.0,0.0
25.990000000000002,1.1914220073376984,-0.15741671514757982,0.0034703223144681773,-0.0012543414841930509,11.763139602601358,0.0025512250822550876,0.510353166137193,1.0,-0.0,0.4114,1.0,0.0
26.0,1.1914634363029222,-0.15744121251566,0.004142896522375086,-0.0024497368080201075,11.852708904948829,-0.143448697557294,0.005736204240619188,1.0,-0.0,0.4114,1.0,0.0
26.01,1.1915040021647039,-0.15746530119419153,0.004056586178158935,-0.0024088678531502487,11.761642758694062,0.004899473616040215,2.0377960149265086,1.0,-0.0,0.4114,1.0,0.0
26.02,1.191543722904365,-0.15748898800790453,0.003972073966113961,-0.002368681371302185,11.761858534554603,0.004817735706300497,2.0002360027834163,1.0,-0.0,0.4114,1.0,0.0
26.03,1.1915670386632784,-0.15752651492499922,0.002331575891327358,-0.0037526917094679296,11.575140231025607,-0.16608572910104036,0.007468552948694078,1.0,-0.0,0.4114,1.0,0.0
26.04,1.1915898686772144,-0.15756341545462932,0.0022830013935913845,-0.0036900529630096886,11.766171060271683,0.007505383418935859,3.1011630192735318,1.0,-0.0,0.4114,1.0,0.0
