beta,sigma,potencia_base,semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
0.88,5,0.3,6,-0.24590618453250906,2.6,0.00023968743473564677,0.13083022766219107
0.88,5,0.47,6,-0.2809097379548534,1,-0.0019662640560446144,0.13572562390566975
0.88,5,0.65,6,-0.28870765338059295,1,0.00125171807526303,0.1339759858891694
0.88,6.8,0.3,6,-0.24590618453250906,2.1,0.0061426003856959455,0.13119628240220413
0.88,6.8,0.47,6,-0.2809097379548534,1.2,-0.004468816039696579,0.13370532574438987
0.88,6.8,0.65,6,-0.28870765338059295,0.5,-0.005772333050421722,0.1253582167123248
0.88,8,0.3,6,-0.24590618453250906,2.8,0.0028950630897588417,0.1340863333201655
0.88,8,0.47,6,-0.2809097379548534,1.4,-0.000009817406922746575,0.12909625303382377
0.88,8,0.65,6,-0.28870765338059295,1,-0.002504395505340592,0.12984377885520068
0.94,3,0.3,6,-0.2520637243866597,1.4,-0.0031656509143380075,0.13020824804239806
0.94,3,0.47,6,-0.29318071263721834,1.4,-0.0009946773837316756,0.13069702916607273
0.94,3,0.65,6,-0.2960412008848349,0.7,-0.0021450440528299427,0.13150910035102842
0.94,5,0.3,6,-0.2520637243866597,2,0.001160496178360486,0.13033665215622822
0.94,5,0.47,6,-0.29318071263721834,0.6,0.004381936881126296,0.13016455816527203
0.94,5,0.65,6,-0.2960412008848349,0.8,0.00841796615643745,0.13079571312407492
0.94,6.8,0.3,6,-0.2520637243866597,2.3,-0.002242587234183721,0.13368644192164367
0.94,6.8,0.47,6,-0.29318071263721834,0.9,-0.005522217653874909,0.1276007867617481
0.94,6.8,0.65,6,-0.2960412008848349,1.2,-0.00013408873472409424,0.12839820912422917
0.94,8,0.3,6,-0.2520637243866597,2.3,-0.0024616426048853935,0.1308745358235877
0.94,8,0.47,6,-0.29318071263721834,0.8,-0.007412896693100855,0.1285348607863631
0.94,8,0.65,6,-0.2960412008848349,1.4,-0.0005978122557867358,0.13001135405779987
0.98,3,0.3,6,-0.25133318997783716,1.5,0.0008734503796513956,0.13218362409610515
0.98,3,0.47,6,-0.3074370749714509,0.3,-0.003916835231668979,0.12958320404648116
0.98,3,0.65,6,-0.30209021853967155,0.8,0.0015454281697811333,0.1257199994253022
0.98,5,0.3,6,-0.25133318997783716,1.7,0.0009888689848210619,0.136298558251525
0.98,5,0.47,6,-0.3074370749714509,0.7,0.0007908914370827847,0.13575585184032316
0.98,5,0.65,6,-0.30209021853967155,1,0.00021903670778189202,0.1268830636923227
0.98,6.8,0.3,6,-0.25133318997783716,2.2,0.004840065815658922,0.1323541177861276
0.98,6.8,0.47,6,-0.3074370749714509,0.2,0.003897485937849026,0.12768758466180655
0.98,6.8,0.65,6,-0.30209021853967155,0.9,0.0050842104835962555,0.1258217366718908
0.98,8,0.3,6,-0.25133318997783716,2.1,0.0004781267445718352,0.12951162805324154
0.98,8,0.47,6,-0.3074370749714509,0.6,-0.0016645980660692503,0.12962715174911218
0.98,8,0.65,6,-0.30209021853967155,1.6,-0.012741015339709819,0.13453142112854813
0.8,3,0.3,7,-0.24443477164960864,2,0.0020392427454004407,0.12746028326017966
0.8,3,0.47,7,-0.31264595025492403,0.1,0.0002986187524518595,0.12876637089491477
0.8,3,0.65,7,-0.2752703337476133,1.2,-0.007823110108673105,0.12607654794073755
0.8,5,0.3,7,-0.24443477164960864,2.4,0.0023584117285336144,0.13244976252573584
0.8,5,0.47,7,-0.31264595025492403,0.2,0.0037457116612530945,0.131784629604199
0.8,5,0.65,7,-0.2752703337476133,1.4,-0.001532448184560563,0.12764338497795535
0.8,6.8,0.3,7,-0.24443477164960864,1.4,0.0005806164920747483,0.12848784647365818
0.8,6.8,0.47,7,-0.31264595025492403,0.5,-0.012916399102830664,0.12938408891476771
0.8,6.8,0.65,7,-0.2752703337476133,1.1,0.004981617690029813,0.1252371250559776
0.8,8,0.3,7,-0.24443477164960864,2.9,-0.004040297994624371,0.13374642962600464
0.8,8,0.47,7,-0.31264595025492403,0.4,-0.0022037174783770467,0.12773467393555482
0.8,8,0.65,7,-0.2752703337476133,1.1,0.0023814260396848347,0.12794293023466458
