semilla,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.8059322033898304,0.9967916319816366,4.315260278211836,0,3.0891116171466004,4.399810137671914,8.9112505123671,40.49900107098984,0.9564459744340359,0.001768611886374897,0.035478850819011414,0.0009063129253881613,0.0009063129253881613,0.07765248596691532,72,0.3576894653357906,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.8347457627118644,0.9871377743721863,4.352568249272905,0.954434002924965,3.0492510550258065,4.383905830830391,8.913276138891439,35.95267737629342,0.9425962163451875,0.0018275902273131377,0.03350280572781471,0.0007371052797882499,0.0007371052797882499,0.07749632212100555,60,0.3600696865334621,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.8635593220338984,0.954434002924965,4.307112727972774,0,3.137778724741942,4.068199121261653,8.941478372865685,35.24788816116187,0.915087064034202,0.0018980523204450302,0.031675777889845866,0.001144245936097188,0.001144245936097188,0.07837709712376817,66,0.3625656261486583,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.892372881355932,0.9709505944546686,4.321829375574571,0,3.0641584760609843,4.237792642043601,8.59182534981358,32.755155138524884,0.9158467651598329,0.0018045396894965998,0.028730342006139473,0.000566517843125499,0.000566517843125499,0.0782354244345333,48,0.3654267168311927,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.921186440677966,0.9927744539878083,4.25640258061938,0,3.097781720375592,4.28495330598933,8.08620831666903,36.00615366377874,0.8864481068871078,0.0016350782420797212,0.025708302036126836,0.0005748415446346807,0.0005748415446346807,0.07796102172182873,49,0.3694953169160024,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.95,0.38431154412649704,4.267803126904801,0,3.0916960516857834,0,5.143429415782275,27.313855378627242,0.7963921000480633,0.001997680080905779,0.023500000000448804,4.3084771861323645e-12,4.3084771861323645e-12,0.07853464341582733,1,0.37165349620294325,banda<=ruido,1
2,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.25,1.4797136292091593,4.311803513585433,0,3.1108929575556092,4.158643715549576,4.451435188286698,11.093580305868308,0.35207543472185,0.0017350211502043618,0.264798302343682,0.008014158108010871,0.008014158108010871,0.07837401085812595,113,0.11444480347115076,banda<=ruido,0
2,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.2788135593220339,1.8312822501705275,4.392907084016078,0,3.114133899867744,4.216641934372458,4.11500214629423,13.542587438847757,0.37247416359690855,0.0017998632232211305,0.2572790683374908,0.00903816061919177,0.00903816061919177,0.07733108928194266,111,0.122875959663645,banda<=ruido,0
2,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3076271186440678,1.6294551483848818,4.303859731926414,0,3.0840965785393135,4.167642275436181,3.7983625660332563,10.52172022918207,0.3903791908631037,0.0018069186839487364,0.24883071011488592,0.009186452960342872,0.009186452960342872,0.0769190706850495,108,0.13187283464691207,banda<=ruido,0
2,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.33644067796610166,1.304183825166765,4.318478556645958,0.4420086022277248,3.134668882262914,3.601866195442658,3.760727865401356,24.27322492735574,0.4497764082589055,0.00139582954704727,0.2290439102453464,0.012866126223918084,0.012866126223918084,0.07780633847042917,110,0.15908068933128122,banda<=ruido,0
2,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3652542372881356,0.9658666887161,4.383772393905361,0.941291028227705,3.160071940962,4.334472647299133,4.971839588305954,99.14007495604096,0.6041207515358952,0.00169221286257202,0.1669062535681758,0.0038702073523519953,0.0038702073523519953,0.07816316825873215,106,0.21355827507963127,banda<=ruido,0
2,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3940677966101695,0.9480782435939055,4.339737289612492,0,3.1047913979425807,4.2223217147457905,4.990041290325711,94.5628239566369,0.6399345110752611,0.0017134913648258747,0.15235802889425956,0.0034143828188981096,0.0034143828188981096,0.07786586225079373,101,0.22648578923031426,banda<=ruido,0
2,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.4228813559322034,0.975617030221205,4.36613870240297,0,3.078074289525604,4.41132000116757,4.913112584653822,123.26368721256931,0.6711378963824716,0.001668280401953702,0.14194482035566144,0.004255067750751962,0.004255067750751962,0.07736984015302734,108,0.23884490473929745,banda<=ruido,0
2,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.45169491525423733,0.8912402011913028,4.344555990847891,0,2.9328748291465923,4.371591246311057,4.821493079132696,124.0012597506602,0.7034840072095273,0.0017717661909204304,0.1329597457119309,0.002391364509277877,0.002391364509277877,0.07566131980251523,98,0.2510143526963691,banda<=ruido,0
2,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.4805084745762712,0.8812908992306927,4.313327604200167,0,3.0544561361819467,4.305341962288847,4.8143961409845035,129.9761544993286,0.7249064878568033,0.001720774814378447,0.12247552001681178,0.002683997880236197,0.002683997880236197,0.07818924546521155,90,0.2598121810945954,banda<=ruido,0
