t,z,vz,thrust,delta,A,e_R,lf
15.44,0.3205903850568003,-0.006836402298661328,11.793035083995882,2.1286029001113342,1.0,-0.0,0.4114
15.450000000000001,0.32052679445189197,-0.00635906049083526,11.82928101693913,0.011506370732788165,1.0,-0.0,0.4114
15.46,0.32046479361210634,-0.0062000839785643705,11.791077181472506,0.32114311350676616,1.0,-0.0,0.4114
15.47,0.3204043427933153,-0.006045081879100254,11.790600251935693,0.32472435604601413,1.0,-0.0,0.4114
15.48,0.3203145714953658,-0.008977129794949433,11.420154250098099,0.010174496785338126,1.0,-0.0,0.4114
15.49,0.32022704447986505,-0.008752701550075691,11.79893138938485,3.204331931947262,1.0,-0.0,0.4114
15.5,0.3201417056397518,-0.008533884011323807,11.798258104650227,3.16545329051787,1.0,-0.0,0.4114
15.51,0.3200916190933474,-0.00500865464044286,12.195027524505713,0.014363407671932199,1.0,-0.0,0.4114
15.52,0.32004278471060305,-0.004883438274431786,11.787025963921328,3.4474210069643,1.0,-0.0,0.4114
15.530000000000001,0.3199951711874273,-0.004761352317570992,11.786650314823296,3.4050216595103158,1.0,-0.0,0.4114
15.540000000000001,0.3199475576642516,-0.004761352317570992,11.772,0.008013847424711874,1.0,-0.0,0.4114
15.55,0.31989994414107586,-0.004761352317570992,11.772,0.1220859568607938,1.0,-0.0,0.4114
15.56,0.31985233061790014,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.57,0.3198047170947244,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.58,0.3197571035715487,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.59,0.31970949004837296,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.6,0.31966187652519723,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.610000000000001,0.3196142630020215,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.620000000000001,0.3195666494788458,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.63,0.31951903595567005,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.64,0.3194714224324943,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.65,0.3194238089093186,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.66,0.31937619538614287,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.67,0.31932858186296714,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.68,0.3192809683397914,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.69,0.3192333548166157,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.700000000000001,0.31918574129343996,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.71,0.31913812777026423,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.72,0.3190905142470885,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.73,0.3190429007239128,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.74,0.31899528720073705,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.75,0.3189476736775613,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.76,0.3189000601543856,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.77,0.3188524466312099,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.780000000000001,0.31880483310803415,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.790000000000001,0.3187572195848584,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.8,0.3187096060616827,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.81,0.31866199253850697,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.82,0.31861437901533124,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.83,0.3185667654921555,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.84,0.3185191519689798,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.85,0.31847153844580406,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.860000000000001,0.31842392492262833,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.870000000000001,0.3183763113994526,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.88,0.3183286978762769,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.89,0.31828108435310115,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.9,0.3182334708299254,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.91,0.3181858573067497,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.92,0.31813824378357397,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.93,0.31809063026039824,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.94,0.3180430167372225,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.950000000000001,0.3179954032140468,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.96,0.31794778969087106,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.97,0.31790017616769534,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.98,0.3178525626445196,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
15.99,0.3178049491213439,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.0,0.31775733559816816,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.01,0.31770972207499243,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.02,0.3176621085518167,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.03,0.317614495028641,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.04,0.31756688150546525,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.05,0.3175192679822895,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.06,0.3174716544591138,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.07,0.31742404093593807,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.080000000000002,0.31737642741276234,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.09,0.3173288138895866,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.1,0.3172812003664109,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.11,0.31723358684323516,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.12,0.31718597332005943,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.13,0.3171383597968837,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.14,0.317090746273708,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.15,0.31704313275053225,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.16,0.3169955192273565,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.17,0.3169479057041808,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.18,0.31690029218100507,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.19,0.31685267865782935,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.2,0.3168050651346536,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
