seed,brazo,etiqueta,n_edges,n_tri,dof,n_sweeps,eventos_por_sweep,dt,h,h_null,h_shuf,aristas_tocadas,frac_cobertura,frac_aristas_cero,gini_cobertura,entropia_cobertura,conteo_max,conteo_medio,frac_punteria,solape_nodos_trio,disp_intra_trio_destino,disp_intra_trio_real
3,F_azar_desalineado,F azar DESALINEADO (nuevo),606,221,827,99,663,6.419,0.42015259193284754,1.5117224891767953,0.3840208936841803,410,0.6765676567656765,0.32343234323432346,0.4963860639457611,0.9198399176501402,5.0,1.0940594059405941,0.6711915535444947,0.12217194570135746,0.02558191764860273,0.029203218238029818
3,G_trio_real_azar,G trío real AZAR c/reempl.,606,221,827,99,663,6.123,0.25162812944955987,1.5117224891767953,0.3840208936841803,306,0.504950495049505,0.49504950495049505,0.6587045582386293,0.8649456858087046,8.0,1.0940594059405941,1.0,3.0,0.02701371654813998,0.024843789170726212
3,H_azarTri_desalin,H sueltas-DE-triáng. desalin.,606,221,827,99,663,6.142,0.4397129938348837,1.5117224891767953,0.3840208936841803,331,0.5462046204620462,0.4537953795379538,0.6113400932853466,0.8835328525503328,7.0,1.0940594059405941,1.0,0.13574660633484162,0.03013329741376427,0.027846069334967846
3,I_azarTri_alineado,I sueltas-DE-triáng. alineado,606,221,827,99,663,5.501,0.3069437685607218,1.5117224891767953,0.3840208936841803,330,0.5445544554455446,0.4554455445544554,0.6103395407414043,0.8835491485382714,7.0,1.0940594059405941,1.0,0.14479638009049775,0.02005912019071605,0.018625440692595852
4,A_correcto,A trío CORRECTO (=REAL),562,188,750,106,564,4.731,0.22901401385750414,1.509046192161851,0.3366382218880958,358,0.6370106761565836,0.3629893238434164,0.5210178945508694,0.9102800914331155,5.0,1.00355871886121,1.0,3.0,0.0253181905995955,0.0253181905995955
4,B_casi_correcto,B trío CASI-correcto (1+2),562,188,750,106,564,5.234,0.3447441870317124,1.509046192161851,0.3366382218880958,357,0.6352313167259787,0.36476868327402134,0.5262171575679564,0.9089883097666658,5.0,1.00355871886121,0.7872340425531915,0.0851063829787234,0.022813459492076454,0.019648113135203198
4,C_azar,C trío AL AZAR (=REWIRE),562,188,750,106,564,4.474,0.42959812417354215,1.509046192161851,0.3366382218880958,369,0.6565836298932385,0.3434163701067615,0.4947881174124833,0.9176679255809455,5.0,1.00355871886121,0.6312056737588653,0.06914893617021277,0.025280999076763105,0.02529192398008297
4,D_sin_trios,D SIN TRÍOS (=GLOBAL),562,188,750,106,562,4.567,0.3528816339410831,1.509046192161851,0.3366382218880958,562,1.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.6370106761565836,nan,nan,0.02096016609933588
4,E_equivocado,E trío EQUIVOCADO (=LOC.ROTO),562,188,750,106,564,4.012,0.5206277717456147,1.509046192161851,0.3366382218880958,358,0.6370106761565836,0.3629893238434164,0.5210178945508694,0.9102800914331155,5.0,1.00355871886121,1.0,3.0,0.026395506313540686,0.026395506313540686
4,F_azar_desalineado,F azar DESALINEADO (nuevo),562,188,750,106,564,4.267,0.4377603094004933,1.509046192161851,0.3366382218880958,368,0.6548042704626335,0.34519572953736655,0.5058870296055122,0.9145942130110414,5.0,1.00355871886121,0.6382978723404256,0.13829787234042554,0.037756319241780356,0.030971801588182267
4,G_trio_real_azar,G trío real AZAR c/reempl.,562,188,750,106,564,4.662,0.26708554692491426,1.509046192161851,0.3366382218880958,273,0.48576512455516013,0.5142348754448398,0.6637767850382372,0.860390309426574,8.0,1.00355871886121,1.0,3.0,0.025886036156722733,0.027655389587778335
4,H_azarTri_desalin,H sueltas-DE-triáng. desalin.,562,188,750,106,564,4.656,0.3989582322462442,1.509046192161851,0.3366382218880958,279,0.49644128113879005,0.50355871886121,0.6505325458721385,0.8661382596409315,6.0,1.00355871886121,1.0,0.1702127659574468,0.030113674020487924,0.031057743399306
4,I_azarTri_alineado,I sueltas-DE-triáng. alineado,562,188,750,106,564,4.572,0.3538414132368952,1.509046192161851,0.3366382218880958,280,0.498220640569395,0.501779359430605,0.6390234976401403,0.8698494585324967,5.0,1.00355871886121,1.0,0.12234042553191489,0.024074608458288706,0.020923502767593187
5,A_correcto,A trío CORRECTO (=REAL),583,193,776,102,579,4.271,0.5773901055520302,1.4691812534911297,1.446606892473561,367,0.6295025728987993,0.3704974271012007,0.5242314631306713,0.9099175419031693,4.0,0.9931389365351629,1.0,3.0,0.048380870555387624,0.048380870555387624
5,B_casi_correcto,B trío CASI-correcto (1+2),583,193,776,102,579,4.027,0.36654775987785987,1.4691812534911297,1.446606892473561,359,0.6157804459691252,0.3842195540308748,0.5364012596391128,0.9057254762099568,6.0,0.9931389365351629,0.7754749568221071,0.10362694300518134,0.02491505840435622,0.01993628053558234
5,C_azar,C trío AL AZAR (=REWIRE),583,193,776,102,579,4.634,0.3414008857164178,1.4691812534911297,1.446606892473561,374,0.6415094339622641,0.3584905660377359,0.5079438435582733,0.9140108838093851,6.0,0.9931389365351629,0.6424870466321243,0.11398963730569948,0.024146645893353535,0.021189773984755293
5,D_sin_trios,D SIN TRÍOS (=GLOBAL),583,193,776,102,583,4.298,1.4424823113042389,1.4691812534911297,1.446606892473561,583,1.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.6295025728987993,nan,nan,0.018337987144823934
5,E_equivocado,E trío EQUIVOCADO (=LOC.ROTO),583,193,776,102,579,4.252,0.5120925906130037,1.4691812534911297,1.446606892473561,367,0.6295025728987993,0.3704974271012007,0.5242314631306713,0.9099175419031693,4.0,0.9931389365351629,1.0,3.0,0.027128704327616448,0.027128704327616455
5,F_azar_desalineado,F azar DESALINEADO (nuevo),583,193,776,102,579,4.264,0.5126275778619601,1.4691812534911297,1.446606892473561,373,0.6397941680960549,0.36020583190394506,0.5146923334429445,0.9123275193180559,5.0,0.9931389365351629,0.6649395509499136,0.15025906735751296,0.031856814053688516,0.03284100215464953
5,G_trio_real_azar,G trío real AZAR c/reempl.,583,193,776,102,579,4.342,0.28633555108064523,1.4691812534911297,1.446606892473561,254,0.43567753001715265,0.5643224699828473,0.7140719937669786,0.8373964515954814,10.0,0.9931389365351629,1.0,3.0,0.020064559542285948,0.019784366147845317
5,H_azarTri_desalin,H sueltas-DE-triáng. desalin.,583,193,776,102,579,4.192,0.40782561728266103,1.4691812534911297,1.446606892473561,292,0.5008576329331046,0.4991423670668954,0.6435298334799753,0.8692319623049533,6.0,0.9931389365351629,1.0,0.09326424870466321,0.023509720535267686,0.024270125413203537
5,I_azarTri_alineado,I sueltas-DE-triáng. alineado,583,193,776,102,579,4.8,0.30366278924925155,1.4691812534911297,1.446606892473561,290,0.4974271012006861,0.5025728987993139,0.6392816620600374,0.8701486724523839,6.0,0.9931389365351629,1.0,0.12953367875647667,0.02254174353386804,0.01907888275466073
