rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio,fuente,paso_phantom
A2-B0-C2-batch4-r161,III,587446,5,0.693,0.147,5.75,5,0.24,0.7667119743764854,0.2828427118746191,4.825729036660449,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r179,III,589192,7,0.653,0.272,4.75,5,0.315,0.7667618060260207,0.19611613502279934,2.4917638531312796,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r4,III,272217,7,0.661,0.261,4.39,7,0.189,0.7671457558663973,2.9698484746835,1.6055037626115969,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch4-r80,III,579589,6,0.637,0.231,4.01,5,0.325,0.7680352968108531,0.3863703299156272,1.0190015450669898,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r114,III,482887,6,0.749,0.209,7.44,6,0.279,0.7685330652018255,0.848528135623857,2.216203230322878,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r26,III,574351,5,0.454,0.279,5.94,5,0.272,0.7694520367154973,0.3863703299156272,1.7385428897078437,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r206,III,591811,4,0.353,0.263,5.22,5,0.249,0.769658908689659,0.9141620157685644,2.4735494237776035,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r106,III,482111,7,0.424,0.145,6.89,5,0.154,0.7704864777940506,0.527791685852937,2.4270955561999568,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r72,III,578813,4,0.607,0.234,6.39,5,0.343,0.7720389176874827,0.7794944171077492,2.0930056917630764,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch3-r77,III,479298,8,0.719,0.175,5.12,5,0.312,0.7722412678069305,0.42426406821192836,3.5202445258108552,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r14,III,273187,8,0.567,0.198,5.76,5,0.205,0.7727847916834328,1.2626386077878904,3.000175750829268,cs090_fase5_profundizar_a2b0c2_resumen.csv,True
A2-B0-C2-r20,III,373769,5,0.302,0.292,4.7,6,0.166,0.7745872074489137,0.3863703299156276,1.940631596626358,cs090_fase5b_candidatas_v2.csv,True
A2-B0-C2-batch3-r23,III,474060,7,0.498,0.338,7.03,5,0.206,0.7756156905187971,0.4966517052331302,1.4544825356267723,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch3-r58,III,477455,7,0.458,0.155,4.11,5,0.307,0.7764098545485963,0.9192388136675118,1.8918641492014932,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r205,III,591714,7,0.362,0.177,4.99,5,0.242,0.776627317243934,0.5501039535727578,1.5217980212136333,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r126,III,484051,4,0.739,0.287,7.23,5,0.185,0.7774706312540884,0.7618015587720375,2.3736479669389516,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r146,III,585991,6,0.301,0.136,7.77,5,0.213,0.7804337757034835,0.7226652901298741,2.1660559451175003,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r201,III,591326,7,0.391,0.104,6.79,5,0.291,0.7828419766142098,0.7554822302772275,2.5612353367300273,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r15,III,373284,6,0.412,0.326,6.15,5,0.268,0.786308962149017,0.7071067796865472,1.8227581036280687,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r84,III,479977,7,0.323,0.263,5.12,5,0.203,0.7868489981215203,0.5277916862029366,1.452678304467938,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r163,III,587640,7,0.542,0.269,6.71,5,0.163,0.7869666965842601,0.4431994568935023,1.8604457655676216,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r107,III,582208,5,0.509,0.113,4.4,5,0.341,0.7870433303576171,1.7677669492913684,2.4175543428988866,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r122,III,583663,6,0.664,0.256,5.76,5,0.295,0.7875418855578796,1.4142135593730956,2.2433078462615916,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r114,III,582887,6,0.322,0.331,5.72,5,0.3,0.7905031210070531,0.4567083521722914,1.399050115148979,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r70,III,478619,4,0.632,0.249,5.76,5,0.207,0.794143572255329,0.9192388136675118,2.1496647234935415,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch3-r136,III,485021,5,0.664,0.339,7.04,5,0.16,0.7945326200640634,0.5027105218210478,2.3453234433303822,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r152,III,586573,6,0.55,0.153,7.96,4,0.201,0.7948725595261631,3.5522805332250513,3.5000325971161663,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r25,III,474254,8,0.481,0.207,6.78,5,0.177,0.7951507684630401,0.2689578611486799,1.782882565465957,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r58,III,577455,6,0.557,0.104,6.43,5,0.231,0.7998317247468192,0.6363961020928924,2.7539308004807683,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r147,III,586088,7,0.756,0.208,7.65,5,0.324,0.8033174259070315,0.527791685852937,2.61974936312527,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r31,III,474836,4,0.695,0.156,7.18,5,0.214,0.8063707776237027,0.2828427118746191,3.794837846378168,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch3-r10,III,472799,7,0.524,0.164,7.54,5,0.233,0.80676744249643,1.0934771096021745,2.5489564920091325,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r196,III,590841,5,0.495,0.129,5.4,5,0.283,0.8110586948144228,0.3185906220869582,1.6322044029158025,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r78,IV,579395,4,0.749,0.134,6.75,5,0.306,0.8164083964897092,0.3897472085538745,6.3922755683346555,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r10,III,272799,5,0.378,0.338,7.38,5,0.167,0.8170446241137821,0.9141620160685641,1.6415310856543042,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch4-r12,III,572993,6,0.602,0.21,5.69,5,0.195,0.8174143496432545,1.659162533351413,1.6711812706213869,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-r11,III,272896,7,0.78,0.155,5.59,4,0.22,0.8190934679416606,1.0968310285072689,2.3244894706578023,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch4-r137,III,585118,5,0.687,0.277,5.42,5,0.347,0.8193204158489383,1.6263455936540594,2.8443797623393148,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r22,III,473963,5,0.694,0.11,4.92,4,0.17,0.8193690775347898,0.6191376723888654,4.535286164129724,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r47,III,576388,7,0.683,0.205,4.26,5,0.203,0.8237120554098377,0.6001908032157152,2.9975095717788456,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r149,III,586282,7,0.777,0.222,5.37,5,0.231,0.825211218594141,0.8762682778722632,2.987199820930673,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r169,III,588222,6,0.73,0.304,4.39,5,0.229,0.8296176535103116,0.9933034104662596,2.9157419243638603,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r24,III,374157,8,0.534,0.328,7.11,5,0.276,0.8300815667255897,1.1313708474984758,1.795436416675269,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r127,III,484148,6,0.36,0.34,4.38,5,0.163,0.8332004479312966,0.28284271207461886,1.4405913764543594,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r66,III,578231,5,0.344,0.182,7.69,5,0.269,0.8394652197456517,1.5055365858758694,2.2838281991607685,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r8,III,372605,6,0.628,0.324,6.35,5,0.197,0.8409884204370881,0.8794712397857165,1.783676035029837,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-r2,III,272023,7,0.351,0.15,7.28,5,0.252,0.8536460916512799,0.9899494915611667,1.8251231800516066,cs090_fase5_profundizar_a2b0c2_resumen.csv,True
A2-B0-C2-batch3-r96,III,481141,4,0.483,0.295,7.25,5,0.306,0.8543599282003083,0.5277916860529366,1.9897066729249406,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r75,III,479104,6,0.786,0.121,5.01,4,0.257,0.8545984417551393,0.9175388947068118,1.877942510342098,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r154,III,586767,6,0.434,0.216,7.82,5,0.219,0.8593262256526808,1.0434017399007947,1.8525282391221705,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r139,III,585312,6,0.578,0.252,7.14,5,0.334,0.861356948742913,0.7957790614846841,1.6595895859797363,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r80,III,479589,5,0.464,0.339,4.32,5,0.261,0.8621781132551967,0.8106343981275556,3.7062624164638462,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r85,III,580074,5,0.361,0.106,7.87,5,0.243,0.8624057643415686,1.3763198214767935,2.2149051377658724,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r202,III,591423,8,0.639,0.259,4.15,4,0.279,0.8633241139815924,0.3548828790265325,3.513851042074214,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r3,IV,472120,8,0.763,0.109,5.28,4,0.166,0.8655644525698469,0.5088448169797865,5.242551991499722,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r121,III,483566,6,0.706,0.155,7.08,5,0.283,0.8715210722283483,0.8639996877047871,2.1690679477803454,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r3,III,372120,6,0.661,0.238,6.24,5,0.257,0.8716450240633112,1.2761461223408788,1.4692108310479608,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r91,III,480656,6,0.388,0.171,4.54,4,0.162,0.8716960017927824,0.8502050954514038,1.9455620107405385,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r164,III,587737,7,0.656,0.295,7.81,5,0.341,0.8717058332561187,1.2348984655394841,1.8384202878973668,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r180,III,589289,5,0.445,0.31,4.3,4,0.222,0.8731744761090312,2.5160984264961574,1.6638879862671783,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r32,III,374933,6,0.356,0.304,7.4,5,0.254,0.8734946091751468,1.0434017405007943,1.83437144310668,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r118,III,483275,5,0.722,0.173,6.71,5,0.349,0.8739909750826472,1.8384776271850236,4.3357563527248155,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r128,III,584245,5,0.549,0.263,6.58,5,0.221,0.8751785559315431,0.848528136223857,2.257488510815394,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r187,III,589968,6,0.443,0.28,6.53,5,0.199,0.87628960124805,1.8384776277850237,1.3739243005003425,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r33,III,575030,6,0.789,0.313,4.22,5,0.186,0.878728409376041,0.9415281216541789,1.3429036483567844,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r62,III,577843,8,0.672,0.262,5.76,5,0.242,0.8791813251603611,2.2197711602517036,2.9697562302265337,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r6,III,572411,6,0.485,0.226,4.6,4,0.318,0.8838686993534043,0.3897472087038745,2.3852530163021366,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r28,III,474545,8,0.512,0.28,5.25,4,0.224,0.8845370387448636,1.4676658077127234,2.567316724413391,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r7,III,572508,4,0.741,0.249,4.98,4,0.192,0.8868589739436875,0.3863703299156276,2.6756378118656454,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r16,III,373381,5,0.447,0.219,4.89,4,0.308,0.8871675421201632,0.7148425561020131,3.78780693509227,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r99,III,481432,5,0.565,0.219,5.43,4,0.232,0.8887694466059983,1.7677669497413693,2.3778535258305706,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r52,III,476873,7,0.385,0.177,4.07,4,0.302,0.8949172114107345,0.5277916860529366,1.7690371464577876,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r33,III,375030,7,0.339,0.304,7.24,5,0.301,0.8961652696536239,1.1481718888376649,1.1775816904281835,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r16,III,473381,5,0.508,0.295,4.83,4,0.163,0.8968022336431689,1.0555833717058731,2.8713368432151234,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r66,III,478231,6,0.628,0.259,5.24,4,0.337,0.8971657877586503,0.6346847027406153,2.4884853842005663,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r71,III,478716,6,0.463,0.202,7.98,5,0.219,0.8975693187713398,0.9520557539648655,2.060532788024973,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch3-r74,III,479007,5,0.472,0.32,4.64,4,0.244,0.8985653220259173,0.7293960878232146,1.7551368987279274,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r117,III,583178,5,0.304,0.105,4.12,4,0.209,0.9006598903221967,2.0353792676191453,1.5654650027050743,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r111,III,482596,6,0.465,0.345,7.52,5,0.332,0.9051550092250917,0.9899494915611664,1.5556221623797368,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r46,IV,576291,5,0.542,0.126,5.82,5,0.304,0.9223262598062661,1.279500041245972,7.351482890361554,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r131,III,484536,5,0.446,0.116,5.09,4,0.321,0.927683407042622,0.8337851456423999,3.459259054795601,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r60,III,477649,6,0.456,0.261,7.33,5,0.333,0.9283825080454772,0.6772962881749995,1.2558534154191552,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r93,III,580850,7,0.429,0.281,4.37,4,0.208,0.9487275706960316,1.1313708478984756,2.813873675899697,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r100,IV,581529,5,0.786,0.114,5.4,4,0.327,0.9487319922814771,0.8329466654473769,5.790696645509603,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r81,III,479686,5,0.483,0.125,5.4,4,0.345,0.9534532866891715,0.5707923250618951,3.0413777405613613,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r27,III,374448,8,0.692,0.344,5.26,4,0.257,0.9576053779064811,0.9865496531897655,2.7936231158838636,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r10,III,572799,5,0.339,0.263,7.64,5,0.233,0.9674452669352479,0.5666957390439644,1.6486870595873413,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r186,III,589871,5,0.542,0.209,5.05,4,0.243,0.9802288440053791,0.6531707516122107,1.9845064063776188,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r159,III,587252,6,0.486,0.29,5.37,4,0.294,0.9846816069427827,2.6179490845596183,2.288416578188641,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r13,III,273090,7,0.732,0.245,5.95,4,0.309,0.9997896329855581,0.8847219547094578,2.5191978319868884,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch4-r135,III,584924,7,0.627,0.23,4.02,4,0.235,1.0034306041860015,3.8100964874646563,1.2949275376678206,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r37,III,375418,7,0.358,0.325,5.44,4,0.187,1.0079433801247755,3.5355338994827377,1.7573935957974445,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r36,III,575321,8,0.543,0.156,6.77,4,0.306,1.0121015869766785,0.9899494915611664,2.930937964026708,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch3-r133,IV,484730,5,0.697,0.147,6.1,4,0.281,1.013079214568293,0.43982257825525506,5.2403637550645685,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r203,III,591520,5,0.608,0.194,6.13,4,0.341,1.0211488018750574,0.38974720855387446,2.902370094119601,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r93,III,480850,4,0.607,0.132,5.85,4,0.198,1.0301511118561597,0.8485281359738572,4.700614841955949,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r197,III,590938,6,0.461,0.287,5.34,4,0.282,1.0439955028340393,2.2627416961969518,1.7561447265602896,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r194,III,590647,7,0.525,0.246,6.33,4,0.302,1.0467677912503963,0.2828427118746191,2.174109606811732,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r24,III,474157,7,0.632,0.158,5.06,4,0.266,1.0570865976892367,1.086506591995256,1.948823148535287,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r45,III,576194,6,0.57,0.228,6.57,4,0.164,1.0773901015902387,1.4495688986386726,2.4852303732710794,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r87,III,480268,7,0.504,0.212,4.63,4,0.279,1.078915762843181,3.6238311239769025,2.3573771235034537,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r16,III,273381,8,0.406,0.179,6.96,4,0.161,1.0794242481222383,0.6346961826821923,2.0190613582745063,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-r10,III,372799,8,0.731,0.328,6.15,4,0.189,1.0857820975252357,0.7225783317674777,2.3586039268577457,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r30,III,574739,4,0.492,0.115,6.85,4,0.334,1.0858650212676617,0.5656854237492379,4.063447984325215,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r0,III,471829,5,0.413,0.225,6.59,4,0.212,1.0889055843285758,0.4242640681119285,2.694269544312323,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch3-r51,III,476776,7,0.735,0.246,7.45,4,0.349,1.1350254351771156,2.9698484749834995,1.7131850179222172,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r7,III,472508,4,0.311,0.219,6.7,4,0.317,1.137549668082434,1.517741177414103,1.4482207463063688,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r23,III,374060,5,0.312,0.171,7.93,4,0.294,1.1377904095105915,2.5946580413308786,2.570782908995553,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r33,III,475030,6,0.763,0.191,7.68,4,0.165,1.1585340603636753,1.1184004456925378,2.9154423112315824,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r102,III,581723,6,0.663,0.185,7.58,4,0.159,1.1700641552915687,1.234898465539484,2.6032461362695307,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r64,III,478037,5,0.467,0.161,7.39,4,0.173,1.1910746755803228,0.6363961020762259,3.2009934204534174,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r38,III,375515,6,0.329,0.283,7.22,4,0.179,1.2040725853096548,0.4966517052331299,1.5683557300532815,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r135,III,484924,5,0.703,0.198,6.86,4,0.259,1.209182281022885,1.4219493363885594,2.311780247163422,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r143,III,585700,6,0.636,0.127,7.22,4,0.346,1.2158498081139453,0.9831727745515189,3.053885100482266,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r131,III,584536,8,0.79,0.268,6.55,4,0.25,1.2184508694767526,0.5999506235915308,2.547111839134039,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r72,III,478813,6,0.467,0.249,7.53,4,0.251,1.2373249051112272,0.7778174578802022,2.2972308081931456,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r59,III,577552,5,0.643,0.206,6.42,4,0.258,1.25934577627338,1.5454813198125095,3.7747227058592747,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r165,III,587834,6,0.761,0.143,7.57,4,0.221,1.2847104549192723,1.1970047276431837,4.87744355981297,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r19,III,473672,8,0.621,0.169,7.33,4,0.28,1.2994486661254165,0.4922006898375269,2.4093654506473974,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r73,III,478910,6,0.632,0.178,7.69,4,0.163,1.3236852762989775,2.219771160101703,2.1491465120764124,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r122,III,483663,6,0.532,0.188,7.24,4,0.281,1.3464688362548458,1.0289022107293735,2.6361057363639118,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r1,III,371926,6,0.482,0.213,7.71,4,0.3,1.367982416489653,0.7828483362628423,2.2548169434099576,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r27,III,474448,4,0.774,0.124,7.76,4,0.213,1.4356623577731744,1.2348984665394844,4.174743268136778,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r168,III,588125,8,0.333,0.322,7.95,4,0.242,1.5030708487648419,0.592400068552475,1.6522139418732238,cs090_fase5b_candidatas_v4.csv,False
