rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio,fuente,paso_phantom
A2-B0-C2-batch3-r39,II,475612,4,0.66,0.175,7.47,7,0.203,0.4047087200076526,0.5277916858529366,4.42388764294637,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r83,II,579880,6,0.56,0.242,6.28,7,0.333,0.4081790787821271,0.9899494915611664,2.722632286007739,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r141,II,585506,4,0.43,0.123,7.55,7,0.338,0.4088898923868671,0.353553389918274,3.6451681351500715,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r18,II,373575,8,0.707,0.303,6.77,7,0.186,0.4148901443251834,0.5656854237492382,2.1452293675939793,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r29,II,474642,5,0.725,0.101,5.58,7,0.199,0.4211602069238034,0.7071067799865476,3.848250941709645,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r61,II,577746,5,0.714,0.115,6.76,7,0.338,0.4218649200991793,0.3535533900682738,5.664444095760099,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r15,II,273284,8,0.758,0.104,6.49,7,0.252,0.4258219869512894,0.5656854237492379,6.243288760129401,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch4-r21,II,573866,7,0.461,0.186,5.77,7,0.177,0.42725673350912463,0.7071067796865472,1.5013278142481976,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r208,II,592005,7,0.335,0.299,6.28,7,0.222,0.4291506556832782,0.5656854237492382,1.3154105961729834,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r68,II,578425,6,0.528,0.243,6.11,7,0.234,0.4306320233100666,0.28284271187461874,1.4856666063366575,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r77,II,579298,5,0.552,0.226,4.92,7,0.257,0.43082204869053903,0.9899494915611664,3.878718353155263,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r119,II,583372,6,0.55,0.284,6.35,7,0.153,0.4330071908401633,0.2449489739783178,1.6673506026635376,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r146,II,485991,7,0.335,0.276,5.0,7,0.232,0.4371028259767239,0.5501039535727573,1.0529922368197822,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r30,II,474739,4,0.747,0.227,7.16,7,0.227,0.43730741290102304,0.707106779686548,3.130378101808069,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r102,II,481723,5,0.551,0.291,6.63,6,0.246,0.4373348365364099,0.6692130417902463,1.9897703496295578,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r116,II,583081,8,0.563,0.349,6.74,7,0.158,0.4465693769780175,0.28284271202461875,1.8438440893506816,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r29,II,374642,5,0.391,0.17,6.61,7,0.261,0.44719855118235147,0.848528135623857,2.1696216341181023,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-r18,I,273575,6,0.479,0.131,7.45,7,0.307,0.4588484424040188,1.131370847498476,2.141169294685989,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch4-r54,I,577067,7,0.62,0.21,5.75,7,0.264,0.45987587589440654,0.4242640678119285,1.7729811796239558,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r199,I,591132,6,0.504,0.268,4.92,7,0.303,0.46014498477720184,0.7071067796865472,2.183746377305888,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r48,I,576485,8,0.449,0.349,5.35,7,0.307,0.460598243723305,0.5656854237492382,1.2646414440335534,cs090_fase5b_candidatas_v4.csv,False
