arm,N,seed,K_sorteado,D_embedding,pico_medio,frac_picados,certificado,n_ejes,PR,gap_interno,n_pobl,n_vivos,rango_pleno,peso_semilla,direccion_real,n_ejes_D8,direccion_real_D8,p_ordenado
semilla_sustrato_local,1500,73762,4,4,0.8028188134290085,0.20666666666666667,0,0,3.8213,0.0,4,4,1,0.15554751358493207,0,4,0,0.32467;0.25533;0.24800;0.17200
semilla_sustrato_local,1500,73775,5,5,0.7228592394640063,0.174,0,0,4.6758,0.0,5,5,1,0.06467753871837915,0,5,0,0.27933;0.22467;0.21267;0.14200;0.14133
semilla_sustrato_local,1500,73788,5,5,0.909571950004817,0.666,1,0,1.8301,0.0,5,5,1,0.05510438231883646,0,1,0,0.72600;0.08533;0.07400;0.06067;0.05400
semilla_sustrato_local,2500,73794,6,6,0.8113657533618847,0.4112,0,0,4.2585,0.0,6,6,1,0.0896493636223064,0,6,0,0.40320;0.13920;0.12840;0.12240;0.10720;0.09960
semilla_sustrato_local,2500,73807,5,5,0.7561993331896322,0.2516,0,0,4.5408,0.0,5,5,1,0.08297139803911445,0,5,0,0.27440;0.27160;0.17600;0.16680;0.11120
semilla_sustrato_local,2500,73820,6,6,0.7729392236055236,0.2432,0,0,4.1483,0.0,6,6,1,0.17064460574495396,0,6,0,0.39520;0.20960;0.12920;0.10920;0.08280;0.07400
semilla_sustrato_local,2500,73833,7,7,0.8455949625727742,0.472,0,0,2.5178,0.0,7,7,1,0.1464059880705854,0,1,0,0.60880;0.07960;0.07600;0.07320;0.06520;0.05520;0.04200
semilla_sustrato_local,2500,73846,6,6,0.7263349117897125,0.1988,0,0,5.1776,0.0,6,6,1,0.0785905310084966,0,6,0,0.28280;0.21920;0.17200;0.11520;0.11000;0.10080
semilla_sustrato_local,2500,73859,6,6,0.7654222272795336,0.1568,0,0,5.2649,0.0,6,6,1,0.15765715941003583,0,6,0,0.28120;0.20440;0.15200;0.14840;0.13000;0.08400
semilla_sustrato_local,2500,73872,6,6,0.7368301357065673,0.2356,0,0,4.9483,0.0,6,6,1,0.09646284001009955,0,6,0,0.32600;0.17360;0.17160;0.11960;0.10920;0.10000
semilla_sustrato_local,2500,73885,5,5,0.7853332286428013,0.1244,0,0,3.0129,0.0,5,5,1,0.17370357014404994,0,5,0,0.49840;0.24800;0.09720;0.09080;0.06560
