[verificación] 20 semillas nuevas; ancho de cadena por genealogía = 7761; separación mínima nueva-nueva = 78218; separación mínima nueva-vs-ya_usada = 23267
[verificación] saltos consecutivos entre semillas nuevas, todos distintos = True  -> no hay progresión aritmética
[verificación] OK: ninguna genealogía puede compartir una semilla individual con otra.
[diámetro] MOT._diam sustituido en memoria: _diam -> diam_gigante (medición oficial corregida, ningún archivo tocado en disco)
[shard 0/5] genealogías: ['H00_113477', 'H05_905683', 'H10_2043761', 'H15_3389417']  brazos=['C2-hard', 'C2-hibrido']
[H00_113477] seed_base=113477  admitidas=20/20  descartadas(P1-P5)=0
  [H15_3389417] A2-B0-C2-r5      C2-hibrido  clase=I                          pend=+0.674 diam_b1=12 (4.1s) [t=42s]
  [H15_3389417] A2-B0-C2-r6      C2-hard     clase=I                          pend=+0.612 diam_b1=11 (3.2s) [t=45s]
  [H15_3389417] A2-B0-C2-r6      C2-hibrido  clase=I                          pend=+0.654 diam_b1=12 (4.0s) [t=49s]
  [H15_3389417] A2-B0-C2-r7      C2-hard     clase=III                        pend=+0.757 diam_b1=14 (3.4s) [t=53s]
  [H15_3389417] A2-B0-C2-r7      C2-hibrido  clase=I                          pend=+0.576 diam_b1=11 (3.4s) [t=56s]
  [H15_3389417] A2-B0-C2-r8      C2-hard     clase=III                        pend=+0.743 diam_b1=14 (3.5s) [t=60s]
  [H15_3389417] A2-B0-C2-r8      C2-hibrido  clase=III                        pend=+1.012 diam_b1=13 (2.5s) [t=62s]
  [H15_3389417] A2-B0-C2-r9      C2-hard     clase=I                          pend=+0.568 diam_b1=13 (3.1s) [t=65s]
  [H15_3389417] A2-B0-C2-r9      C2-hibrido  clase=I                          pend=+0.535 diam_b1=10 (3.3s) [t=69s]
  [H15_3389417] A2-B0-C2-r10     C2-hard     clase=I                          pend=+0.575 diam_b1=11 (4.0s) [t=73s]
  [H15_3389417] A2-B0-C2-r10     C2-hibrido  clase=II                         pend=+0.440 diam_b1=9 (4.8s) [t=77s]
  [H15_3389417] A2-B0-C2-r11     C2-hard     clase=III                        pend=+0.751 diam_b1=14 (4.1s) [t=81s]
  [H15_3389417] A2-B0-C2-r11     C2-hibrido  clase=I                          pend=+0.466 diam_b1=9 (3.8s) [t=85s]
  [H15_3389417] A2-B0-C2-r12     C2-hard     clase=III                        pend=+1.404 diam_b1=22 (3.3s) [t=89s]
  [H15_3389417] A2-B0-C2-r12     C2-hibrido  clase=III                        pend=+1.279 diam_b1=17 (2.6s) [t=91s]
  [H15_3389417] A2-B0-C2-r13     C2-hard     clase=I                          pend=+0.684 diam_b1=13 (3.2s) [t=94s]
  [H15_3389417] A2-B0-C2-r13     C2-hibrido  clase=I                          pend=+0.594 diam_b1=11 (3.2s) [t=98s]
  [H15_3389417] A2-B0-C2-r14     C2-hard     clase=III                        pend=+0.716 diam_b1=12 (3.0s) [t=101s]
  [H15_3389417] A2-B0-C2-r14     C2-hibrido  clase=III                        pend=+0.891 diam_b1=13 (3.4s) [t=104s]
  [H15_3389417] A2-B0-C2-r15     C2-hard     clase=III                        pend=+0.717 diam_b1=13 (3.1s) [t=107s]
  [H15_3389417] A2-B0-C2-r15     C2-hibrido  clase=III                        pend=+1.037 diam_b1=14 (3.0s) [t=110s]
  [H15_3389417] A2-B0-C2-r16     C2-hard     clase=I                          pend=+0.616 diam_b1=14 (3.1s) [t=113s]
  [H15_3389417] A2-B0-C2-r16     C2-hibrido  clase=I                          pend=+0.648 diam_b1=11 (3.6s) [t=117s]
