genealogia,seed_base,rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,K,J,noise,meandeg,kcap,seed
G1_471829,471829,A2-B0-C2-r15,C2-hibrido,I,0.6160366146452162,0.3863703299156272,1.4270484142569877,4423,4.423,11.0,0.9485,5,0.409,0.285,7.64,6,473285
G1_471829,471829,A2-B0-C2-r16,C2-hard,I,0.6245433526228562,0.9899494915611664,1.8048995119504738,4073,4.073,11.0,0.974,4,0.704,0.311,7.64,6,473382
G1_471829,471829,A2-B0-C2-r16,C2-hibrido,I,0.5836565282149737,0.5656854237492382,2.29659087000029,4542,4.542,10.0,0.936,4,0.704,0.311,7.64,6,473382
G1_471829,471829,A2-B0-C2-r17,C2-hard,I,0.511014647007655,0.5656854237492382,1.7817100010035678,4878,4.878,10.0,0.994,6,0.591,0.216,7.65,7,473479
G1_471829,471829,A2-B0-C2-r17,C2-hibrido,I,0.5321693519323076,0.8485281356238566,1.9495276249654203,5793,5.793,10.0,0.993,6,0.591,0.216,7.65,7,473479
G1_471829,471829,A2-B0-C2-r18,C2-hard,III,0.8340528664757082,0.6692130417902463,2.243090246505438,3156,3.156,14.0,0.9305,7,0.475,0.116,7.4,5,473576
G1_471829,471829,A2-B0-C2-r18,C2-hibrido,III,0.8062493291701961,0.9899494915611664,2.0946759826513346,3331,3.331,12.0,0.878,7,0.475,0.116,7.4,5,473576
G1_471829,471829,A2-B0-C2-r19,C2-hard,III,0.8249559289047974,1.979898983122333,2.478554685952239,3323,3.323,15.0,0.957,4,0.722,0.268,6.17,5,473673
G1_471829,471829,A2-B0-C2-r19,C2-hibrido,III,0.7700670202425189,1.131370847498476,2.1934261187887434,4007,4.007,13.0,0.9435,4,0.722,0.268,6.17,5,473673
G2_823001,823001,A2-B0-C2-r0,C2-hard,II,0.4245372957939543,0.6191376720888657,2.1932426832758183,4912,4.912,9.0,0.9945,5,0.66,0.28,6.41,7,823002
G2_823001,823001,A2-B0-C2-r0,C2-hibrido,II,0.42994213464790604,0.7071067796865472,2.5812136005314,6258,6.258,9.0,0.998,5,0.66,0.28,6.41,7,823002
G2_823001,823001,A2-B0-C2-r1,C2-hard,III,0.8649776034826919,1.212476279724113,2.9570518183178094,3251,3.251,15.0,0.951,6,0.644,0.12,6.85,5,823099
G2_823001,823001,A2-B0-C2-r1,C2-hibrido,III,0.8712548641531013,0.36128916588373844,1.9563383946346948,3625,3.625,13.0,0.911,6,0.644,0.12,6.85,5,823099
G2_823001,823001,A2-B0-C2-r2,C2-hard,I,0.521712859219082,0.10690449667925536,6.3256576979199055,4990,4.99,10.0,0.9885,5,0.796,0.102,7.81,7,823196
G2_823001,823001,A2-B0-C2-r2,C2-hibrido,II,0.40476640055125673,0.636396101792893,6.8806433435985666,6049,6.049,8.0,0.991,5,0.796,0.102,7.81,7,823196
G2_823001,823001,A2-B0-C2-r3,C2-hard,III,0.8060907347091679,0.2597621726976632,1.9727665721281453,3240,3.24,15.0,0.9665,5,0.6,0.325,4.16,5,823293
G2_823001,823001,A2-B0-C2-r3,C2-hibrido,I,0.5620575442910154,0.21380899335851106,1.9946815441942545,4066,4.066,11.0,0.9765,5,0.6,0.325,4.16,5,823293
