rule_id,seed,kcap,K,J,noise,meandeg,M,grado_medio,t_s
A2-B0-C2-f701-r1082,70805955,4,6,0.711,0.122,5.69,2474,2.474,1.49
A2-B0-C2-f701-r1083,70806052,6,5,0.679,0.176,4.76,3934,3.934,1.57
A2-B0-C2-f701-r1084,70806149,6,5,0.369,0.326,6.5,4062,4.062,1.56
A2-B0-C2-f701-r1085,70806246,7,5,0.736,0.157,4.83,4298,4.298,1.55
A2-B0-C2-f701-r1086,70806343,6,7,0.525,0.171,5.23,3994,3.994,1.78
A2-B0-C2-f701-r1087,70806440,4,5,0.587,0.3,5.47,2542,2.542,1.3
A2-B0-C2-f701-r1088,70806537,4,5,0.406,0.119,7.41,2214,2.214,1.59
A2-B0-C2-f701-r1089,70806634,4,5,0.383,0.148,4.83,2540,2.54,1.27
A2-B0-C2-f701-r1090,70806731,4,8,0.365,0.228,4.71,2550,2.55,1.33
A2-B0-C2-f701-r1091,70806828,5,5,0.651,0.336,6.26,3316,3.316,1.41
A2-B0-C2-f701-r1092,70806925,4,4,0.654,0.282,4.88,2638,2.638,1.35
A2-B0-C2-f701-r1093,70807022,5,7,0.733,0.338,4.57,3273,3.273,1.21
A2-B0-C2-f701-r1094,70807119,4,6,0.733,0.337,4.85,2603,2.603,1.02
A2-B0-C2-f701-r1095,70807216,4,7,0.706,0.348,7.34,2163,2.163,1.19
A2-B0-C2-f701-r1096,70807313,6,5,0.753,0.246,5.56,4154,4.154,1.46
A2-B0-C2-f701-r1097,70807410,6,6,0.598,0.307,7.05,4062,4.062,1.55
A2-B0-C2-f701-r1098,70807507,6,7,0.604,0.291,7.55,4026,4.026,1.52
A2-B0-C2-f701-r1099,70807604,5,5,0.435,0.214,7.72,3007,3.007,1.5
A2-B0-C2-f701-r1100,70807701,5,7,0.706,0.213,4.18,3240,3.24,1.11
A2-B0-C2-f701-r1101,70807798,6,7,0.73,0.173,5.44,4169,4.169,1.19
A2-B0-C2-f701-r1102,70807895,7,6,0.305,0.27,4.86,4261,4.261,1.34
A2-B0-C2-f701-r1103,70807992,7,5,0.421,0.221,4.92,4353,4.353,1.37
A2-B0-C2-f701-r1104,70808089,4,4,0.544,0.321,5.67,2457,2.457,1.27
A2-B0-C2-f701-r1105,70808186,5,6,0.419,0.205,7.73,3054,3.054,1.49
A2-B0-C2-f701-r1106,70808283,5,7,0.321,0.177,5.16,3283,3.283,1.38
A2-B0-C2-f701-r1107,70808380,7,7,0.511,0.323,6.9,4915,4.915,1.62
A2-B0-C2-f701-r1108,70808477,5,7,0.339,0.334,5.31,3243,3.243,1.1
A2-B0-C2-f701-r1109,70808574,7,7,0.403,0.109,7.27,4796,4.796,1.32
A2-B0-C2-f701-r1110,70808671,7,8,0.601,0.238,6.62,4986,4.986,1.44
A2-B0-C2-f701-r1111,70808768,5,7,0.392,0.144,5.3,3285,3.285,1.28
A2-B0-C2-f701-r1112,70808865,5,6,0.441,0.198,7.95,2930,2.93,1.37
A2-B0-C2-f701-r1113,70808962,4,5,0.366,0.138,7.12,2266,2.266,1.35
A2-B0-C2-f701-r1114,70809059,5,7,0.516,0.196,4.45,3294,3.294,1.38
A2-B0-C2-f701-r1115,70809156,5,6,0.609,0.291,5.93,3289,3.289,1.5
A2-B0-C2-f701-r1116,70809253,5,4,0.61,0.144,7.53,3140,3.14,1.15
A2-B0-C2-f701-r1117,70809350,6,6,0.651,0.229,6.02,4113,4.113,1.24
A2-B0-C2-f701-r1118,70809447,4,6,0.417,0.273,5.84,2447,2.447,1.17
A2-B0-C2-f701-r1119,70809544,7,5,0.327,0.339,4.29,3807,3.807,1.3
A2-B0-C2-f701-r1120,70809641,5,7,0.791,0.328,4.72,3356,3.356,1.36
A2-B0-C2-f701-r1121,70809738,6,6,0.775,0.11,5.52,4091,4.091,1.46
A2-B0-C2-f701-r1122,70809835,5,7,0.337,0.34,7.04,3077,3.077,1.5
A2-B0-C2-f701-r1123,70809932,4,7,0.744,0.223,5.23,2591,2.591,1.14
A2-B0-C2-f701-r1124,70810029,6,7,0.561,0.301,4.97,3896,3.896,1.11
A2-B0-C2-f701-r1125,70810126,7,5,0.348,0.182,7.56,4854,4.854,1.45
A2-B0-C2-f701-r1126,70810223,6,7,0.396,0.312,5.38,3921,3.921,1.43
A2-B0-C2-f701-r1127,70810320,6,7,0.607,0.32,6.25,4086,4.086,1.4
A2-B0-C2-f701-r1128,70810417,5,7,0.789,0.239,4.57,3322,3.322,1.41
A2-B0-C2-f701-r1129,70810514,5,5,0.67,0.299,4.2,3261,3.261,1.37
A2-B0-C2-f701-r1130,70810611,6,7,0.52,0.243,5.6,4030,4.03,1.53
A2-B0-C2-f701-r1131,70810708,5,7,0.763,0.296,4.07,3234,3.234,1.14
A2-B0-C2-f701-r1132,70810805,6,7,0.483,0.179,4.7,3801,3.801,1.15
A2-B0-C2-f701-r1133,70810902,5,7,0.799,0.264,4.26,3275,3.275,1.26
A2-B0-C2-f701-r1134,70810999,5,8,0.599,0.291,5.66,3325,3.325,1.35
A2-B0-C2-f701-r1135,70811096,4,6,0.399,0.32,6.79,2213,2.213,1.19
A2-B0-C2-f701-r1136,70811193,6,5,0.518,0.263,4.04,3602,3.602,1.4
A2-B0-C2-f701-r1137,70811290,6,8,0.534,0.18,7.85,4003,4.003,1.52
A2-B0-C2-f701-r1138,70811387,5,5,0.758,0.325,5.5,3369,3.369,1.46
A2-B0-C2-f701-r1139,70811484,4,7,0.402,0.255,7.09,2253,2.253,1.06
A2-B0-C2-f701-r1140,70811581,6,8,0.413,0.239,4.21,3586,3.586,1.14
A2-B0-C2-f701-r1141,70811678,5,7,0.643,0.131,7.38,3161,3.161,1.47
