MU,N,S0,S_final_max,alpha,alpha_c_teorico,barrido,brazo,delta_struct,k_micro,lambda_max_G,lambda_puro,n_aristas,n_vivos_fin,persiste_puro,precision,semilla,sobrevive_finito,sobrevive_ge2,tau_final
0.01,8,1.0,9.964588259869242e-07,3.162277660168379e-06,0.05449538250299353,A_alpha,REAL,0.009909871895430711,1375,3.707106781186547,-0.010050426465208921,0,0,0,float64,9,0,0,0
0.01,8,1.0,9.964588122022117e-07,3.162277660168379e-06,0.044098249259232634,A_alpha,REAL,0.011152958358921041,1375,4.581138830084191,-0.01005043606089321,0,0,0,float64,10,0,0,11
0.01,8,1.0,9.962623479359005e-07,3.162277660168379e-06,0.050505050505050504,A_alpha,BARAJADO,0.01040990282400402,1375,4.0,-0.010050375381977873,0,0,0,float64,1,0,0,4
0.01,8,1.0,9.961601719294452e-07,3.162277660168379e-06,0.04576584235575484,A_alpha,BARAJADO,0.010436302901735379,1375,4.414213562373094,-0.010050447656912377,0,0,0,float64,2,0,0,5
0.01,8,1.0,9.962415043887651e-07,3.162277660168379e-06,0.04409824925923263,A_alpha,BARAJADO,0.011101773933465823,1375,4.581138830084192,-0.010050389768793104,0,0,0,float64,3,0,0,11
0.01,8,1.0,9.968261374612206e-07,3.162277660168379e-06,0.03858242537879851,A_alpha,BARAJADO,0.012602383453438597,1375,5.236067977499788,-0.010049980097292134,0,0,0,float64,4,0,0,24
0.01,8,1.0,9.963027323938193e-07,3.162277660168379e-06,0.05449538250299351,A_alpha,BARAJADO,0.009967190910031157,1375,3.7071067811865483,-0.01005034743109133,0,0,0,float64,5,0,0,0
0.01,8,1.0,9.964418866378745e-07,3.162277660168379e-06,0.05449538250299351,A_alpha,BARAJADO,0.010007768265929607,1375,3.7071067811865483,-0.010050245219008498,0,0,0,float64,6,0,0,1
0.01,8,1.0,9.965856666191243e-07,3.162277660168379e-06,0.05449538250299351,A_alpha,BARAJADO,0.010065098962337466,1375,3.707106781186549,-0.01005015657078908,0,0,0,float64,7,0,0,1
0.01,8,1.0,9.96109775252793e-07,3.162277660168379e-06,0.03944689815669394,A_alpha,BARAJADO,0.012392165315368589,1375,5.121320343559643,-0.01005048238977639,0,0,0,float64,8,0,0,22
0.01,8,1.0,9.96195847773843e-07,3.162277660168379e-06,0.05449538250299353,A_alpha,BARAJADO,0.009909871767936172,1375,3.707106781186547,-0.010050426488056558,0,0,0,float64,9,0,0,0
0.01,8,1.0,9.961722488155437e-07,3.162277660168379e-06,0.044098249259232634,A_alpha,BARAJADO,0.01115294120262768,1375,4.581138830084191,-0.010050436079293821,0,0,0,float64,10,0,0,11
0.01,8,1.0,9.96850710465681e-07,5.623413251903491e-06,0.050505050505050504,A_alpha,REAL,0.018511694343949243,1375,4.0,-0.010050405997086865,0,0,0,float64,1,0,0,62
0.01,8,1.0,9.96465327572853e-07,5.623413251903491e-06,0.04576584235575484,A_alpha,REAL,0.01855849373686521,1375,4.414213562373094,-0.010050534619725137,0,0,0,float64,2,0,0,62
0.01,8,1.0,9.967376656150163e-07,5.623413251903491e-06,0.04409824925923263,A_alpha,REAL,0.019742004893577494,1375,4.581138830084192,-0.010050431669774644,0,0,0,float64,3,0,0,68
0.01,8,1.0,9.97847666112843e-07,5.623413251903491e-06,0.03858242537879851,A_alpha,REAL,0.022411365284172792,1375,5.236067977499788,-0.010049702879054496,0,0,0,float64,4,0,0,81
0.01,8,1.0,9.96963538370855e-07,5.623413251903491e-06,0.05449538250299351,A_alpha,REAL,0.017724504611494947,1375,3.7071067811865483,-0.010050356289966311,0,0,0,float64,5,0,0,57
0.01,8,1.0,9.97282840969505e-07,5.623413251903491e-06,0.05449538250299351,A_alpha,REAL,0.017796701553167326,1375,3.7071067811865483,-0.010050174468328258,0,0,0,float64,6,0,0,58
0.01,8,1.0,9.975086637420934e-07,5.623413251903491e-06,0.05449538250299351,A_alpha,REAL,0.017898843256177084,1375,3.707106781186549,-0.010050016792836602,0,0,0,float64,7,0,0,58
0.01,8,1.0,9.96192899672837e-07,5.623413251903491e-06,0.03944689815669394,A_alpha,REAL,0.022036472052533465,1375,5.121320343559643,-0.010050596422319464,0,0,0,float64,8,0,0,79
0.01,8,1.0,9.965781663838672e-07,5.623413251903491e-06,0.05449538250299353,A_alpha,REAL,0.017622398253844405,1375,3.707106781186547,-0.010050496954794718,0,0,0,float64,9,0,0,57
0.01,8,1.0,9.965781227876298e-07,5.623413251903491e-06,0.044098249259232634,A_alpha,REAL,0.019832946708193726,1375,4.581138830084191,-0.010050514024788433,0,0,0,float64,10,0,0,69
0.01,8,1.0,9.962286865595076e-07,5.623413251903491e-06,0.050505050505050504,A_alpha,BARAJADO,0.018511659695204043,1375,4.0,-0.010050406146185065,0,0,0,float64,1,0,0,62
0.01,8,1.0,9.960470028859407e-07,5.623413251903491e-06,0.04576584235575484,A_alpha,BARAJADO,0.018558502697953276,1375,4.414213562373094,-0.01005053467122178,0,0,0,float64,2,0,0,62
