par,rule_id,rol,clase,seed,kcap,K,J,noise,meandeg,fraccion_masa_en_sumideros,kappa_v_agregado,kappa_v_medio_valido,n_sumideros,masa_acretada_total,pendiente_vieja,pendiente_corregida,clase_vieja,clase_corregida,diam_viejo_b1,diam_corr_b1,tam_gigante_b1,descarrila_b1,dup
A2-B0-C2-batch4-r11_vs_A2-B0-C2-batch4-r0,A2-B0-C2-batch4-r0,III,III,571829,6,6,0.4,0.123,7.95,0.09,0.4421052631578949,0.4451785714285716,8,1692.0,0.7498208397520266,0.7498208397520266,III,III,14.0,14.0,1937,False,False
A2-B0-C2-batch4-r31_vs_A2-B0-C2-batch4-r1,A2-B0-C2-batch4-r31,I,I,574836,5,6,0.549,0.237,5.83,0.0985,0.523076923076923,0.5260416666666665,8,1851.8,0.6623998404916864,0.6623998404916864,I,I,13.0,13.0,1948,False,False
A2-B0-C2-batch4-r31_vs_A2-B0-C2-batch4-r1,A2-B0-C2-batch4-r1,III,III,571926,5,6,0.398,0.285,6.18,0.1075,0.6307692307692309,0.6416170634920635,8,2021.0,0.757937290221059,0.757937290221059,III,III,15.0,15.0,1897,False,False
A2-B0-C2-batch4-r3_vs_A2-B0-C2-batch4-r9,A2-B0-C2-batch4-r3,I,I,572120,6,5,0.766,0.205,6.09,0.0755,0.3265306122448979,0.3407738095238095,8,1419.4,0.5490358470541343,0.5490358470541343,I,I,11.0,11.0,1971,False,False
A2-B0-C2-batch4-r3_vs_A2-B0-C2-batch4-r9,A2-B0-C2-batch4-r9,III,III,572702,6,5,0.351,0.296,4.64,0.0795,0.3518518518518518,0.353422619047619,8,1494.6,0.7506562767962781,0.7506562767962781,III,III,15.0,15.0,1970,False,False
A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,A2-B0-C2-batch4-r23,I,I,574060,5,5,0.684,0.202,5.0,0.0955,0.5081967213114754,0.511904761904762,8,1795.4,0.643302727603699,0.643302727603699,I,I,14.0,14.0,1931,False,False
A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,A2-B0-C2-batch4-r10,III,III,572799,5,5,0.339,0.263,7.64,0.1279999999999999,0.9027777777777776,0.9086805555555556,8,2406.4,0.9674452669352483,0.9674452669352483,III,III,16.0,16.0,1821,False,False
A2-B0-C2-batch4-r15_vs_A2-B0-C2-batch4-r62,A2-B0-C2-batch4-r15,I,I,573284,5,8,0.412,0.302,4.06,0.1055,0.6307692307692307,0.6339285714285714,8,1983.4,0.640359694208221,0.640359694208221,I,I,14.0,14.0,1920,False,False
A2-B0-C2-batch4-r15_vs_A2-B0-C2-batch4-r62,A2-B0-C2-batch4-r62,III,III,577843,5,8,0.672,0.262,5.76,0.1025,0.5671641791044775,0.5709325396825395,8,1927.0,0.8791813251603616,0.8791813251603616,III,III,17.0,17.0,1915,False,False
A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,A2-B0-C2-batch4-r51,I,I,576776,4,8,0.449,0.196,5.29,0.1449999999999999,1.3424657534246576,1.3409722222222222,8,2726.0000000000005,-0.8118138566051878,1.080657709435624,I,III,1.0,22.0,1781,True,False
A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,A2-B0-C2-batch4-r36,III,III,575321,4,8,0.543,0.156,6.77,0.1534999999999999,1.407894736842105,1.4208964646464646,8,2885.8,1.0121015869766783,1.0121015869766783,III,III,19.0,19.0,1708,False,False
A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,A2-B0-C2-batch4-r38,I,I,575515,5,4,0.397,0.184,4.52,0.0995,0.6439790575916231,0.6477220695970697,8,1870.6,0.5931216513801268,0.5931216513801268,I,I,13.0,13.0,1933,False,False
A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,A2-B0-C2-batch4-r72,III,III,578813,5,4,0.607,0.234,6.39,0.1015,0.5148514851485143,0.5229903198653193,8,1908.2,0.772038917687482,0.772038917687482,III,III,14.0,14.0,1904,False,False
A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,A2-B0-C2-batch4-r57,I,I,577358,5,7,0.622,0.284,5.08,0.0995,0.4927536231884055,0.5092261904761903,8,1870.6,0.6374065773083801,0.6374065773083801,I,I,13.0,13.0,1939,False,False
A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,A2-B0-C2-batch4-r43,III,III,576000,5,7,0.422,0.258,4.53,0.0935,0.5052631578947369,0.5091540404040402,8,1757.7999999999995,0.7452540925441452,0.7452540925441452,III,III,14.0,14.0,1951,False,False
A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,A2-B0-C2-batch4-r13,I,I,573090,6,6,0.662,0.233,5.58,0.0765,0.4680851063829786,0.4797619047619047,8,1438.1999999999998,0.5640440295713769,0.5640440295713769,I,I,12.0,12.0,1967,False,False
A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,A2-B0-C2-batch4-r94,III,III,580947,6,6,0.353,0.133,4.18,0.089,0.398936170212766,0.3983674085576261,8,1673.2000000000005,0.7202626515814934,0.7202626515814934,III,III,13.0,13.0,1942,False,False
A2-B0-C2-batch4-r41_vs_A2-B0-C2-batch4-r12,A2-B0-C2-batch4-r41,I,I,575806,5,6,0.582,0.239,4.78,0.0935,0.4833333333333333,0.4987599206349206,8,1757.8,0.6796771214509663,0.6796771214509663,I,I,13.0,13.0,1952,False,False
A2-B0-C2-batch4-r41_vs_A2-B0-C2-batch4-r12,A2-B0-C2-batch4-r12,III,III,572993,5,6,0.602,0.21,5.69,0.1005,0.5384615384615384,0.5438988095238095,8,1889.4,0.8174143496432537,0.8174143496432537,III,III,15.0,15.0,1922,False,False
A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,A2-B0-C2-batch4-r18,I,I,573575,6,5,0.364,0.321,6.05,0.082,0.5510204081632653,0.5611607142857142,8,1541.6,0.5348611955256038,0.5348611955256038,I,I,12.0,12.0,1971,False,False
A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,A2-B0-C2-batch4-r19,III,III,573672,6,5,0.529,0.309,4.04,0.0905,0.4761904761904759,0.4769345238095235,8,1701.4,0.7607797813332543,0.7607797813332543,III,III,14.0,14.0,1943,False,False
A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,A2-B0-C2-batch4-r39,I,I,575612,5,5,0.437,0.184,5.2,0.1015,0.5873015873015872,0.5992063492063491,8,1908.2,0.6230488869262995,0.6230488869262995,I,I,14.0,14.0,1921,False,False
A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,A2-B0-C2-batch4-r26,III,III,574351,5,5,0.454,0.279,5.94,0.1025,0.5294117647058822,0.5422123015873015,8,1927.0,0.7694520367154974,0.7694520367154974,III,III,15.0,15.0,1935,False,False
A2-B0-C2-batch4-r70_vs_A2-B0-C2-batch4-r47,A2-B0-C2-batch4-r70,I,I,578619,5,7,0.424,0.348,5.01,0.098,0.4581280788177341,0.4656250000000002,8,1842.4,0.686161570810164,0.686161570810164,I,I,15.0,15.0,1939,False,False
A2-B0-C2-batch4-r70_vs_A2-B0-C2-batch4-r47,A2-B0-C2-batch4-r47,III,III,576388,5,7,0.683,0.205,4.26,0.093,0.4,0.4005456349206349,8,1748.4,0.8237120554098382,0.8237120554098382,III,III,16.0,16.0,1946,False,False
A2-B0-C2-batch4-r44_vs_A2-B0-C2-batch4-r28,A2-B0-C2-batch4-r44,I,I,576097,5,6,0.782,0.264,4.77,0.1,0.4999999999999999,0.5044642857142856,8,1880.0,0.6614363579719142,0.6614363579719142,I,I,14.0,14.0,1924,False,False
A2-B0-C2-batch4-r44_vs_A2-B0-C2-batch4-r28,A2-B0-C2-batch4-r28,III,III,574545,5,6,0.695,0.101,6.66,0.1065,0.5937499999999999,0.6228174603174602,8,2002.2,0.7633609694507228,0.7633609694507228,III,III,13.0,13.0,1878,False,False
