rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio
A2-B0-C2-batch4-r205,III,591714,7,0.362,0.177,4.99,5,0.242,0.776627317243934,0.5501039535727578,1.5217980212136333
A2-B0-C2-batch4-r206,III,591811,4,0.353,0.263,5.22,5,0.249,0.769658908689659,0.9141620157685644,2.4735494237776035
A2-B0-C2-batch4-r207,I,591908,7,0.617,0.319,6.28,6,0.243,0.5338720885477396,0.14142135593730937,2.2687333624728154
A2-B0-C2-batch4-r208,II,592005,7,0.335,0.299,6.28,7,0.222,0.4291506556832782,0.5656854237492382,1.3154105961729834
A2-B0-C2-batch4-r209,III,592102,4,0.758,0.272,7.44,5,0.271,0.7428820032374244,0.5656854238992379,2.2186967635929102
A2-B0-C2-batch4-r210,I,592199,5,0.741,0.227,7.18,6,0.284,0.5887175305810336,0.6692130417902463,2.6927046684122944
A2-B0-C2-batch4-r211,I,592296,7,0.681,0.22,7.49,7,0.269,0.34742841733621843,0.8485281356238566,2.198072534061326
A2-B0-C2-batch4-r212,I,592393,5,0.499,0.128,7.71,7,0.213,0.475127289031699,0.8485281356238566,3.620334807059636
A2-B0-C2-batch4-r213,III,592490,6,0.535,0.177,7.1,5,0.242,0.7579362491069187,0.5433501962962635,2.006196208570886
A2-B0-C2-batch4-r214,I,592587,6,0.331,0.315,5.22,6,0.221,0.6775742750046868,0.5656854237492375,1.36413658066485
A2-B0-C2-batch4-r215,II,592684,4,0.708,0.121,7.58,7,0.327,0.3766316560859304,0.28284271202461875,5.157667828115073
A2-B0-C2-batch4-r216,I,592781,5,0.613,0.101,6.49,6,0.3,0.5175207179690287,0.2828427118746191,5.061933557447222
A2-B0-C2-batch4-r217,I,592878,8,0.325,0.23,4.9,6,0.179,0.48260473303925716,1.555634915310405,1.983333152831517
A2-B0-C2-batch4-r218,I,592975,7,0.775,0.124,5.15,6,0.327,0.6747392266757308,0.631319303893945,4.384170744732236
A2-B0-C2-batch4-r219,I,593072,6,0.304,0.316,7.08,6,0.24,0.6239185084911231,0.07071067804365469,1.755365273510757
