point_id,g_level,acople,seed,dim,viable,expande,estable,diam_fin,gig_fin,corr_masa_grado_ok
34,0.6,masa,4,d1,0,0,0,5,0.145,1
34,0.6,masa,4,d2,0,0,1,4,0.983,1
34,0.6,masa,4,d3,0,0,1,4,1.0,1
34,0.6,masa,4,d4,0,0,1,3,1.0,1
34,0.6,masa,4,curv,0,0,1,4,0.992,1
31,0.6,masa,1,d1,0,0,0,2,0.121,1
31,0.6,masa,1,d2,0,0,1,7,0.976,1
31,0.6,masa,1,d3,0,0,1,4,1.0,1
31,0.6,masa,1,d4,0,0,1,3,0.996,1
31,0.6,masa,1,curv,0,0,1,4,0.994,1
36,0.6,masa,6,d1,0,0,0,1,0.258,1
36,0.6,masa,6,d2,0,0,1,6,0.993,1
36,0.6,masa,6,d3,0,0,1,3,0.991,1
36,0.6,masa,6,d4,0,0,1,3,0.996,1
36,0.6,masa,6,curv,0,0,1,4,0.994,1
39,0.6,masa,9,d1,0,0,0,5,0.082,1
39,0.6,masa,9,d2,0,0,1,4,0.962,1
39,0.6,masa,9,d3,0,0,1,5,0.991,1
39,0.6,masa,9,d4,0,0,1,4,1.0,1
39,0.6,masa,9,curv,0,0,1,4,0.986,1
43,0.6,grado,3,d1,0,0,0,3,0.164,1
43,0.6,grado,3,d2,0,0,1,5,0.997,1
43,0.6,grado,3,d3,0,0,1,2,0.997,1
43,0.6,grado,3,d4,0,0,1,2,1.0,1
43,0.6,grado,3,curv,0,0,1,3,1.0,1
42,0.6,grado,2,d1,0,0,0,2,0.168,1
42,0.6,grado,2,d2,0,0,1,4,0.997,1
42,0.6,grado,2,d3,0,0,1,4,0.997,1
42,0.6,grado,2,d4,0,0,1,3,1.0,1
42,0.6,grado,2,curv,0,0,1,5,0.992,1
44,0.6,grado,4,d1,0,0,0,4,0.27,1
44,0.6,grado,4,d2,0,0,1,5,0.986,1
44,0.6,grado,4,d3,0,0,1,3,1.0,1
44,0.6,grado,4,d4,0,0,1,3,1.0,1
44,0.6,grado,4,curv,0,0,1,4,0.986,1
48,0.6,grado,8,d1,0,0,0,3,0.23,1
48,0.6,grado,8,d2,0,0,1,4,0.986,1
48,0.6,grado,8,d3,0,0,1,3,1.0,1
48,0.6,grado,8,d4,0,0,1,2,1.0,1
48,0.6,grado,8,curv,0,0,1,4,0.992,1
45,0.6,grado,5,d1,0,0,0,3,0.125,1
45,0.6,grado,5,d2,0,0,1,4,0.99,1
45,0.6,grado,5,d3,0,0,1,3,0.997,1
45,0.6,grado,5,d4,0,0,1,3,1.0,1
45,0.6,grado,5,curv,0,0,1,5,0.994,1
46,0.6,grado,6,d1,0,0,0,2,0.234,1
46,0.6,grado,6,d2,0,0,1,6,0.993,1
46,0.6,grado,6,d3,0,0,1,2,1.0,1
46,0.6,grado,6,d4,0,0,1,3,1.0,1
46,0.6,grado,6,curv,0,0,1,4,0.983,1
47,0.6,grado,7,d1,0,0,0,3,0.262,1
