point_id,dim,K,seed,exp_paso,frame_burgers,frame_burgers_null,n_ciclos,long_media,N
79,d3,3,7,0,1.07846,1.63853,400,9.11,343
79,d3,3,7,1,1.05763,1.55789,400,8.73,343
79,d3,3,7,2,1.04359,1.5373,373,9.58,343
79,d3,3,7,3,1.10612,1.6733,302,10.27,343
81,d3,4,1,0,1.18145,1.57493,400,9.28,343
81,d3,4,1,1,1.18947,1.54557,400,9.39,343
81,d3,4,1,2,1.22132,1.55359,373,8.91,343
81,d3,4,1,3,1.27754,1.51724,302,8.92,343
82,d3,4,2,0,1.16128,1.51621,400,9.11,343
82,d3,4,2,1,1.18536,1.5483,400,8.54,343
82,d3,4,2,2,1.16907,1.57893,374,9.17,343
82,d3,4,2,3,1.15167,1.53112,303,9.53,343
84,d3,4,4,0,1.13866,1.57831,400,9.21,343
84,d3,4,4,1,1.22717,1.60035,400,9.05,343
84,d3,4,4,2,1.14068,1.58753,373,9.04,343
84,d3,4,4,3,1.14936,1.54734,302,9.6,343
80,d3,4,0,0,1.19523,1.59586,400,9.46,343
80,d3,4,0,1,1.16658,1.55442,400,9.14,343
80,d3,4,0,2,1.14719,1.51746,373,9.62,343
80,d3,4,0,3,1.17411,1.56185,303,9.82,343
83,d3,4,3,0,1.19369,1.5325,400,9.13,343
83,d3,4,3,1,1.16856,1.50515,400,9.12,343
83,d3,4,3,2,1.1534,1.55411,375,9.65,343
83,d3,4,3,3,1.17363,1.56302,304,9.96,343
86,d3,4,6,0,1.22998,1.59799,400,9.23,343
86,d3,4,6,1,1.16969,1.59208,400,8.79,343
86,d3,4,6,2,1.12316,1.57154,373,8.92,343
86,d3,4,6,3,1.19259,1.56239,303,9.94,343
85,d3,4,5,0,1.25455,1.55912,400,9.39,343
85,d3,4,5,1,1.18651,1.5525,400,9.26,343
85,d3,4,5,2,1.17002,1.52699,373,9.42,343
85,d3,4,5,3,1.13836,1.57059,304,9.96,343
87,d3,4,7,0,1.18948,1.5496,400,9.26,343
87,d3,4,7,1,1.2066,1.5439,400,9.4,343
87,d3,4,7,2,1.21228,1.55341,373,9.38,343
87,d3,4,7,3,1.14489,1.50338,303,10.56,343
90,d3,5,2,0,1.18512,1.53343,400,9.12,343
90,d3,5,2,1,1.20859,1.51458,400,9.08,343
90,d3,5,2,2,1.1881,1.50707,374,9.3,343
90,d3,5,2,3,1.14297,1.51159,304,9.53,343
88,d3,5,0,0,1.22667,1.5242,400,9.22,343
88,d3,5,0,1,1.26256,1.49175,400,9.54,343
88,d3,5,0,2,1.19918,1.57751,373,9.51,343
88,d3,5,0,3,1.18048,1.50646,303,9.29,343
89,d3,5,1,0,1.11574,1.5272,400,9.17,343
89,d3,5,1,1,1.13267,1.54807,400,9.44,343
89,d3,5,1,2,1.09517,1.53305,374,9.55,343
89,d3,5,1,3,1.10653,1.55586,304,8.92,343
91,d3,5,3,0,1.18649,1.57491,400,9.06,343
91,d3,5,3,1,1.13868,1.53429,400,8.71,343
91,d3,5,3,2,1.18118,1.52818,374,9.24,343
91,d3,5,3,3,1.17859,1.59113,303,9.5,343
97,d4,2,1,0,0.0,1.58051,400,6.55,256
97,d4,2,1,1,0.0,1.54819,400,6.63,256
97,d4,2,1,2,0.0,1.58115,368,6.86,256
97,d4,2,1,3,0.0,1.61035,306,6.94,256
98,d4,2,2,0,0.0,1.61386,400,6.5,256
98,d4,2,2,1,0.0,1.58575,400,6.77,256
98,d4,2,2,2,0.0,1.56131,368,7.14,256
98,d4,2,2,3,0.0,1.55796,306,7.35,256
96,d4,2,0,0,0.0,1.48925,400,6.58,256
96,d4,2,0,1,0.0,1.6759,400,6.75,256
96,d4,2,0,2,0.0,1.51541,368,7.16,256
96,d4,2,0,3,0.0,1.50397,307,8.71,256
100,d4,2,4,0,0.0,1.55128,400,6.57,256
100,d4,2,4,1,0.0,1.6216,400,6.67,256
100,d4,2,4,2,0.0,1.52856,368,6.8,256
100,d4,2,4,3,0.0,1.53682,306,7.34,256
99,d4,2,3,0,0.0,1.54954,400,6.59,256
99,d4,2,3,1,0.0,1.58712,400,6.74,256
99,d4,2,3,2,0.0,1.54809,368,7.21,256
99,d4,2,3,3,0.0,1.53696,306,8.14,256
92,d3,5,4,0,1.21129,1.57941,400,9.19,343
92,d3,5,4,1,1.15448,1.52533,400,9.4,343
92,d3,5,4,2,1.19563,1.60795,373,9.74,343
92,d3,5,4,3,1.18944,1.54421,303,9.8,343
93,d3,5,5,0,1.19951,1.51015,400,9.31,343
93,d3,5,5,1,1.12349,1.52037,400,9.31,343
93,d3,5,5,2,1.15652,1.53503,373,9.35,343
93,d3,5,5,3,1.13861,1.55699,302,10.23,343
94,d3,5,6,0,1.14958,1.54067,400,9.29,343
94,d3,5,6,1,1.17853,1.50559,400,9.28,343
94,d3,5,6,2,1.22978,1.54953,374,9.88,343
94,d3,5,6,3,1.16952,1.50223,303,9.45,343
101,d4,2,5,0,0.0,1.54103,400,6.58,256
101,d4,2,5,1,0.0,1.55953,400,6.45,256
101,d4,2,5,2,0.0,1.6381,368,6.66,256
101,d4,2,5,3,0.0,1.56895,307,7.37,256
95,d3,5,7,0,1.2045,1.52405,400,9.12,343
95,d3,5,7,1,1.1856,1.53111,400,8.69,343
95,d3,5,7,2,1.17415,1.55782,374,9.11,343
95,d3,5,7,3,1.19433,1.51599,303,9.29,343
102,d4,2,6,0,0.0,1.54464,400,6.57,256
102,d4,2,6,1,0.0,1.54152,400,6.83,256
102,d4,2,6,2,0.0,1.6026,368,6.98,256
102,d4,2,6,3,0.0,1.4771,306,7.29,256
103,d4,2,7,0,0.0,1.56341,400,6.54,256
103,d4,2,7,1,0.0,1.5681,400,6.73,256
103,d4,2,7,2,0.0,1.58614,368,7.01,256
103,d4,2,7,3,0.0,1.58108,306,7.28,256
104,d4,3,0,0,1.02647,1.60487,400,6.5,256
104,d4,3,0,1,1.09768,1.61798,400,6.65,256
104,d4,3,0,2,1.10381,1.54099,369,6.94,256
104,d4,3,0,3,1.13302,1.60323,307,7.22,256
105,d4,3,1,0,1.07958,1.53349,400,6.59,256
105,d4,3,1,1,1.02674,1.59519,400,6.47,256
105,d4,3,1,2,1.05602,1.55334,368,6.98,256
105,d4,3,1,3,1.01912,1.61629,306,7.59,256
106,d4,3,2,0,1.04664,1.51977,400,6.52,256
106,d4,3,2,1,1.07368,1.5788,400,6.46,256
106,d4,3,2,2,1.10262,1.56906,368,7.38,256
106,d4,3,2,3,1.09863,1.50212,306,8.49,256
107,d4,3,3,0,1.0296,1.53746,400,6.51,256
107,d4,3,3,1,1.05053,1.5379,400,6.74,256
107,d4,3,3,2,1.14204,1.47578,368,6.6,256
107,d4,3,3,3,1.05088,1.55674,307,7.64,256
108,d4,3,4,0,1.07835,1.52896,400,6.55,256
108,d4,3,4,1,1.12618,1.57903,400,6.88,256
108,d4,3,4,2,1.09188,1.57398,368,7.25,256
108,d4,3,4,3,1.06683,1.58736,306,7.41,256
110,d4,3,6,0,1.00637,1.54349,400,6.46,256
110,d4,3,6,1,1.03106,1.56937,400,6.76,256
110,d4,3,6,2,1.0408,1.53531,368,6.87,256
110,d4,3,6,3,1.08534,1.61611,306,7.16,256
109,d4,3,5,0,1.1045,1.55616,400,6.46,256
109,d4,3,5,1,1.1001,1.57653,400,7.0,256
109,d4,3,5,2,1.12851,1.58921,368,7.27,256
109,d4,3,5,3,1.11711,1.59994,306,7.82,256
112,d4,4,0,0,1.12759,1.52403,400,6.42,256
112,d4,4,0,1,1.09697,1.57162,400,6.54,256
112,d4,4,0,2,1.11431,1.52831,368,6.96,256
112,d4,4,0,3,1.15412,1.49222,307,7.47,256
111,d4,3,7,0,1.13328,1.49306,400,6.59,256
111,d4,3,7,1,1.13208,1.53232,400,6.58,256
111,d4,3,7,2,1.10669,1.64398,368,7.13,256
111,d4,3,7,3,1.10062,1.47696,307,7.55,256
113,d4,4,1,0,1.15456,1.54861,400,6.46,256
113,d4,4,1,1,1.1619,1.57834,400,6.7,256
113,d4,4,1,2,1.18354,1.59338,368,7.03,256
113,d4,4,1,3,1.10541,1.52462,306,7.37,256
115,d4,4,3,0,1.1326,1.556,400,6.49,256
115,d4,4,3,1,1.10724,1.57963,400,6.75,256
115,d4,4,3,2,1.12673,1.569,368,7.0,256
115,d4,4,3,3,1.16963,1.55298,306,7.41,256
114,d4,4,2,0,1.16,1.54619,400,6.5,256
114,d4,4,2,1,1.10893,1.55923,400,6.67,256
114,d4,4,2,2,1.12558,1.50352,368,7.05,256
114,d4,4,2,3,1.13693,1.56501,306,7.42,256
117,d4,4,5,0,1.11237,1.51614,400,6.52,256
117,d4,4,5,1,1.02917,1.55185,400,6.46,256
117,d4,4,5,2,1.04883,1.56038,368,6.8,256
117,d4,4,5,3,1.1456,1.55917,306,7.51,256
116,d4,4,4,0,1.11498,1.53322,400,6.46,256
116,d4,4,4,1,1.13659,1.58447,400,6.76,256
116,d4,4,4,2,1.12629,1.55415,368,6.87,256
116,d4,4,4,3,1.131,1.56112,307,7.43,256
118,d4,4,6,0,1.12124,1.5463,400,6.45,256
118,d4,4,6,1,1.13785,1.49611,400,6.95,256
118,d4,4,6,2,1.10156,1.55002,368,6.94,256
118,d4,4,6,3,1.12177,1.52966,306,7.8,256
119,d4,4,7,0,1.11598,1.53794,400,6.47,256
119,d4,4,7,1,1.1067,1.53403,400,6.78,256
119,d4,4,7,2,1.23863,1.53558,368,7.1,256
119,d4,4,7,3,1.16469,1.53511,307,7.4,256
128,curv,2,0,0,0.0,1.54291,400,4.31,361
128,curv,2,0,1,0.0,1.58737,400,4.41,361
128,curv,2,0,2,0.0,1.49937,332,4.73,361
128,curv,2,0,3,0.0,1.50692,263,4.57,361
120,d4,5,0,0,1.13642,1.49428,400,6.5,256
120,d4,5,0,1,1.11171,1.51166,400,6.51,256
120,d4,5,0,2,1.09757,1.49429,368,7.34,256
120,d4,5,0,3,1.12835,1.49907,306,7.56,256
129,curv,2,1,0,0.0,1.59062,400,4.28,361
129,curv,2,1,1,0.0,1.52719,400,4.41,361
129,curv,2,1,2,0.0,1.51488,336,4.53,361
129,curv,2,1,3,0.0,1.63018,271,4.72,361
121,d4,5,1,0,1.10328,1.48689,400,6.49,256
121,d4,5,1,1,1.09519,1.51514,400,6.87,256
121,d4,5,1,2,1.13801,1.52141,368,6.91,256
121,d4,5,1,3,1.13716,1.50416,306,7.22,256
122,d4,5,2,0,1.0987,1.50877,400,6.48,256
