patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
23,66169,1500,local,6,8,3.298,0.036,2,6.296,1,0.787,0.914,15.613,0.3384,7,20
23,66169,1500,sin_local,-1,8,5.08,0.048,1,4.245,1,1.031,0.923,52.883,0.0888,4,17
23,66169,1500,local_barajado,6,8,3.441,0.056,1,4.524,1,1.193,0.919,15.176,0.0845,6,20
23,66169,1500,local_marco_congelado,6,8,3.179,0.023,0,7.941,0,1.065,0.921,15.653,0.3466,7,20
24,66172,1500,local,6,8,3.18,0.03,1,5.662,1,0.876,0.897,15.456,0.3551,7,20
24,66172,1500,sin_local,-1,8,4.846,0.048,1,2.999,1,0.899,0.915,51.235,0.1014,3,17
24,66172,1500,local_barajado,6,8,3.308,0.052,2,4.754,1,1.035,0.906,14.997,0.0922,5,20
24,66172,1500,local_marco_congelado,6,8,3.409,0.034,0,7.956,0,1.073,0.91,15.552,0.3453,8,20
25,66175,1500,local,6,8,3.289,0.036,1,5.951,1,0.919,0.917,15.637,0.3654,8,20
25,66175,1500,sin_local,-1,8,4.802,0.05,1,4.107,1,0.827,0.912,52.269,0.0934,4,17
25,66175,1500,local_barajado,6,8,3.308,0.054,1,5.221,1,1.107,0.907,15.075,0.0929,6,20
25,66175,1500,local_marco_congelado,6,8,3.714,0.035,0,7.965,0,0.994,0.921,15.693,0.3624,7,20
26,66178,1500,local,6,8,3.753,0.034,1,5.575,1,1.051,0.914,15.693,0.3376,7,20
26,66178,1500,sin_local,-1,8,5.099,0.056,1,3.051,1,0.783,0.907,52.771,0.0888,4,17
26,66178,1500,local_barajado,6,8,3.279,0.055,1,4.858,1,0.984,0.902,14.781,0.0874,5,20
26,66178,1500,local_marco_congelado,6,8,3.575,0.041,0,7.964,0,0.994,0.898,15.576,0.3524,7,20
27,66181,1500,local,6,8,3.591,0.019,1,5.763,1,0.834,0.92,15.747,0.3437,8,20
27,66181,1500,sin_local,-1,8,nan,0.046,2,4.865,1,1.009,0.905,50.28,0.0879,3,17
27,66181,1500,local_barajado,6,8,3.349,0.053,1,4.35,1,1.058,0.909,14.928,0.0884,1,20
27,66181,1500,local_marco_congelado,6,8,3.476,0.031,0,7.962,0,1.052,0.91,15.691,0.3554,8,20
28,66184,1500,local,6,8,3.887,0.027,1,5.857,1,0.824,0.911,15.875,0.3381,1,20
28,66184,1500,sin_local,-1,8,4.777,0.048,1,4.878,1,0.849,0.911,52.648,0.092,4,17
