genealogia,seed_base,rule_id,brazo,clase,es_clase_III,es_clase_III_o_IV,pendiente,z_agg,holon_ratio,diam_b1,giant_b1,grado_medio_b1,n_aristas_b1,diams_por_escala,K,J,noise,meandeg,kcap,seed,seg
H07_1357061,1357061,A2-B0-C2-r15,C2-hard,III,1,1,1.275223,1.3435,2.5493,23.0,0.781,2.129,2129,23|16|12|6|6,7,0.373,0.19,7.68,4,1358517,3.15
H07_1357061,1357061,A2-B0-C2-r15,C2-hibrido,III,1,1,1.319214,1.9798,2.5978,16.0,0.735,2.251,2251,16|11|8|5|5,7,0.373,0.19,7.68,4,1358517,2.89
H07_1357061,1357061,A2-B0-C2-r16,C2-hard,I,0,0,0.477165,0.8106,2.1508,10.0,0.9885,4.216,4216,10|7|6|5|4,6,0.342,0.105,4.84,7,1358614,3.42
H07_1357061,1357061,A2-B0-C2-r16,C2-hibrido,I,0,0,0.466,0.4243,1.4052,9.0,0.99,4.654,4654,9|8|6|5|4,6,0.342,0.105,4.84,7,1358614,3.92
H07_1357061,1357061,A2-B0-C2-r17,C2-hard,I,0,0,0.467552,0.4243,2.1884,10.0,0.991,4.648,4648,10|7|6|5|4,8,0.452,0.162,5.82,7,1358711,4.06
H07_1357061,1357061,A2-B0-C2-r17,C2-hibrido,II,0,0,0.431006,0.7071,2.6515,8.0,0.994,5.607,5607,8|7|5|4|4,8,0.452,0.162,5.82,7,1358711,4.43
H07_1357061,1357061,A2-B0-C2-r18,C2-hard,III,1,1,0.839846,0.9899,2.7091,15.0,0.9505,3.203,3203,15|11|9|5|4,8,0.485,0.22,6.63,5,1358808,4.38
H07_1357061,1357061,A2-B0-C2-r18,C2-hibrido,III,1,1,0.855456,0.9142,2.3596,13.0,0.933,3.847,3847,13|10|6|5|4,8,0.485,0.22,6.63,5,1358808,4.64
H07_1357061,1357061,A2-B0-C2-r19,C2-hard,III,1,1,0.796574,0.6692,3.0964,15.0,0.964,3.362,3362,15|10|8|5|4,4,0.55,0.184,6.04,5,1358905,3.65
H07_1357061,1357061,A2-B0-C2-r19,C2-hibrido,I,0,0,0.557503,0.8485,3.3075,10.0,0.9575,4.041,4041,10|7|6|5|4,4,0.55,0.184,6.04,5,1358905,3.67
H12_2571043,2571043,A2-B0-C2-r0,C2-hard,I,0,0,0.466391,0.7071,1.285,10.0,0.9945,4.855,4855,10|7|5|5|4,6,0.774,0.297,6.37,7,2571044,4.15
H12_2571043,2571043,A2-B0-C2-r0,C2-hibrido,I,0,0,0.283883,0.6692,2.3412,7.0,0.9975,6.084,6084,7|5|5|4|4,6,0.774,0.297,6.37,7,2571044,5.3
H12_2571043,2571043,A2-B0-C2-r1,C2-hard,I,0,0,0.501955,0.2828,3.2726,10.0,0.9925,4.801,4801,10|7|6|4|4,8,0.573,0.23,6.09,7,2571141,4.16
H12_2571043,2571043,A2-B0-C2-r1,C2-hibrido,I,0,0,0.33796,0.4243,2.6957,8.0,0.997,5.899,5899,8|6|5|5|4,8,0.573,0.23,6.09,7,2571141,4.62
H12_2571043,2571043,A2-B0-C2-r2,C2-hard,III,1,1,0.946255,1.2728,2.1531,20.0,0.897,2.527,2527,20|11|8|6|5,5,0.702,0.269,5.66,4,2571238,3.71
H12_2571043,2571043,A2-B0-C2-r2,C2-hibrido,III,1,1,1.004277,0.6313,3.6648,14.0,0.8825,2.989,2989,14|10|7|5|4,5,0.702,0.269,5.66,4,2571238,3.89
H12_2571043,2571043,A2-B0-C2-r3,C2-hard,I,0,0,0.668154,0.5657,1.983,12.0,0.975,3.412,3412,12|10|6|5|4,4,0.7,0.255,5.18,5,2571335,4.29
H12_2571043,2571043,A2-B0-C2-r3,C2-hibrido,II,0,0,0.440203,0.1414,2.9809,10.0,0.9945,5.087,5087,10|6|6|5|4,4,0.7,0.255,5.18,5,2571335,4.24
H12_2571043,2571043,A2-B0-C2-r4,C2-hard,III,1,1,1.139157,0.9899,2.2801,20.0,0.843,2.307,2307,20|15|11|6|5,5,0.486,0.226,6.63,4,2571432,3.53
H12_2571043,2571043,A2-B0-C2-r4,C2-hibrido,III,1,1,1.341948,1.7282,2.0138,16.0,0.784,2.434,2434,16|12|7|5|4,5,0.486,0.226,6.63,4,2571432,3.36
H12_2571043,2571043,A2-B0-C2-r5,C2-hard,I,0,0,0.617205,0.4899,2.462,12.0,0.9705,3.565,3565,12|7|6|5|4,8,0.545,0.156,4.1,6,2571529,4.06
H12_2571043,2571043,A2-B0-C2-r5,C2-hibrido,I,0,0,0.58401,0.6313,2.3396,11.0,0.9725,3.984,3984,11|7|6|5|4,8,0.545,0.156,4.1,6,2571529,4.73
H12_2571043,2571043,A2-B0-C2-r6,C2-hard,III,1,1,0.839602,0.5657,3.5168,15.0,0.969,3.276,3276,15|12|6|5|4,5,0.521,0.173,4.35,5,2571626,4.54
H12_2571043,2571043,A2-B0-C2-r6,C2-hibrido,I,0,0,0.584822,0.4243,3.5346,11.0,0.986,4.225,4225,11|8|6|5|4,5,0.521,0.173,4.35,5,2571626,4.98
