rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,holon_b1,K,J,noise,meandeg,kcap,seed
A2-B0-C2-r16,C2-hard,III,1.1972406728320966,0.4242640678119288,3.954934289381581,2241,2.241,20.0,0.801,0.35017164298235043,5,0.699,0.136,7.31,4,91764
A2-B0-C2-r16,C2-hibrido,intermedio (sin clase clara),-1.1371265984427146,5.926822709023825,4.0929167739431955,2282,2.282,1.0,0.739,0.3472523092087973,5,0.699,0.136,7.31,4,91764
A2-B0-C2-r16,C2-budget-soporte,IV,0.844928703605307,5.565042377311045,9.373827380498541,2615,2.615,28.0,0.9815,0.2288483704124945,5,0.699,0.136,7.31,4,91764
A2-B0-C2-r16,C2-random,I,0.6431236366450939,0.573421199864703,nan,3207,3.207,15.0,0.9835,0.0,5,0.699,0.136,7.31,4,91764
A2-B0-C2-r16,C0,I,0.2796830716352153,0.5656854237492382,2.9220991270429684,7310,7.31,7.0,0.9995,0.5379159038310068,5,0.699,0.136,7.31,4,91764
A2-B0-C2-r17,C2-hard,I,0.6662708204633467,0.8485281356238566,3.4439406789650464,3330,3.33,15.0,0.9645,0.4568887811957097,7,0.778,0.175,5.16,5,91861
A2-B0-C2-r17,C2-hibrido,I,0.5010653894249195,0.5656854237492379,3.1806056223002175,4974,4.974,9.0,0.9925,0.4811683226759299,7,0.778,0.175,5.16,5,91861
A2-B0-C2-r17,C2-budget-soporte,I,0.5896445492186855,0.669213041790246,2.4109294522853206,3479,3.479,12.0,0.9845,0.4434723676652383,7,0.778,0.175,5.16,5,91861
A2-B0-C2-r17,C2-random,I,0.498386045778402,0.42426406781192816,4.379754513356289,4975,4.975,9.0,0.9915,0.40766369045062484,7,0.778,0.175,5.16,5,91861
A2-B0-C2-r17,C0,I,0.45787885763562597,0.2828427118746191,2.7624100543970056,5160,5.16,9.0,0.994,0.6167143907477763,7,0.778,0.175,5.16,5,91861
A2-B0-C2-r18,C2-hard,III,0.9567646538848853,0.46213484597507637,1.8331671391065452,2431,2.431,18.0,0.886,0.9364044560359845,7,0.51,0.243,6.0,4,91958
A2-B0-C2-r18,C2-hibrido,III,0.9051658659537731,1.1270264093908111,1.583628358897471,2708,2.708,13.0,0.8465,0.8999074505884499,7,0.51,0.243,6.0,4,91958
A2-B0-C2-r18,C2-budget-soporte,III,0.7592051743503125,1.1501963184844997,1.6956038424558173,2891,2.891,19.0,0.9795,0.8177095878259932,7,0.51,0.243,6.0,4,91958
A2-B0-C2-r18,C2-random,I,0.675898675339774,1.1313708474984765,4.079132391645183,3353,3.353,12.0,0.969,0.5244211709272286,7,0.51,0.243,6.0,4,91958
A2-B0-C2-r18,C0,I,0.3354995385135578,0.4242640678119285,1.6549442153791571,6000,6.0,8.0,0.996,0.9060520853734341,7,0.51,0.243,6.0,4,91958
A2-B0-C2-r19,C2-hard,II,0.40637041155988535,0.5656854237492379,1.359957013895453,4707,4.707,9.0,0.9925,0.9945719262958814,7,0.565,0.343,5.98,7,92055
A2-B0-C2-r19,C2-hibrido,II,0.44029501517397,0.5656854237492379,2.063743231163888,5745,5.745,9.0,0.996,0.79176175953414,7,0.565,0.343,5.98,7,92055
A2-B0-C2-r19,C2-budget-soporte,II,0.37648708796428887,0.4242640678119285,1.6204778528034331,4750,4.75,8.0,0.9955,1.0878957841467014,7,0.565,0.343,5.98,7,92055
A2-B0-C2-r19,C2-random,I,0.48343943229573394,0.9899494915611664,1.563423848483136,5715,5.715,10.0,0.9955,0.8959421295801878,7,0.565,0.343,5.98,7,92055
A2-B0-C2-r19,C0,II,0.38024166011727184,0.28284271187461896,1.2369774917605296,5980,5.98,8.0,0.997,1.226647465761618,7,0.565,0.343,5.98,7,92055
