carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,brazo,lote,M_pre_poda,n_cut,n_aristas_brazo,grado_medio,clustering_local,transitividad,pendiente_corregida
A2-B0-C2-r2_f704_anticosto,A2-B0-C2-r2,,372023,5,0.517,0.323,5.74,6,4094,,2000,cosmog_00500,17352.4,1447.6000000000004,18800.0,0.07700000000000001,8,0.043,1447.6,0.4259259259259259,0.42425595238095226,0,anticosto,371828,4219,125,4094,4.094,0.001983333333333333,0.002562081198265668,0.5439122536475361
A2-B0-C2-r2_f704_antisoporte,A2-B0-C2-r2,,372023,5,0.517,0.323,5.74,6,4094,,2000,cosmog_00500,17418.2,1381.8000000000004,18800.0,0.07350000000000002,8,0.043,1381.8,0.326923076923077,0.33184523809523814,0,antisoporte,371828,4219,125,4094,4.094,0.0,0.0,0.5883212832981268
A2-B0-C2-r2_f704_azar,A2-B0-C2-r2,,372023,5,0.517,0.323,5.74,6,4094,,2000,cosmog_00500,17361.8,1438.2000000000003,18800.0,0.07650000000000001,8,0.048,1438.2,0.38461538461538464,0.4084325396825398,0,azar,371828,4219,125,4094,4.094,0.004683333333333334,0.005340189873417721,0.5460356635165777
A2-B0-C2-r2_f704_c2,A2-B0-C2-r2,,372023,5,0.517,0.323,5.74,6,4094,,2000,cosmog_00500,17361.8,1438.2000000000003,18800.0,0.07650000000000001,8,0.043,1438.1999999999998,0.33333333333333304,0.33720238095238064,0,c2,371828,4219,125,4094,4.094,0.0032333333333333333,0.002970100983433437,0.5528223615799522
A2-B0-C2-r2_f704_soporte,A2-B0-C2-r2,,372023,5,0.517,0.323,5.74,6,4094,,2000,cosmog_00500,17352.4,1447.6000000000004,18800.0,0.07700000000000001,8,0.04,1447.6,0.4339622641509433,0.453422619047619,0,soporte,371828,4219,125,4094,4.094,0.0054666666666666665,0.00593589236248516,0.5167298158412038
A2-B0-C2-r9_f704_anticosto,A2-B0-C2-r9,,272702,5,0.493,0.244,4.25,7,3939,,2000,cosmog_00500,17249.0,1551.0000000000005,18800.0,0.08250000000000002,8,0.047,1551.0,0.4799999999999999,0.496875,0,anticosto,271828,4031,92,3939,3.939,0.0004785714285714285,0.0006084369929691726,0.621546327793719
A2-B0-C2-r9_f704_antisoporte,A2-B0-C2-r9,,272702,5,0.493,0.244,4.25,7,3939,,2000,cosmog_00500,17220.8,1579.2000000000005,18800.0,0.08400000000000003,8,0.046,1579.2000000000003,0.4285714285714287,0.46155753968253976,0,antisoporte,271828,4031,92,3939,3.939,0.0,0.0,0.5848792303326431
A2-B0-C2-r9_f704_azar,A2-B0-C2-r9,,272702,5,0.493,0.244,4.25,7,3939,,2000,cosmog_00500,17249.0,1551.0000000000005,18800.0,0.08250000000000002,8,0.043,1550.9999999999998,0.43636363636363634,0.44642857142857145,0,azar,271828,4031,92,3939,3.939,0.0014285714285714284,0.0018213707501349163,0.585885676378408
A2-B0-C2-r9_f704_c2,A2-B0-C2-r9,,272702,5,0.493,0.244,4.25,7,3939,,2000,cosmog_00500,17267.8,1532.2000000000005,18800.0,0.08150000000000003,8,0.038,1532.2,0.48000000000000015,0.4985119047619049,0,c2,271828,4031,92,3939,3.939,0.0012857142857142856,0.0016175776774280514,0.5531006665758372
A2-B0-C2-r9_f704_soporte,A2-B0-C2-r9,,272702,5,0.493,0.244,4.25,7,3939,,2000,cosmog_00500,17296.0,1504.0000000000005,18800.0,0.08000000000000003,8,0.044,1503.9999999999998,0.3563218390804594,0.35342261904761874,0,soporte,271828,4031,92,3939,3.939,0.0018190476190476192,0.002219233355749832,0.667118170564861
