rule_id,seed,lote,K,kcap,escalon,n_aristas,clustering,transitividad,n_triangulos,gigante,asortatividad,n_componentes,solapamiento_aristas,pendiente_corr,frac_masa,kappa_v,n_sumideros,t_primer_sumidero,masa_acretada,dump_final,carpeta
A2-B0-C2-r17,273478,271828,5,5,e2,3165,0.07516666666666666,0.06478457811018645,205,1858,-0.2540307657468926,3,0.0037914691943127963,0.7829365667874628,0.113,0.7033492822966508,8,0.033,2124.3999999999996,cosmog_00500,A2-B0-C2-r17_s273478_f702_e2
A2-B0-C2-r17,273478,271828,5,5,e3,3165,0.18896666666666667,0.1614874117770989,511,1850,-0.17549550566981426,6,0.002843601895734597,0.7632659205966773,0.12500000000000003,0.8790697674418604,8,0.036,2349.9999999999995,cosmog_00500,A2-B0-C2-r17_s273478_f702_e3
A2-B0-C2-r17,273478,271828,5,5,e4,3165,0.38325,0.3586853470978616,1135,1795,-0.061262400103154854,24,0.002843601895734597,0.8132662763576178,0.143,1.2236842105263157,8,0.029,2688.4,cosmog_00500,A2-B0-C2-r17_s273478_f702_e4
A2-B0-C2-r17,273478,271828,5,5,orig,3165,0.01188333333333333,0.009164647635099547,29,1844,0.05987996588084256,9,1.0,0.8559190857277267,0.12100000000000004,0.7971014492753623,8,0.03,2274.8,cosmog_00500,A2-B0-C2-r17_s273478_f702_orig
A2-B0-C2-r19,273672,271828,5,7,e0,3679,0.0,0.0,0,1958,0.00859151913274491,4,0.0032617559119325905,0.6795908959054064,0.09000000000000002,0.4833333333333334,8,0.045,1692.0,cosmog_00500,A2-B0-C2-r19_s273672_f702_e0
A2-B0-C2-r19,273672,271828,5,7,e1,3679,0.03160714285714286,0.021134938453201208,91,1958,0.014086428640855905,4,0.002989942919271541,0.7464078017176521,0.09000000000000002,0.4500000000000001,8,0.041,1692.0,cosmog_00500,A2-B0-C2-r19_s273672_f702_e1
A2-B0-C2-r19,273672,271828,5,7,e2,3679,0.10058809523809524,0.0671208484942324,289,1955,0.0024625816044672737,5,0.0038053818972546886,0.7448338271142306,0.09700000000000003,0.4864864864864864,8,0.035,1823.6,cosmog_00500,A2-B0-C2-r19_s273672_f702_e2
A2-B0-C2-r19,273672,271828,5,7,e3,3679,0.24366666666666667,0.16722149105829526,720,1941,-0.011486034839199065,9,0.004077194889915738,0.7960349477021701,0.10850000000000003,0.6811594202898551,8,0.039,2039.8000000000002,cosmog_00500,A2-B0-C2-r19_s273672_f702_e3
A2-B0-C2-r19,273672,271828,5,7,e4,3679,0.48193095238095235,0.3709065572501355,1597,1908,0.005315707695217205,16,0.0038053818972546886,0.7694978508445254,0.13699999999999998,0.96,9,0.026,2575.5999999999995,cosmog_00500,A2-B0-C2-r19_s273672_f702_e4
A2-B0-C2-r19,273672,271828,5,7,orig,3679,0.0010047619047619048,0.001393512425485794,6,1955,0.014403442650939244,6,1.0,0.6730652317833353,0.09050000000000001,0.4126984126984126,9,0.039,1701.4,cosmog_00500,A2-B0-C2-r19_s273672_f702_orig
A2-B0-C2-r20,373769,371828,5,6,e0,3706,0.0,0.0,0,1962,-0.046373017008326016,4,0.0016189962223421479,0.5697614620780439,0.08500000000000002,0.381818181818182,8,0.049,1598.0,cosmog_00500,A2-B0-C2-r20_s373769_f702_e0
A2-B0-C2-r20,373769,371828,5,6,e1,3706,0.038549999999999994,0.024604004181072607,102,1962,-0.04026013243401129,4,0.0016189962223421479,0.6462251050999035,0.08850000000000004,0.48837209302325574,8,0.035,1663.8,cosmog_00500,A2-B0-C2-r20_s373769_f702_e1
A2-B0-C2-r20,373769,371828,5,6,e2,3706,0.11951666666666666,0.07815389563399534,324,1962,-0.02757589694230821,4,0.0018888289260658392,0.5372599276602679,0.09250000000000003,0.43749999999999994,8,0.038,1739.0,cosmog_00500,A2-B0-C2-r20_s373769_f702_e2
A2-B0-C2-r20,373769,371828,5,6,e3,3706,0.27283333333333337,0.19466109190319208,807,1958,-0.01565577202239445,6,0.0024284943335132216,0.5700394937849741,0.10250000000000004,0.5362318840579708,8,0.039,1927.0,cosmog_00500,A2-B0-C2-r20_s373769_f702_e3
A2-B0-C2-r20,373769,371828,5,6,e4,3706,0.5161500000000001,0.4320173675323631,1791,1931,0.001154660556971071,15,0.002698327037236913,0.665044912303561,0.13799999999999998,1.1159420289855073,9,0.041,2594.3999999999996,cosmog_00500,A2-B0-C2-r20_s373769_f702_e4
A2-B0-C2-r20,373769,371828,5,6,orig,3706,0.0023166666666666665,0.0028945887271850123,12,1968,0.037984790117217365,1,1.0,0.7081758225701758,0.08600000000000003,0.5000000000000001,8,0.041,1616.7999999999997,cosmog_00500,A2-B0-C2-r20_s373769_f702_orig
