cfg_id,q,gigante_real,ncomp_real,gigante_null,ncomp_null
FASE05,0.55,0.2880923315947176,543,0.18532904228165575,755
FASE05,0.6,0.8004069175991861,378,0.6561546286876907,445
FASE05,0.65,0.9198046764954456,262,0.9432810592543901,225
FASE05,0.7,0.9736681489231842,190,0.9801203243526027,117
FASE05,0.75,0.9833984375,129,0.9939778645833334,51
FASE05,0.8,0.9935912108033875,63,0.9984740978103304,20
FASE05,0.85,0.9979175642682752,27,0.999569151227919,7
FASE05,0.9,0.9995930824008138,7,0.9998643608002713,3
FASE05,0.95,1.0,1,1.0,1
FASE06,0.05,0.04878048780487805,506,0.00853658536585366,733
FASE06,0.1,0.04148871262965223,767,0.004881025015253203,1286
FASE06,0.15,0.046379170056956874,985,0.004882017900732303,1703
FASE06,0.2,0.06774488861763808,1128,0.004882514494964907,1952
FASE06,0.25,0.10498046875,1122,0.004638671875,2100
FASE06,0.3,0.11251271617497456,1137,0.006510681586978637,2065
FASE06,0.35,0.11525719267654752,1105,0.012031386224934612,1950
FASE06,0.4,0.1553249923710711,1062,0.020750686603600854,1743
FASE06,0.45,0.3613183236131832,974,0.042452190424521904,1445
FASE06,0.5,0.57275390625,854,0.0589599609375,1084
FASE06,0.55,0.6570857840417268,703,0.08178892464765287,726
FASE06,0.6,0.7104781281790438,583,0.6610376398779247,440
FASE06,0.65,0.7475819325758287,465,0.9350173725232416,253
FASE06,0.7,0.7920481297410411,342,0.9749760223210393,141
FASE06,0.75,0.9334309895833334,254,0.9881998697916666,74
FASE06,0.8,0.9642938887617304,141,0.9964904249637598,33
FASE06,0.85,0.9906649432715784,78,0.9990664943271579,10
FASE06,0.9,0.9965412004069176,33,0.9998643608002713,3
FASE06,0.95,0.9994217424826523,8,1.0,1
FASE07,0.05,0.05,485,0.004878048780487805,754
FASE07,0.1,0.10799267846247712,795,0.0036607687614399025,1327
FASE07,0.15,0.09926769731489016,1009,0.003661513425549227,1746
FASE07,0.2,0.08941104668904486,1107,0.0042722001830942935,1981
FASE07,0.25,0.08154296875,1150,0.00439453125,2137
FASE07,0.3,0.09623601220752798,1106,0.00590030518819939,2154
FASE07,0.35,0.1006102877070619,1039,0.0071490845684394075,2026
FASE07,0.4,0.15776624961855357,986,0.009917607567897467,1812
FASE07,0.45,0.41380713413807135,864,0.014105520141055202,1487
FASE07,0.5,0.495849609375,773,0.0318603515625,1136
FASE07,0.55,0.5110420597048052,665,0.11219620463877483,770
FASE07,0.6,0.6434384537131231,569,0.48168870803662256,436
FASE07,0.65,0.7781951356934923,449,0.9296647572542023,247
