patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
28,57805,1500,null_marco,nematico,4.807,0.046,0,7.959,0,1.045,0.914,3,17
28,57805,1500,null_mediado,nematico,5.028,0.045,1,3.967,1,0.714,0.911,3,17
28,57805,1500,subconjunto,nematico,4.81,0.05,0,7.968,0,1.045,0.906,3,16
29,59869,1500,completo,nematico,4.716,0.053,1,3.587,1,0.759,0.913,3,17
29,59869,1500,null_tipos,nematico,5.017,0.048,1,4.497,1,0.872,0.916,3,17
29,59869,1500,null_marco,nematico,4.719,0.056,0,7.966,0,1.068,0.91,4,17
29,59869,1500,null_mediado,nematico,4.997,0.048,1,4.583,1,0.807,0.911,4,17
29,59869,1500,subconjunto,nematico,5.044,0.051,0,7.961,0,0.952,0.907,4,16
30,61933,1500,completo,nematico,4.404,0.046,1,5.484,1,0.884,0.923,4,16
30,61933,1500,null_tipos,nematico,4.99,0.047,1,4.163,1,0.957,0.915,3,17
30,61933,1500,null_marco,nematico,4.89,0.046,0,7.952,0,1.016,0.921,4,16
30,61933,1500,null_mediado,nematico,5.051,0.048,1,3.57,1,0.82,0.909,4,17
30,61933,1500,subconjunto,nematico,4.955,0.048,0,7.967,0,0.921,0.911,3,16
31,63997,1500,completo,nematico,4.965,0.048,1,4.114,1,0.986,0.925,4,16
31,63997,1500,null_tipos,nematico,4.883,0.047,1,3.874,1,0.896,0.916,3,17
31,63997,1500,null_marco,nematico,4.923,0.053,0,7.976,0,0.962,0.915,3,17
31,63997,1500,null_mediado,nematico,4.87,0.053,1,4.155,1,0.743,0.918,3,17
31,63997,1500,subconjunto,nematico,4.975,0.048,0,7.96,0,0.887,0.919,4,16
33,68125,1500,completo,nematico,4.4,0.05,1,4.293,1,0.849,0.901,4,17
33,68125,1500,null_tipos,nematico,4.899,0.056,2,4.303,1,0.732,0.926,4,17
33,68125,1500,null_marco,nematico,4.834,0.052,0,7.937,0,0.953,0.911,3,17
33,68125,1500,null_mediado,nematico,4.706,0.051,1,3.717,1,0.736,0.909,3,17
33,68125,1500,subconjunto,nematico,5.109,0.055,0,7.961,0,0.843,0.909,4,16
32,66061,1500,completo,nematico,4.897,0.051,1,2.944,1,0.939,0.915,3,17
32,66061,1500,null_tipos,nematico,4.687,0.048,1,4.347,1,0.926,0.919,3,16
32,66061,1500,null_marco,nematico,4.552,0.047,0,7.962,0,1.001,0.909,3,17
32,66061,1500,null_mediado,nematico,nan,0.044,2,4.827,1,0.852,0.909,4,17
32,66061,1500,subconjunto,nematico,4.855,0.052,0,7.957,0,0.939,0.916,5,16
34,70189,1500,completo,nematico,4.917,0.054,1,4.679,1,1.026,0.899,4,17
34,70189,1500,null_tipos,nematico,4.895,0.052,1,2.608,1,0.797,0.914,4,17
34,70189,1500,null_marco,nematico,4.7,0.045,0,7.979,0,1.014,0.915,4,17
34,70189,1500,null_mediado,nematico,4.994,0.042,1,4.126,1,0.768,0.915,3,17
34,70189,1500,subconjunto,nematico,nan,0.037,0,7.969,0,1.059,0.914,3,16
35,72253,1500,completo,nematico,4.498,0.049,1,4.591,1,0.77,0.916,4,17
35,72253,1500,null_tipos,nematico,4.963,0.049,1,4.963,1,0.805,0.917,3,17
35,72253,1500,null_marco,nematico,5.072,0.054,0,7.975,0,1.023,0.922,4,17
35,72253,1500,null_mediado,nematico,4.78,0.049,1,4.871,1,1.058,0.919,3,17
35,72253,1500,subconjunto,nematico,4.422,0.047,0,7.949,0,0.826,0.922,4,16
36,74317,1500,completo,nematico,5.044,0.051,1,4.272,1,0.754,0.906,4,17
36,74317,1500,null_tipos,nematico,nan,0.05,2,4.685,1,1.057,0.905,4,17
36,74317,1500,null_marco,nematico,4.851,0.048,0,7.947,0,0.985,0.901,3,17
36,74317,1500,null_mediado,nematico,4.923,0.05,1,3.709,1,0.857,0.917,4,17
