brazo,Dt,N,seed,fg,clu,ev,diam,dmean,d95,dgrow,ver
AZAR,3,1024,3,0.87890625,0.0020639834881320948,1.5029797377830751,15,0.5949389623601221,1.5,2.6034660020975418,AZAR(exp)
ARBOL,3,1024,4,0.78125,0.04139194139194139,1.0125,18,0.0,0.0,2.333152101286753,AZAR(exp)
CICLOS,3,1024,4,0.845703125,0.5528587354674311,1.5277136258660509,19,0.012831588576074804,0.0,2.341337017333809,AZAR(exp)
AZAR,3,1024,4,0.9052734375,0.0010256410256410256,1.5277136258660509,14,0.6262831588576074,1.5,2.614818161396797,AZAR(exp)
ARBOL,3,1024,5,0.75390625,0.017712418300653593,1.0090673575129534,17,0.0,0.0,2.3911469997287917,AZAR(exp)
CICLOS,3,1024,5,0.814453125,0.5541425969294822,1.4964028776978417,17,0.027716976329854925,0.5,2.416595317757318,GEOMETRIA
AZAR,3,1024,5,0.900390625,0.0016891891891891893,1.4964028776978417,16,0.6244846016798168,1.5,2.555450710184785,AZAR(exp)
ARBOL,3,1024,6,0.8046875,0.04068480725623583,1.016990291262136,21,0.0,0.0,2.3693659784663414,AZAR(exp)
CICLOS,3,1024,6,0.833984375,0.5224913974913975,1.4859484777517564,16,0.02252389668497051,0.0,2.365057776256858,AZAR(exp)
AZAR,3,1024,6,0.8935546875,0.0020707305723592366,1.4859484777517564,18,0.5853925157616433,1.5,2.564144523931865,AZAR(exp)
ARBOL,3,1024,7,0.806640625,0.04500998003992016,1.0169491525423728,21,0.03587432528770751,0.5,2.416757269176739,AZAR(exp)
CICLOS,3,1024,7,0.8232421875,0.5354060982926963,1.4899169632265719,17,0.011864752011406457,0.0,2.392702052592059,GEOMETRIA
AZAR,3,1024,7,0.88671875,0.005627705627705628,1.4899169632265719,14,0.6350188410225074,1.5,2.574319749607943,AZAR(exp)
ARBOL,3,1024,8,0.779296875,0.03854023304890357,1.0100250626566416,17,0.02144887805868616,0.0,2.5579705261082117,AZAR(exp)
CICLOS,3,1024,8,0.822265625,0.5415555555555556,1.496437054631829,14,0.07160625444207534,0.5,2.4630089347086925,AZAR(exp)
AZAR,3,1024,8,0.880859375,0.00032362459546925567,1.496437054631829,13,0.6004924357802822,1.5,2.6105067216037097,AZAR(exp)
ARBOL,3,4096,1,0.76953125,0.020444444444444442,1.0120558375634519,23,0.0,0.0,2.82671139297072,AZAR(exp)
CICLOS,3,4096,1,0.816650390625,0.554835039817975,1.5079222720478327,20,0.02361683717615921,0.0,2.8084583365750513,AZAR(exp)
AZAR,3,4096,1,0.884521484375,0.0,1.5079222720478327,19,0.6726217743166896,2.0,3.0509228074548447,AZAR(exp)
ARBOL,3,4096,2,0.780029296875,0.027966742252456538,1.0109546165884193,21,0.017811769488769183,0.0,2.8707272271797124,AZAR(exp)
CICLOS,3,4096,2,0.822998046875,0.521623731459797,1.5161673094037378,21,0.05859335298302673,0.5,2.8285662661447493,AZAR(exp)
AZAR,3,4096,2,0.892333984375,0.0005324813631522896,1.5161673094037378,20,0.6528610631161703,1.5,3.072496648795228,AZAR(exp)
ARBOL,3,4096,3,0.76806640625,0.02182017543859649,1.010807374443738,22,0.0034333672431332654,0.0,2.7311140999767907,AZAR(exp)
CICLOS,3,4096,3,0.81787109375,0.5259456550981974,1.5008955223880598,24,0.04679552390640895,0.5,2.719033999467137,AZAR(exp)
AZAR,3,4096,3,0.884521484375,0.0005555555555555556,1.5008955223880598,18,0.6721770091556459,2.0,3.051155781204556,AZAR(exp)
ARBOL,3,4096,4,0.774658203125,0.0287467134092901,1.011660888748818,27,0.0,0.0,2.7500513597626757,AZAR(exp)
CICLOS,3,4096,4,0.814453125,0.5371679197994987,1.504496402877698,24,0.020530541721719687,0.0,2.804295642314829,AZAR(exp)
AZAR,3,4096,4,0.88427734375,0.0,1.504496402877698,17,0.6806840126029068,2.0,2.991422868566738,AZAR(exp)
ARBOL,3,4096,5,0.7763671875,0.0347985347985348,1.0138364779874214,22,0.0026978875031814713,0.0,2.821969906062941,AZAR(exp)
CICLOS,3,4096,5,0.81982421875,0.5169223394055609,1.5110184633710542,20,0.039093917027233395,0.5,2.796931269158877,AZAR(exp)
AZAR,3,4096,5,0.89111328125,0.0,1.5110184633710542,17,0.6634767116314584,2.0,3.036968930801956,AZAR(exp)
ARBOL,3,4096,6,0.777587890625,0.04039209502785662,1.011302982731554,23,0.0,0.0,2.734086792077599,AZAR(exp)
CICLOS,3,4096,6,0.816650390625,0.5443448924285162,1.5043348281016442,21,0.038488916005694526,0.5,2.7902011738179304,AZAR(exp)
AZAR,3,4096,6,0.88330078125,0.0008385744234800838,1.5043348281016442,20,0.6734543420785032,2.0,3.0283347461771766,AZAR(exp)
ARBOL,3,4096,7,0.77783203125,0.025730994152046785,1.0109855618330195,22,0.0376056624910887,0.5,2.8355432938264205,AZAR(exp)
CICLOS,3,4096,7,0.82763671875,0.5430568695469358,1.512094395280236,21,0.022914757103574702,0.0,2.893711247881502,AZAR(exp)
AZAR,3,4096,7,0.891845703125,0.002150537634408602,1.512094395280236,20,0.6594103269172014,1.5,3.081286756118643,AZAR(exp)
ARBOL,3,4096,8,0.765625,0.03437813944143058,1.0111607142857142,22,0.020814295867600772,0.0,2.8538727024267856,AZAR(exp)
CICLOS,3,4096,8,0.825439453125,0.5310180805213918,1.5113871635610765,18,0.06206213828815108,0.5,2.979559573126905,AZAR(exp)
AZAR,3,4096,8,0.888916015625,0.0,1.5113871635610765,16,0.6710072088536907,2.0,3.0721236724130434,AZAR(exp)
ARBOL,3,16384,1,0.769775390625,0.0301080715974333,1.0076117982873454,25,0.0,0.0,3.2276418767005532,AZAR(exp)
CICLOS,3,16384,1,0.81390380859375,0.5749688498835258,1.5169103862017248,24,0.027892299078739757,0.5,3.21187765360982,AZAR(exp)
AZAR,3,16384,1,0.891845703125,0.0,1.5169103862017248,22,0.700819463531328,2.0,3.436239204338023,AZAR(exp)
ARBOL,3,16384,2,0.76873779296875,0.009270216962524655,1.0071456927352125,25,0.015372497205000508,0.0,3.2728706837013046,AZAR(exp)
CICLOS,3,16384,2,0.82025146484375,0.541485369440641,1.5496688741721854,25,0.03892672019514178,0.5,3.2044285333124525,AZAR(exp)
AZAR,3,16384,2,0.89385986328125,0.0005324813631522896,1.5496688741721854,19,0.6829200121963614,2.0,3.540018251816911,AZAR(exp)
ARBOL,3,16384,3,0.76361083984375,0.021978021978021976,1.0074334585564704,27,0.0,0.0,3.1986770147870125,AZAR(exp)
CICLOS,3,16384,3,0.81488037109375,0.5594470899470899,1.5258782113699347,23,0.05595116988809766,0.5,3.183396019903028,AZAR(exp)
AZAR,3,16384,3,0.88818359375,0.0,1.5258782113699347,21,0.6677263479145473,2.0,3.590896788366787,AZAR(exp)
ARBOL,3,16384,4,0.76727294921875,0.021125265392781315,1.0063638533131811,31,0.0,0.0,3.2153628514756076,AZAR(exp)
CICLOS,3,16384,4,0.8115234375,0.5696491228070175,1.5212845968712394,30,0.02505335908120744,0.5,3.1746719846086195,AZAR(exp)
AZAR,3,16384,4,0.888427734375,0.0,1.5212845968712394,21,0.6979367821933123,2.0,3.428444830860701,AZAR(exp)
ARBOL,3,16384,5,0.7728271484375,0.02085714285714286,1.0080555994313694,30,0.0,0.0,3.190364624511551,AZAR(exp)
CICLOS,3,16384,5,0.81561279296875,0.5463189223057645,1.5393998353663099,26,0.03960295240519216,0.5,3.197208522093002,AZAR(exp)
AZAR,3,16384,5,0.8951416015625,0.0,1.5393998353663099,19,0.6814202087045049,2.0,3.4743467502053873,AZAR(exp)
ARBOL,3,16384,6,0.76910400390625,0.012283894449499545,1.006428061264979,28,0.0001016880211511084,0.0,3.1605661438091133,AZAR(exp)
CICLOS,3,16384,6,0.8062744140625,0.5115274983232729,1.5379258137774414,27,0.04959833231645312,0.5,3.21451413786744,AZAR(exp)
AZAR,3,16384,6,0.89404296875,0.0,1.5379258137774414,20,0.6884787472035794,2.0,3.5206150898371407,AZAR(exp)
ARBOL,3,16384,7,0.77252197265625,0.010386904761904762,1.007426720391878,28,0.03320093695895712,0.5,3.2789844956282295,AZAR(exp)
CICLOS,3,16384,7,0.81915283203125,0.5394467265074294,1.5347589598390583,26,0.025308076178836948,0.5,3.2216339963437743,AZAR(exp)
AZAR,3,16384,7,0.8992919921875,0.0,1.5347589598390583,21,0.6744576840818821,2.0,3.4750749612687994,AZAR(exp)
ARBOL,3,16384,8,0.7637939453125,0.03560157790927022,1.008310692024932,27,0.016270687379429383,0.0,3.3918292633581095,AZAR(exp)
CICLOS,3,16384,8,0.817626953125,0.5208257020757021,1.548521946849806,23,0.061072190070057875,0.5,3.247718177456848,AZAR(exp)
AZAR,3,16384,8,0.89794921875,0.0033222591362126247,1.548521946849806,21,0.6783683622702813,2.0,3.477272895895923,AZAR(exp)
