combo,eje_A,eje_B,eje_C,rule_id,seed,K,J,noise,meandeg,sim_thr_frac,kcap,escala_b,N,diam_real_viejo,diam_real_corr,diam_null_viejo,diam_null_corr,diam_null_std_viejo,diam_null_std_corr,giant_real,holon_real,holon_null_valor,n_aristas,n_triangulos,tam_comp_medida,tam_gigante,n_componentes,n_aislados,descarrila,difiere_real,difiere_null
A0-B0-C1,A0,B0,C1,A0-B0-C1-r3,625292,8,0.381,0.165,6.36,0.236,5,4,573,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,2.162658889491942,1.5450302620133551,11859,1500,573,573,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r3,625292,8,0.381,0.165,6.36,0.236,5,8,327,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,2.162658889491942,1.5450302620133551,9994,1500,327,327,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r3,625292,8,0.381,0.165,6.36,0.236,5,16,198,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,2.162658889491942,1.5450302620133551,6249,1500,198,198,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r4,625389,5,0.52,0.247,5.14,0.338,6,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,2.1055978683685597,1.5514893924320403,20109,1500,2000,2000,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r4,625389,5,0.52,0.247,5.14,0.338,6,2,1031,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,2.1055978683685597,1.5514893924320403,18876,1500,1031,1031,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r4,625389,5,0.52,0.247,5.14,0.338,6,4,542,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,2.1055978683685597,1.5514893924320403,17441,1500,542,542,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r4,625389,5,0.52,0.247,5.14,0.338,6,8,305,3.0,3.0,2.3333333333333335,2.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,2.1055978683685597,1.5514893924320403,14228,1500,305,305,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r4,625389,5,0.52,0.247,5.14,0.338,6,16,185,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,2.1055978683685597,1.5514893924320403,7904,1500,185,185,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r5,625486,5,0.568,0.17,6.12,0.196,5,1,2000,5.0,5.0,4.666666666666667,4.666666666666667,0.4714045217910317,0.4714045217910317,1.0,1.5351815908038269,1.4900649168047742,11824,1482,2000,2000,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r5,625486,5,0.568,0.17,6.12,0.196,5,2,1057,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,1.5351815908038269,1.4900649168047742,10731,1482,1057,1057,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r5,625486,5,0.568,0.17,6.12,0.196,5,4,585,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.5351815908038269,1.4900649168047742,9821,1482,585,585,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r5,625486,5,0.568,0.17,6.12,0.196,5,8,346,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.5351815908038269,1.4900649168047742,8311,1482,346,346,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r5,625486,5,0.568,0.17,6.12,0.196,5,16,215,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,1.5351815908038269,1.4900649168047742,5406,1482,215,215,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r6,625583,6,0.592,0.331,6.9,0.278,5,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,2.017307184103643,1.5096285538179088,16359,1500,2000,2000,1,0,False,False,False
