var_a,var_b,n,spearman,pearson,abs_spearman
frac_aristas_en_triangulo,tri_por_nodo_max,254,0.6328657219166202,0.5088599844163717,0.6328657219166202
tri_por_nodo_max,n_comp_tri,252,0.6271637436758897,0.5657464676805992,0.6271637436758897
tri_por_nodo_max,modularidad_tri,252,0.6229563473312407,0.5009277112561706,0.6229563473312407
tri_ar_p99_sop,tri_por_nodo_max,252,0.6153858358037606,0.5714428271414377,0.6153858358037606
transitividad,giant,254,-0.6054475054721501,-0.821764361890865,0.6054475054721501
n_triangulos,tam_medio_comp_tri,252,0.5928871171558858,0.45110615300054485,0.5928871171558858
clustering,giant,254,-0.5856138519567741,-0.7961224368978498,0.5856138519567741
tri_ar_max,n_triangulos,254,0.5802569583235182,0.575987110300672,0.5802569583235182
frac_nodos_en_triangulo,tam_medio_comp_tri,252,0.5795375536543094,0.4422335305490066,0.5795375536543094
tri_ar_max,frac_nodos_en_triangulo,254,0.578017734766285,0.5717329720355228,0.578017734766285
n_comp_tri_arista,tam_medio_comp_tri,252,0.5686200595910058,0.41786674466654283,0.5686200595910058
tri_por_nodo_max,transitividad,254,0.5570321133276347,0.4134862365029713,0.5570321133276347
transitividad,pendiente_nativa,254,0.5562773800267712,0.7220448622921378,0.5562773800267712
tri_ar_media_todas,tam_medio_comp_tri,252,0.5556666842310157,0.3982807473308515,0.5556666842310157
transitividad,n_aristas,254,-0.5543652045959232,-0.49034255287355366,0.5543652045959232
gini_tri_nodo,tam_medio_comp_tri,252,-0.5528959665068776,-0.40922118924471557,0.5528959665068776
frac_aristas_en_triangulo,tam_medio_comp_tri,252,0.5490462267735787,0.3903863077722014,0.5490462267735787
tam_medio_comp_tri,modularidad_tri,252,0.5487156793815652,0.38992686223238276,0.5487156793815652
tri_ar_max,gini_tri_nodo,252,-0.5423313234809228,-0.5366287736929964,0.5423313234809228
clustering,pendiente_nativa,254,0.5365842048925442,0.7124156362197145,0.5365842048925442
tri_por_nodo_max,clustering,254,0.535885292889456,0.4135180898450452,0.535885292889456
tri_ar_max,n_comp_tri_arista,252,0.5343823352869694,0.5264405290978554,0.5343823352869694
transitividad,grado_medio,254,-0.5342569732169948,-0.5757065550557569,0.5342569732169948
tri_ar_max,n_comp_tri,252,0.5238784777267633,0.5145529184100504,0.5238784777267633
n_comp_tri,tam_medio_comp_tri,252,0.521732295351193,0.36201116523953836,0.521732295351193
tri_ar_max,tri_ar_media_todas,254,0.517872182134566,0.48168665700355034,0.517872182134566
transitividad,diam,254,0.5167617217077219,0.6224041871319408,0.5167617217077219
tri_ar_max,frac_aristas_en_triangulo,254,0.5097200593806149,0.47295818664002065,0.5097200593806149
clustering,n_aristas,254,-0.5062504016462889,-0.4759518661440695,0.5062504016462889
clustering,grado_medio,254,-0.4981944759430802,-0.5631733304424422,0.4981944759430802
tri_ar_max,modularidad_tri,252,0.49523709118880194,0.46374293531638133,0.49523709118880194
modularidad_tri,dist_media_tri,249,0.49504026957732017,0.5970047135257056,0.49504026957732017
frac_aristas_en_triangulo,dist_media_tri,249,0.49321485038072765,0.5961133674532297,0.49321485038072765
tri_ar_media_todas,dist_media_tri,249,0.49080450366924533,0.5936321416011111,0.49080450366924533
clustering,diam,254,0.4901442128799259,0.5973655471684218,0.4901442128799259
modularidad_tri,giant,252,-0.4899640496715828,-0.746178468999328,0.4899640496715828
tri_ar_media_sop,n_triangulos,252,0.48476103671787885,0.3285053255954256,0.48476103671787885
frac_aristas_multi_tri,n_triangulos,252,0.48249376191574145,0.3292125247311749,0.48249376191574145
transitividad,tam_medio_comp_tri,252,0.48088286217809517,0.32637179411358824,0.48088286217809517
tri_ar_media_sop,frac_nodos_en_triangulo,252,0.48081522122525294,0.31487532541517693,0.48081522122525294
frac_aristas_multi_tri,frac_nodos_en_triangulo,252,0.4785616116277158,0.31659042221172795,0.4785616116277158
frac_aristas_en_triangulo,giant,254,-0.4626010660584925,-0.7219012216152261,0.4626010660584925
tri_ar_media_todas,giant,254,-0.4607638574811852,-0.7190160804269919,0.4607638574811852
modularidad_tri,n_aristas,252,-0.4575994301289539,-0.47058260218977277,0.4575994301289539
