kcap,K,seed_idx,admitida,J,clase,clustering_nativo,diam_b16,diam_nativo,giant_b16,giant_nativo,holon_ge5,holon_ratio,intentos_filtro,meandeg,n_aristas_nativo,noise,pendiente_null,pendiente_real,rule_id,seed,z_agg,z_sostenido
5,5,13,True,0.347,I,0.005660738190858671,4.0,13.0,0.8376288659793815,0.9665,False,2.8638452271713777,1,5.47,3345,0.138,0.777470410715872,0.6735786697629829,A2-B0-C2-r133,2026740,1.1970047276431832,False
5,5,14,True,0.676,IV,0.012349338075479182,4.0,13.0,0.7648456057007126,0.948,True,5.931106349719358,1,6.78,3296,0.122,0.7788955416603619,0.7499009214246085,A2-B0-C2-r134,2026753,0.7071067799865476,False
5,5,15,True,0.42,III,0.0033086138049058726,5.0,16.0,0.845945945945946,0.969,False,1.5086003359115798,1,4.72,3283,0.322,0.6522310517180633,0.7222865866004876,A2-B0-C2-r135,2026766,1.6970562712477135,False
5,5,16,True,0.56,III,0.0026286353467561514,4.0,14.0,0.8463687150837989,0.97,False,2.808768261451785,1,4.87,3381,0.23,0.7209027197010079,0.7292376807884772,A2-B0-C2-r136,2026779,0.707106779886547,False
5,5,17,True,0.507,III,0.003995433789954336,4.0,17.0,0.8494897959183674,0.9675,False,4.633302648085604,1,4.45,3271,0.129,0.6975745997122335,0.8532345719164826,A2-B0-C2-r137,2026792,1.3800262138095039,False
5,5,18,True,0.726,III,0.008207217694994174,4.0,14.0,0.7969543147208121,0.9555,False,1.8785297147360631,1,6.49,3347,0.339,0.7658189967972878,0.7760001651587725,A2-B0-C2-r138,2026805,0.28284271202461914,False
5,5,19,True,0.777,III,0.01930654058313637,4.0,14.0,0.7407407407407407,0.9435,False,4.087314939761136,1,6.69,3279,0.142,0.6757290176368955,0.7969797797400886,A2-B0-C2-r139,2026818,0.4949747458555834,False
5,6,0,True,0.454,III,0.006605922551252845,4.0,15.0,0.8429752066115702,0.97,False,2.65892223874883,1,5.02,3301,0.122,0.7300402460826573,0.8104161404400366,A2-B0-C2-r140,2026882,1.3512386574449056,False
5,6,1,True,0.558,III,0.0030062393647192274,4.0,14.0,0.8478260869565217,0.971,False,2.504344640821057,1,4.31,3222,0.318,0.7301920929810878,0.7223913043116081,A2-B0-C2-r141,2026895,0.5656854237492379,False
5,6,2,True,0.404,III,0.0037229938271604907,4.0,15.0,0.7989276139410187,0.9565,False,2.946862393695764,1,5.37,3311,0.194,0.7482899608960553,0.8037599028323064,A2-B0-C2-r142,2026908,0.28284271217461915,False
5,6,3,True,0.448,III,0.008596491228070168,4.0,15.0,0.7728395061728395,0.952,False,2.060282609128665,1,6.36,3267,0.141,0.6691276610587837,0.8280698658341286,A2-B0-C2-r143,2026921,2.82842711874619,False
