rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio
A2-B0-C2-batch3-r69,III,478522,7,0.753,0.318,4.37,6,0.235,0.7189443036232793,0.0,1.760365025336003
A2-B0-C2-batch3-r70,III,478619,4,0.632,0.249,5.76,5,0.207,0.794143572255329,0.9192388136675118,2.1496647234935415
A2-B0-C2-batch3-r71,III,478716,6,0.463,0.202,7.98,5,0.219,0.8975693187713398,0.9520557539648655,2.060532788024973
A2-B0-C2-batch3-r72,III,478813,6,0.467,0.249,7.53,4,0.251,1.2373249051112272,0.7778174578802022,2.2972308081931456
A2-B0-C2-batch3-r73,III,478910,6,0.632,0.178,7.69,4,0.163,1.3236852762989775,2.219771160101703,2.1491465120764124
A2-B0-C2-batch3-r74,III,479007,5,0.472,0.32,4.64,4,0.244,0.8985653220259173,0.7293960878232146,1.7551368987279274
A2-B0-C2-batch3-r75,III,479104,6,0.786,0.121,5.01,4,0.257,0.8545984417551393,0.9175388947068118,1.877942510342098
A2-B0-C2-batch3-r76,I,479201,8,0.679,0.309,5.83,5,0.338,0.5791822134585402,0.546738554876087,2.753904890957353
A2-B0-C2-batch3-r77,III,479298,8,0.719,0.175,5.12,5,0.312,0.7722412678069305,0.42426406821192836,3.5202445258108552
A2-B0-C2-batch3-r78,II,479395,8,0.482,0.303,6.49,7,0.201,0.357116607935505,0.6692130417902463,2.411468370300394
A2-B0-C2-batch3-r79,I,479492,8,0.764,0.345,4.22,6,0.33,0.6689099213625069,0.5277916858529373,2.510767171505413
A2-B0-C2-batch3-r80,III,479589,5,0.464,0.339,4.32,5,0.261,0.8621781132551967,0.8106343981275556,3.7062624164638462
A2-B0-C2-batch3-r81,III,479686,5,0.483,0.125,5.4,4,0.345,0.9534532866891715,0.5707923250618951,3.0413777405613613
A2-B0-C2-batch3-r82,IV,479783,5,0.697,0.127,6.12,5,0.192,0.7045463849331435,0.2159999219824468,5.4823905678420095
A2-B0-C2-batch3-r83,III,479880,7,0.752,0.325,4.01,6,0.19,0.7218028381417341,0.8106343977275561,2.46496063823419
A2-B0-C2-batch3-r84,III,479977,7,0.323,0.263,5.12,5,0.203,0.7868489981215203,0.5277916862029366,1.452678304467938
A2-B0-C2-batch3-r85,I,480074,6,0.402,0.265,5.58,7,0.315,0.5536805194294985,1.5556349153104039,0.9087037460986516
A2-B0-C2-batch3-r86,I,480171,5,0.646,0.19,6.06,5,0.3,0.684698515725542,0.848528135623857,3.1273886998421987
A2-B0-C2-batch3-r87,III,480268,7,0.504,0.212,4.63,4,0.279,1.078915762843181,3.6238311239769025,2.3573771235034537
