N,seed,n_surv,f_surv,excess_L2,excess_max,orden,orden_excess,L2_null_allN,L2_null_surv
1000,31,508,0.508,0.3573254893832942,0.1545275590551181,0.6810582030919421,0.6411219477794872,0.02958039891549808,0.041502300476984284
1000,32,511,0.511,0.35469296171889086,0.1470156555772994,0.6562464207416449,0.6183512254279608,0.02958039891549808,0.0413802944301184
1000,33,517,0.517,0.35409661869414794,0.13805609284332687,0.6591172200805069,0.6176286776430503,0.02958039891549808,0.0411394759287296
1000,34,510,0.51,0.35449277679046814,0.13970588235294118,0.6620237371610797,0.6240146885854947,0.02958039891549808,0.0414208434789757
1000,35,522,0.522,0.3554633707620161,0.14128352490421459,0.6615527973550013,0.6256038003046773,0.02958039891549808,0.04094197370337646
1000,36,534,0.534,0.3544400183073758,0.14653558052434457,0.6467200470207771,0.6071201347642858,0.02958039891549808,0.040479337680182186
1000,37,515,0.515,0.35533383728872503,0.1546116504854369,0.667762026877124,0.6297196127028329,0.02958039891549808,0.041219281000686954
1000,38,550,0.55,0.35698230157301025,0.14954545454545454,0.6602490592170249,0.6238115613818618,0.02958039891549808,0.039886201760873284
1000,39,505,0.505,0.35558134695802024,0.15024752475247527,0.6731283793991143,0.6320216848820619,0.02958039891549808,0.04162539209817408
1000,40,523,0.523,0.35370200407279057,0.13312619502868067,0.6486717894054294,0.6090742917986723,0.02958039891549808,0.040902813509142266
1000,41,522,0.522,0.35478130706119415,0.14894636015325668,0.6650139615903216,0.6242373116520032,0.02958039891549808,0.04094197370337646
1000,42,509,0.509,0.3539393742148146,0.1343320235756385,0.6612992338926096,0.6218983107000547,0.02958039891549808,0.041461511965432775
1000,43,508,0.508,0.35426508578676225,0.1387795275590551,0.6540398873019294,0.6124723522608028,0.02958039891549808,0.041502300476984284
1000,44,520,0.52,0.3549210263019685,0.15192307692307694,0.644837823266618,0.606271728573809,0.02958039891549808,0.04102063270711835
1000,45,528,0.528,0.3542527443606504,0.13446969696969696,0.6482793956768778,0.6108780467292084,0.02958039891549808,0.0407086842049331
1000,46,505,0.505,0.35608825205370326,0.1482673267326733,0.6720526514701888,0.6333715411875055,0.02958039891549808,0.04162539209817408
1000,47,523,0.523,0.35514611801352486,0.15033460803059273,0.6569087912689001,0.6159170816364804,0.02958039891549808,0.040902813509142266
1000,48,515,0.515,0.3541008428663422,0.13713592233009708,0.6570558612939406,0.6167232756650021,0.02958039891549808,0.041219281000686954
1000,49,527,0.527,0.3538422471686793,0.13685958254269448,0.6579029313732928,0.6163827495269893,0.02958039891549808,0.0407472889402133
1000,50,517,0.517,0.3557200109149213,0.14966150870406192,0.6657377810077891,0.6246827230952147,0.02958039891549808,0.0411394759287296
2000,1,1025,0.5125,0.3554928042153589,0.14426829268292685,0.6498391164049822,0.622294403230186,0.02091650066335189,0.029217435489538878
2000,2,1008,0.504,0.35456521304242977,0.1388888888888889,0.6567819592218174,0.6296786900797378,0.02091650066335189,0.02946278254943948
2000,3,1015,0.5075,0.3539824493698655,0.1350985221674877,0.6546721197443387,0.6284014626652162,0.02091650066335189,0.029361010975735173
2000,4,1030,0.515,0.3541407697454897,0.14199029126213591,0.6590635465038573,0.6325554481192917,0.02091650066335189,0.029146433111219564
2000,5,1019,0.5095,0.35468847058206415,0.14487242394504418,0.661221316808561,0.6340897023579816,0.02091650066335189,0.029303327204938452
2000,6,1015,0.5075,0.3537794744231067,0.1350985221674877,0.6499977338552111,0.623743581560704,0.02091650066335189,0.029361010975735173
2000,7,1010,0.505,0.3552200117385496,0.15321782178217824,0.6619423778910615,0.6337989203696724,0.02091650066335189,0.02943359702216782
2000,8,1023,0.5115,0.3542105432449155,0.13795210166177907,0.6598574239945302,0.6319308599147789,0.02091650066335189,0.02924598208695844
2000,9,1030,0.515,0.3540795466898757,0.13519417475728157,0.6584549367699931,0.6298933580781463,0.02091650066335189,0.029146433111219564
2000,10,1023,0.5115,0.35435888349546674,0.14088465298142716,0.6651990899635952,0.6370548007935803,0.02091650066335189,0.02924598208695844
2000,11,1012,0.506,0.354163210870457,0.13784584980237152,0.6624526529646121,0.6359525090218849,0.02091650066335189,0.029404498056060296
2000,12,1051,0.5255,0.3552810863933781,0.144267364414843,0.6702402939255743,0.6426796565719101,0.02091650066335189,0.028853776835596437
2000,13,1052,0.526,0.3541100995641178,0.1411596958174905,0.645194247860319,0.6177790495579921,0.02091650066335189,0.02884005980281001
2000,14,1024,0.512,0.35414093522488066,0.1416015625,0.6471399397189613,0.6200916409441313,0.02091650066335189,0.029231698334171417
2000,15,1039,0.5195,0.353693209505872,0.12909047160731474,0.6493909669904144,0.623178547845495,0.02091650066335189,0.029019922797158364
2000,16,1023,0.5115,0.35428606967915005,0.1399071358748778,0.6522336075558113,0.6245480069537808,0.02091650066335189,0.02924598208695844
2000,17,1018,0.509,0.3537512086649846,0.13334970530451867,0.6490461038600328,0.6223769934698368,0.02091650066335189,0.029317716269004694
2000,18,1022,0.511,0.3538903717632538,0.13429549902152643,0.6458688609534329,0.6179713650129607,0.02091650066335189,0.02926028679903264
2000,19,1045,0.5225,0.3548134830724005,0.1391148325358852,0.6475432516845862,0.6186660788979256,0.02091650066335189,0.028936492084609692
2000,20,1019,0.5095,0.35406069987920025,0.14094700686947986,0.6583347469176871,0.6296081612288841,0.02091650066335189,0.029303327204938452
2000,21,1020,0.51,0.3546039264259185,0.1485294117647059,0.6614125965378982,0.6332819324087423,0.02091650066335189,0.029288959306450306
2000,22,997,0.4985,0.35523214742259424,0.150827482447342,0.657593736704664,0.6286729991690847,0.02091650066335189,0.02962486959795922
2000,23,1011,0.5055,0.3535987008124538,0.12821463897131552,0.6540942979612232,0.6273604445795898,0.02091650066335189,0.029419036745727902
2000,24,1027,0.5135,0.3536696885732804,0.13011197663096397,0.6552286355962585,0.6258703587014819,0.02091650066335189,0.029188972321078078
2000,25,1007,0.5035,0.354901857685555,0.14510923535253228,0.6686389352010648,0.6421778784663768,0.02091650066335189,0.02947740790777356
2000,26,990,0.495,0.35564952270702477,0.1568181818181818,0.6636713235846434,0.6372466020961328,0.02091650066335189,0.029729419500528157
2000,27,1032,0.516,0.35433596786992216,0.14050387596899228,0.6551084779021631,0.6272319266242373,0.02091650066335189,0.029118176746737827
2000,28,1032,0.516,0.3546829316054513,0.14147286821705424,0.6680586066423153,0.6417645943689546,0.02091650066335189,0.029118176746737827
