point_id,w_grav,w_strong,w_em,w_weak,w_exp,w_cool,alc,dmax_grav,seed,acople,phys,viable_d1,acelera_d1,viable_d2,acelera_d2,viable_d3,acelera_d3,viable_d4,acelera_d4,viable_curv,acelera_curv,corr_ok
7,0.9119877070188522,0.7344873622059822,0.7198952194303274,0.011023000814020634,0.7356237526983023,0.7253526980057359,0.09789569396525621,2,0,grado,0,0,0,0,0,0,0,0,0,0,0,1
7,0.9119877070188522,0.7344873622059822,0.7198952194303274,0.011023000814020634,0.7356237526983023,0.7253526980057359,0.09789569396525621,2,0,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
7,0.9119877070188522,0.7344873622059822,0.7198952194303274,0.011023000814020634,0.7356237526983023,0.7253526980057359,0.09789569396525621,2,1,peso,0,0,0,0,0,0,0,0,0,0,0,1
7,0.9119877070188522,0.7344873622059822,0.7198952194303274,0.011023000814020634,0.7356237526983023,0.7253526980057359,0.09789569396525621,2,1,grado,0,0,0,0,0,0,0,0,0,0,0,1
7,0.9119877070188522,0.7344873622059822,0.7198952194303274,0.011023000814020634,0.7356237526983023,0.7253526980057359,0.09789569396525621,2,1,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
8,1e-38,1.0,0.0072992700729927005,1e-06,0.5,0.5,1.0,6,0,peso,1,0,0,0,0,0,0,0,0,0,0,1
8,1e-38,1.0,0.0072992700729927005,1e-06,0.5,0.5,1.0,6,0,grado,1,0,0,0,0,0,0,0,0,1,1,1
8,1e-38,1.0,0.0072992700729927005,1e-06,0.5,0.5,1.0,6,0,null_peso,1,0,0,0,0,0,0,0,0,1,1,1
8,1e-38,1.0,0.0072992700729927005,1e-06,0.5,0.5,1.0,6,1,peso,1,0,0,0,0,0,0,0,0,0,0,1
8,1e-38,1.0,0.0072992700729927005,1e-06,0.5,0.5,1.0,6,1,grado,1,0,0,0,0,0,0,0,0,1,1,1
8,1e-38,1.0,0.0072992700729927005,1e-06,0.5,0.5,1.0,6,1,null_peso,1,0,0,0,0,0,0,0,0,1,0,1
