origen_tarea,par,rule_id,rol,clase,seed,K,kcap,match_exacto_K_kcap,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,carpeta
tarea_actual_v4_escala40,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,A2-B0-C2-batch3-r26,III,III,474351,8,5,True,0.11150000000000004,8,0.032,2096.2000000000003,0.7205882352941176,0.7100694444444444,0,A2-B0-C2-batch3-r26_III
tarea_actual_v4_escala40,A2-B0-C2-batch3-r143_vs_A2-B0-C2-batch3-r70,A2-B0-C2-batch3-r143,I,I,485700,4,5,True,0.10000000000000003,8,0.037,1880.0000000000002,0.39351851851851805,0.39636393698893646,0,A2-B0-C2-batch3-r143_I
tarea_actual_v4_escala40,A2-B0-C2-batch3-r143_vs_A2-B0-C2-batch3-r70,A2-B0-C2-batch3-r70,III,III,478619,4,5,True,0.09500000000000004,8,0.039,1785.9999999999998,0.4264705882352941,0.42787698412698416,0,A2-B0-C2-batch3-r70_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r11_vs_A2-B0-C2-batch4-r0,A2-B0-C2-batch4-r11,I,I,572896,6,6,True,0.08600000000000003,8,0.043,1616.8000000000002,0.30687830687830625,0.3013392857142851,0,A2-B0-C2-batch4-r11_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r11_vs_A2-B0-C2-batch4-r0,A2-B0-C2-batch4-r0,III,III,571829,6,6,True,0.09000000000000002,8,0.04,1692.0,0.4421052631578949,0.44517857142857165,0,A2-B0-C2-batch4-r0_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r31_vs_A2-B0-C2-batch4-r1,A2-B0-C2-batch4-r31,I,I,574836,6,5,True,0.09850000000000003,8,0.036,1851.8000000000002,0.523076923076923,0.5260416666666665,0,A2-B0-C2-batch4-r31_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r31_vs_A2-B0-C2-batch4-r1,A2-B0-C2-batch4-r1,III,III,571926,6,5,True,0.10750000000000003,8,0.035,2021.0,0.6307692307692309,0.6416170634920635,0,A2-B0-C2-batch4-r1_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r3_vs_A2-B0-C2-batch4-r9,A2-B0-C2-batch4-r3,I,I,572120,5,6,True,0.07550000000000001,8,0.042,1419.4,0.32653061224489793,0.34077380952380953,0,A2-B0-C2-batch4-r3_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r3_vs_A2-B0-C2-batch4-r9,A2-B0-C2-batch4-r9,III,III,572702,5,6,True,0.07950000000000002,8,0.049,1494.6,0.35185185185185186,0.35342261904761907,0,A2-B0-C2-batch4-r9_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,A2-B0-C2-batch4-r23,I,I,574060,5,5,True,0.09550000000000002,8,0.041,1795.4,0.5081967213114754,0.511904761904762,0,A2-B0-C2-batch4-r23_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,A2-B0-C2-batch4-r10,III,III,572799,5,5,True,0.12799999999999997,8,0.03,2406.3999999999996,0.9027777777777777,0.9086805555555555,0,A2-B0-C2-batch4-r10_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r15_vs_A2-B0-C2-batch4-r62,A2-B0-C2-batch4-r15,I,I,573284,8,5,True,0.10550000000000002,8,0.038,1983.4,0.6307692307692307,0.6339285714285714,0,A2-B0-C2-batch4-r15_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r15_vs_A2-B0-C2-batch4-r62,A2-B0-C2-batch4-r62,III,III,577843,8,5,True,0.10250000000000004,8,0.036,1927.0,0.5671641791044775,0.5709325396825395,0,A2-B0-C2-batch4-r62_III
