patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
53,66259,2500,local_barajado,10,8,4.189,0.055,1,4.274,1,1.124,0.919,24.646,0.0503,4,20
53,66259,2500,local_marco_congelado,10,8,6.124,0.037,0,7.97,0,0.979,0.903,26.259,0.1735,4,20
55,66265,2500,local,9,8,5.464,0.039,1,5.203,1,0.751,0.912,23.717,0.2005,5,20
55,66265,2500,sin_local,-1,8,5.269,0.047,1,4.998,1,1.033,0.914,52.742,0.0851,4,17
55,66265,2500,local_barajado,9,8,4.079,0.055,4,5.383,1,1.092,0.905,21.928,0.063,5,20
55,66265,2500,local_marco_congelado,9,8,5.476,0.036,0,7.978,0,0.91,0.91,23.738,0.1928,5,20
59,66277,2500,local,8,8,5.912,0.022,1,4.893,1,0.94,0.92,21.298,0.2262,5,20
59,66277,2500,sin_local,-1,8,5.427,0.046,2,5.737,1,1.088,0.914,52.259,0.0863,4,17
59,66277,2500,local_barajado,8,8,3.867,0.054,3,5.445,1,1.177,0.92,20.098,0.0641,5,20
59,66277,2500,local_marco_congelado,8,8,4.631,0.038,0,7.981,0,1.006,0.904,20.709,0.2246,5,20
57,66271,2500,local,11,8,5.825,0.04,1,3.39,1,0.809,0.914,28.811,0.1566,4,20
57,66271,2500,sin_local,-1,8,5.292,0.048,2,4.492,1,0.817,0.918,52.35,0.0877,4,17
57,66271,2500,local_barajado,11,8,3.85,0.055,1,4.885,1,1.065,0.918,27.162,0.0477,4,20
57,66271,2500,local_marco_congelado,11,8,5.635,0.031,0,7.972,0,1.073,0.919,28.584,0.1496,4,20
56,66268,2500,local,11,8,5.888,0.033,1,3.434,1,0.753,0.917,28.915,0.1684,4,20
56,66268,2500,sin_local,-1,8,5.218,0.047,1,4.881,1,0.907,0.918,52.738,0.0873,4,17
56,66268,2500,local_barajado,11,8,3.835,0.056,2,4.064,1,0.959,0.908,26.792,0.0509,4,20
56,66268,2500,local_marco_congelado,11,8,5.711,0.037,0,7.977,0,0.998,0.91,28.898,0.1653,5,20
58,66274,2500,local,11,8,6.369,0.032,1,4.009,1,0.795,0.904,28.618,0.1693,4,20
58,66274,2500,sin_local,-1,8,5.709,0.037,1,4.583,1,1.013,0.91,52.133,0.0841,5,17
58,66274,2500,local_barajado,11,8,3.753,0.056,1,3.956,1,1.116,0.912,26.963,0.057,4,20
58,66274,2500,local_marco_congelado,11,8,5.416,0.03,0,7.978,0,0.939,0.912,28.445,0.1529,4,20
62,66286,2500,local,5,8,2.606,0.035,1,7.12,1,0.823,0.903,13.022,0.4563,15,20
62,66286,2500,sin_local,-1,8,5.251,0.044,2,5.56,1,1.058,0.912,52.126,0.0928,3,17
62,66286,2500,local_barajado,5,8,2.999,0.054,1,6.391,1,1.117,0.913,12.678,0.1101,6,20
62,66286,2500,local_marco_congelado,5,8,2.722,0.034,0,7.983,0,0.975,0.893,13.102,0.444,12,20
65,66295,2500,local,5,8,3.134,0.024,1,6.963,1,0.841,0.913,13.21,0.4847,14,20
65,66295,2500,sin_local,-1,8,5.154,0.042,2,4.461,1,0.962,0.905,50.992,0.0847,3,17
65,66295,2500,local_barajado,5,8,2.955,0.053,3,6.336,1,1.091,0.916,12.722,0.1071,7,20
65,66295,2500,local_marco_congelado,5,8,2.643,0.03,0,7.979,0,1.043,0.905,13.165,0.4536,18,20
63,66289,2500,local,8,8,4.506,0.038,1,5.32,1,0.824,0.917,20.931,0.2372,5,20
63,66289,2500,sin_local,-1,8,5.027,0.045,2,5.96,1,0.981,0.916,48.013,0.1015,4,16
