seed,f_persiste,orden_a1,dir_x,dir_y,dir_z,S_mean_vivos,S_max_vivos,S_total_vivos,entropia_orient,dim_participation,rango_C,ratio_orden_inicial,frac_coop_inicial,elapsed_s
815,0.5135,0.513290710131624,0.05065046625872936,0.1643370088588237,-0.9851029782652716,9784.398684885638,19090.647703678478,10048577.44937755,5.225633490074792,11.954084391829351,1027,18.11767927184888,0.500312156078039,0.31387177600117866
816,0.505,0.5380575792000191,-0.15660486896705833,-0.31706501364265455,-0.9353847829313848,10577.45622527068,19677.656602884534,10683230.787523387,5.1470444470238705,11.886210920264944,1010,20.210286562616794,0.5003591795897949,0.26325045600242447
817,0.491,0.5191002046369764,0.27813802207900157,0.7090361732011397,-0.6480022729638102,9564.331485201254,18464.235202135103,9392173.518467631,4.9581647835983595,11.923772000286354,982,46.10521829978993,0.49945622811405704,0.2260785750040668
818,0.5155,0.5114533854668074,-0.5418175573117471,0.40286015670240155,-0.7376567146921718,9752.458183884151,19089.930347708614,10054784.38758456,4.992476007618777,11.946522259523732,1031,16.00319396091404,0.5005107553776889,0.29169558400462847
819,0.5065,0.5272239329719113,0.2878942409500833,0.11525479109190725,0.9507014458588648,10184.088882416696,19300.89705205273,10316482.037888113,5.167622935586849,11.909842310262132,1013,19.78697806773001,0.5001070535267634,0.2390563340013614
820,0.527,0.5087446162947298,-0.19971675709176626,0.39506865601571595,-0.8966794153824902,9865.433383728843,19386.64929381066,10398166.7864502,5.079619201147261,11.946919512315027,1054,14.73132345849418,0.5005992996498249,0.2882985960022779
821,0.5235,0.522068505968732,-0.30860086294018846,-0.31361876359084867,-0.8980026606398882,10322.608716157361,19802.11898679156,10807771.325816758,5.1124357263169475,11.89638980271346,1047,14.252503935800497,0.5005657828914457,0.2850310770008946
822,0.5035,0.5224570437138047,0.8567553976274114,-0.26062268690526974,-0.44502359904456057,9939.755285020636,19016.695350043563,10009333.572015781,4.8734813010299565,11.93101199848692,1007,24.040063843217503,0.4997878939469735,0.26967898899602005
823,0.499,0.5221739372162845,-0.19342531739077168,-0.6996446859424011,0.6878109914975464,9835.055522783203,18875.107467970924,9815385.411737636,4.95304358179565,11.927676997843562,998,68.26071218559416,0.49970435217608805,0.31285687500349013
824,0.4905,0.49796280088450046,-0.46551389517660985,0.3091034781556265,0.8293080568700598,8785.912978755521,17675.47188267124,8618980.632159166,5.0540732646448845,11.933512845391055,981,57.372851261968215,0.499887943971986,0.29869233899808023
