rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final,pendiente_real,z_agg,holon_ratio
A2-B0-C0-r4,448,8,0.23,4.0,0.9754464285714286,1.4946115735028855,3381,63,4.333333333333333,0.4714045217910317,1.3568535089353648,A2,B0,C0,I,0.45387673716871646,0.5656854238992375,0.9078301901244746
A2-B0-C0-r4,323,16,0.32,4.0,0.9659442724458205,1.4946115735028855,2890,63,4.0,1e-09,1.3568535089353648,A2,B0,C0,I,0.45387673716871646,0.5656854238992375,0.9078301901244746
A2-B0-C1-r0,2000,1,0.03,7.0,0.999,0.6150937184244385,6317,54,7.333333333333333,0.4714045217910317,1.5836682183826638,A2,B0,C1,I,0.3190811108774048,0.565685423749238,2.5746779245920886
A2-B0-C1-r0,1116,2,0.11,6.0,0.9982078853046595,0.6150937184244385,5420,54,5.333333333333333,0.4714045217910317,1.5836682183826638,A2,B0,C1,I,0.3190811108774048,0.565685423749238,2.5746779245920886
A2-B0-C1-r0,636,4,0.2,5.0,0.9968553459119497,0.6150937184244385,4880,54,5.0,1e-09,1.5836682183826638,A2,B0,C1,I,0.3190811108774048,0.565685423749238,2.5746779245920886
A2-B0-C1-r0,430,8,0.28,4.0,0.9953488372093023,0.6150937184244385,4490,54,4.0,1e-09,1.5836682183826638,A2,B0,C1,I,0.3190811108774048,0.565685423749238,2.5746779245920886
A2-B0-C1-r0,294,16,0.36,4.0,0.9931972789115646,0.6150937184244385,3616,54,3.6666666666666665,0.4714045217910317,1.5836682183826638,A2,B0,C1,I,0.3190811108774048,0.565685423749238,2.5746779245920886
A2-B0-C1-r1,2000,1,0.02,10.0,0.9835,0.7399905499798145,4151,15,10.666666666666666,0.9428090425820633,1.9470516001721876,A2,B0,C1,I,0.5406176153675916,0.42426406796192817,2.631184412051342
A2-B0-C1-r1,1171,2,0.08,8.0,0.9726729291204099,0.7399905499798145,3320,15,7.0,1e-09,1.9470516001721876,A2,B0,C1,I,0.5406176153675916,0.42426406796192817,2.631184412051342
A2-B0-C1-r1,725,4,0.13,6.0,0.9558620689655173,0.7399905499798145,2855,15,5.666666666666667,0.4714045217910317,1.9470516001721876,A2,B0,C1,I,0.5406176153675916,0.42426406796192817,2.631184412051342
A2-B0-C1-r1,511,8,0.17,5.0,0.9373776908023483,0.7399905499798145,2578,15,4.666666666666667,0.4714045217910317,1.9470516001721876,A2,B0,C1,I,0.5406176153675916,0.42426406796192817,2.631184412051342
A2-B0-C1-r1,365,16,0.2,4.0,0.9123287671232877,0.7399905499798145,2211,15,4.0,1e-09,1.9470516001721876,A2,B0,C1,I,0.5406176153675916,0.42426406796192817,2.631184412051342
A2-B0-C1-r2,2000,1,0.03,9.0,0.994,0.5859918857493278,5397,54,9.0,1e-09,1.8739344841034309,A2,B0,C1,II,0.4093961203247521,0.5656854237492379,3.1978846971697688
A2-B0-C1-r2,1118,2,0.11,5.0,0.9892665474060823,0.5859918857493278,4507,54,6.333333333333333,0.4714045217910317,1.8739344841034309,A2,B0,C1,II,0.4093961203247521,0.5656854237492379,3.1978846971697688
A2-B0-C1-r2,672,4,0.18,5.0,0.9821428571428571,0.5859918857493278,4004,54,5.0,1e-09,1.8739344841034309,A2,B0,C1,II,0.4093961203247521,0.5656854237492379,3.1978846971697688
A2-B0-C1-r2,420,8,0.25,4.0,0.9714285714285714,0.5859918857493278,3627,54,4.0,1e-09,1.8739344841034309,A2,B0,C1,II,0.4093961203247521,0.5656854237492379,3.1978846971697688
A2-B0-C1-r2,317,16,0.31,4.0,0.9621451104100947,0.5859918857493278,3067,54,4.0,1e-09,1.8739344841034309,A2,B0,C1,II,0.4093961203247521,0.5656854237492379,3.1978846971697688
A2-B0-C1-r3,2000,1,0.02,10.0,0.991,0.5704415491636655,4594,27,10.333333333333334,0.4714045217910317,1.6308355603568034,A2,B0,C1,I,0.45474854867641046,0.4242640678119288,2.858900377694788
