exp,diseno,rule_id,seed,clase,brazo,N_nodos,K,kcap,J,noise,meandeg,n_aristas,grado_medio,clustering,transitividad,n_triangulos,holon,giant,diam,pendiente,frac_masa,masa_acretada,kappa_v,n_sumideros,t_primer_sumidero,carpeta,densidad,geo_sepmedia,geo_fof020,geo_ngrupos020,geo_fof030,geo_ngrupos030,geo_fof050,geo_densk8cv,geo_o4a_fof06,geo_o4a_fof10,geo_o4a_ngrupos06,geo_o4a_knn100x,geo_o4a_knn1000x,geo_o4a_sin_verificar_seed,base,geoIC_fof_b0.20,geoIC_ngrupos_b0.20,geoIC_fof_b0.30,geoIC_ngrupos_b0.30,geoIC_fof_b0.50,geoIC_ngrupos_b0.50,geoIC_knn8_cv,geoIC_knn8_p90_med,masa_particula,lado_nube,n_aristas_cabecera,bateria_raiz
F5B_40pares,pareado,A2-B0-C2-batch3-r76,479201.0,I,unico,2000,8.0,5.0,0.679,0.309,5.83,3332.0,3.332,,,,,0.9625,12.0,0.5791822134585409,0.1065,2002.2,0.6825396825396828,8,0.036,A2-B0-C2-batch3-r76_I,0.0016668334167083,7.745961543236626,0.6054999999999994,69.0,0.6710000000000018,16.0,0.6804999999999835,4.197080404181096,,,,,,False,A2-B0-C2-batch3-r76_I,0.6054999999999994,69,0.6710000000000018,16,0.6804999999999835,2,4.197080404181096,10.371916248034315,9.4,97.59303774870308,3332.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch3-r83,479880.0,III,unico,2000,7.0,6.0,0.752,0.325,4.01,3567.0,3.567,,,,,0.976,14.0,0.7218028381417335,0.087,1635.6,0.4193548387096775,8,0.043,A2-B0-C2-batch3-r83_III,0.001784392196098,,,,,,,,,,,,,False,A2-B0-C2-batch3-r83_III,0.5524999999999995,78,0.6155000000000003,26,0.6334999999999852,1,4.4126748692175255,7.808330251243278,9.4,97.5929951457288,3567.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r86,480171.0,I,unico,2000,5.0,5.0,0.646,0.19,6.06,3407.0,3.407,,,,,0.9735,13.0,0.6846985157255415,0.0945,1776.6,0.5,8,0.035,A2-B0-C2-batch3-r86_I,0.001704352176088,7.745961543236626,0.5539999999999994,71.0,0.632,25.0,0.6509999999999845,4.32634789132048,,,,,,False,A2-B0-C2-batch3-r86_I,0.5539999999999994,71,0.632,25,0.6509999999999845,1,4.32634789132048,8.911946048737715,9.4,97.59290362437942,3407.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r9,472702.0,I,unico,2000,7.0,6.0,0.343,0.205,6.02,4069.0,4.069,,,,,0.983,10.0,0.4789609415912562,0.0765,1438.2,0.4130434782608696,8,0.046,A2-B0-C2-batch3-r9_I,0.0020355177588794,,,,,,,,,,,,,False,A2-B0-C2-batch3-r9_I,0.3759999999999998,62,0.5214999999999993,39,0.5609999999999934,4,4.575957667087219,8.626708256868904,9.4,97.59299355167916,4069.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch4-r0,571829.0,III,unico,2000,6.0,6.0,0.4,0.123,7.95,3897.0,3.897,,,,,0.9685,14.0,0.7498208397520266,0.09,1692.0,0.4421052631578949,8,0.04,A2-B0-C2-batch4-r0_III,0.0019494747373686,,,,,,,,,,,,,False,A2-B0-C2-batch4-r0_III,0.4279999999999996,60,0.55,33,0.5844999999999878,6,4.417485666612501,14.674780163127917,9.4,97.59304513875988,3897.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch4-r1,571926.0,III,unico,2000,6.0,5.0,0.398,0.285,6.18,3224.0,3.224,,,,,0.9485,15.0,0.757937290221059,0.1075,2021.0,0.6307692307692309,8,0.035,A2-B0-C2-batch4-r1_III,0.0016128064032016,,,,,,,,,,,,,False,A2-B0-C2-batch4-r1_III,0.6024999999999995,69,0.6810000000000032,6,0.688499999999983,1,4.199267573673695,11.43495169884778,9.4,97.59301881356224,3224.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch4-r10,572799.0,III,unico,2000,5.0,5.0,0.339,0.263,7.64,2994.0,2.994,,,,,0.9105,16.0,0.9674452669352483,0.1279999999999999,2406.4,0.9027777777777776,8,0.03,A2-B0-C2-batch4-r10_III,0.0014977488744372,7.745961543236626,0.6444999999999993,66.0,0.704999999999997,13.0,0.714499999999982,4.142663887191608,0.237,0.509,55.0,0.137,0.0505,True,A2-B0-C2-batch4-r10_III,0.6444999999999993,66,0.704999999999997,13,0.714499999999982,1,4.142663887191608,16.041612361759164,9.4,97.59301274070404,2994.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch4-r11,572896.0,I,unico,2000,6.0,6.0,0.336,0.263,7.47,3920.0,3.92,,,,,0.9665,11.0,0.5873752918624704,0.086,1616.8000000000002,0.3068783068783062,8,0.043,A2-B0-C2-batch4-r11_I,0.0019609804902451,,,,,,,,,,,,,False,A2-B0-C2-batch4-r11_I,0.4124999999999996,66,0.5329999999999999,34,0.5674999999999895,2,4.467198969998802,10.939482111110689,9.4,97.59299809622888,3920.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch4-r12,572993.0,III,unico,2000,6.0,5.0,0.602,0.21,5.69,3340.0,3.34,,,,,0.961,15.0,0.8174143496432537,0.1005,1889.4,0.5384615384615384,8,0.039,A2-B0-C2-batch4-r12_III,0.0016708354177088,,,,,,,,,,,,,False,A2-B0-C2-batch4-r12_III,0.5919999999999992,58,0.6650000000000017,15,0.6759999999999836,2,4.2477559136763485,8.79084888501245,9.4,97.59293430631944,3340.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch4-r13,573090.0,I,unico,2000,6.0,6.0,0.662,0.233,5.58,4061.0,4.061,,,,,0.9835,12.0,0.5640440295713769,0.0765,1438.1999999999998,0.4680851063829786,8,0.047,A2-B0-C2-batch4-r13_I,0.0020315157578789,7.745961543236626,0.3884999999999998,65.0,0.5339999999999995,40.0,0.5654999999999897,4.644071025258917,,,,,,False,A2-B0-C2-batch4-r13_I,0.3884999999999998,65,0.5339999999999995,40,0.5654999999999897,3,4.644071025258917,6.294875987584308,9.4,97.59300562301166,4061.0,bateria_fase5b_a2b0c2_escala_v4
