rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final
A2-B0-C2-r8,462,8,0.13,5.0,0.922077922077922,0.9372624959400702,2417,51,5.0,1e-09,1.316613554466165,A2,B0,C2,I
A2-B0-C2-r8,336,16,0.17,4.0,0.8928571428571429,0.9372624959400702,2078,51,4.0,1e-09,1.316613554466165,A2,B0,C2,I
A2-B0-C2-r9,2000,1,0.02,10.0,0.9785,0.6897801613169617,3939,24,12.333333333333334,1.2472191299246471,1.3197587236470127,A2,B0,C2,I
A2-B0-C2-r9,1154,2,0.05,9.0,0.9653379549393414,0.6897801613169617,3088,24,7.666666666666667,0.4714045217910317,1.3197587236470127,A2,B0,C2,I
A2-B0-C2-r9,736,4,0.07,5.0,0.9456521739130435,0.6897801613169617,2644,24,6.0,0.816496581927726,1.3197587236470127,A2,B0,C2,I
A2-B0-C2-r9,483,8,0.09,5.0,0.917184265010352,0.6897801613169617,2359,24,5.0,1e-09,1.3197587236470127,A2,B0,C2,I
A2-B0-C2-r9,352,16,0.11,4.0,0.8863636363636364,0.6897801613169617,2020,24,4.0,1e-09,1.3197587236470127,A2,B0,C2,I
A2-B0-C2-r10,2000,1,0.02,14.0,0.9145,1.028250887586531,3037,105,16.0,0.816496581927726,1.6879057958249202,A2,B0,C2,III
A2-B0-C2-r10,1232,2,0.07,12.0,0.8709415584415584,1.028250887586531,2240,105,10.666666666666666,0.9428090425820633,1.6879057958249202,A2,B0,C2,III
A2-B0-C2-r10,810,4,0.11,7.0,0.8074074074074075,1.028250887586531,1811,105,7.0,0.816496581927726,1.6879057958249202,A2,B0,C2,III
A2-B0-C2-r10,584,8,0.16,5.0,0.7328767123287672,1.028250887586531,1554,105,5.333333333333333,0.4714045217910317,1.6879057958249202,A2,B0,C2,III
A2-B0-C2-r10,480,16,0.19,5.0,0.675,1.028250887586531,1361,105,5.0,1e-09,1.6879057958249202,A2,B0,C2,III
A2-B0-C2-r11,2000,1,0.01,16.0,0.8925,0.5923716333793245,2533,45,18.666666666666668,1.2472191299246471,1.3769616245066039,A2,B0,C2,III
A2-B0-C2-r11,1238,2,0.04,13.0,0.8416801292407108,0.5923716333793245,1761,45,13.333333333333334,0.4714045217910317,1.3769616245066039,A2,B0,C2,III
A2-B0-C2-r11,842,4,0.06,7.0,0.7731591448931117,0.5923716333793245,1355,45,8.0,0.816496581927726,1.3769616245066039,A2,B0,C2,III
A2-B0-C2-r11,594,8,0.07,7.0,0.6784511784511784,0.5923716333793245,1101,45,6.333333333333333,0.4714045217910317,1.3769616245066039,A2,B0,C2,III
A2-B0-C2-r11,487,16,0.1,5.0,0.6078028747433265,0.5923716333793245,960,45,5.0,1e-09,1.3769616245066039,A2,B0,C2,III
A2-B0-C2-r12,2000,1,0.02,10.0,0.994,0.4576853500334667,4777,54,9.333333333333334,0.4714045217910317,2.0073867166816832,A2,B0,C2,I
A2-B0-C2-r12,1126,2,0.06,6.0,0.9893428063943162,0.4576853500334667,3896,54,6.666666666666667,0.4714045217910317,2.0073867166816832,A2,B0,C2,I
A2-B0-C2-r12,670,4,0.1,5.0,0.982089552238806,0.4576853500334667,3411,54,5.333333333333333,0.4714045217910317,2.0073867166816832,A2,B0,C2,I
A2-B0-C2-r12,433,8,0.13,4.0,0.9722863741339491,0.4576853500334667,3087,54,5.0,1e-09,2.0073867166816832,A2,B0,C2,I
A2-B0-C2-r12,305,16,0.16,4.0,0.9606557377049181,0.4576853500334667,2667,54,4.0,1e-09,2.0073867166816832,A2,B0,C2,I
A2-B0-C2-r13,2000,1,0.01,19.0,0.888,0.667007785665621,2481,66,18.333333333333332,1.2472191299246471,1.6803245675672076,A2,B0,C2,III
A2-B0-C2-r13,1253,2,0.04,13.0,0.8379888268156425,0.667007785665621,1718,66,13.0,0.816496581927726,1.6803245675672076,A2,B0,C2,III
A2-B0-C2-r13,856,4,0.07,8.0,0.7710280373831776,0.667007785665621,1320,66,9.666666666666666,0.9428090425820633,1.6803245675672076,A2,B0,C2,III
A2-B0-C2-r13,615,8,0.09,6.0,0.6813008130081301,0.667007785665621,1062,66,6.666666666666667,0.4714045217910317,1.6803245675672076,A2,B0,C2,III
A2-B0-C2-r13,511,16,0.11,5.0,0.6164383561643836,0.667007785665621,926,66,4.666666666666667,0.4714045217910317,1.6803245675672076,A2,B0,C2,III
A2-B0-C2-r14,2000,1,0.03,17.0,0.963,0.48364220761222637,3296,57,14.0,0.816496581927726,1.451011623355736,A2,B0,C2,III
A2-B0-C2-r14,1177,2,0.11,11.0,0.9405267629566695,0.48364220761222637,2461,57,10.0,0.816496581927726,1.451011623355736,A2,B0,C2,III
A2-B0-C2-r14,743,4,0.14,6.0,0.9057873485868102,0.48364220761222637,2015,57,6.0,1e-09,1.451011623355736,A2,B0,C2,III
A2-B0-C2-r14,485,8,0.17,5.0,0.8556701030927835,0.48364220761222637,1730,57,5.0,1e-09,1.451011623355736,A2,B0,C2,III
A2-B0-C2-r14,365,16,0.2,5.0,0.8082191780821918,0.48364220761222637,1520,57,4.333333333333333,0.4714045217910317,1.451011623355736,A2,B0,C2,III
A2-B0-C2-r15,2000,1,0.02,10.0,0.994,0.2391900788479059,4939,87,10.0,0.816496581927726,1.4933327308055961,A2,B0,C2,II
A2-B0-C2-r15,1119,2,0.06,6.0,0.9892761394101877,0.2391900788479059,4044,87,6.333333333333333,0.4714045217910317,1.4933327308055961,A2,B0,C2,II
A2-B0-C2-r15,665,4,0.11,6.0,0.9819548872180451,0.2391900788479059,3558,87,5.333333333333333,0.4714045217910317,1.4933327308055961,A2,B0,C2,II
A2-B0-C2-r15,428,8,0.15,5.0,0.9719626168224299,0.2391900788479059,3216,87,4.666666666666667,0.4714045217910317,1.4933327308055961,A2,B0,C2,II
A2-B0-C2-r15,300,16,0.19,4.0,0.96,0.2391900788479059,2734,87,4.0,1e-09,1.4933327308055961,A2,B0,C2,II
A2-B0-C2-r16,2000,1,0.01,19.0,0.812,0.6548757658581984,2228,69,19.666666666666668,0.9428090425820633,1.3222343533147116,A2,B0,C2,III
A2-B0-C2-r16,1309,2,0.04,14.0,0.7379679144385026,0.6548757658581984,1518,69,13.333333333333334,1.2472191299246471,1.3222343533147116,A2,B0,C2,III
A2-B0-C2-r16,904,4,0.07,11.0,0.6371681415929203,0.6548757658581984,1105,69,10.0,0.816496581927726,1.3222343533147116,A2,B0,C2,III
