brazo,L,N,seed,ng,defdev,fg,diam,dmean,d95,dgrow,turn,ver
INTACTA,64,4096,6,0,0.00e+00,1.0,124,4.5556741915802315,17.0,1.6859683924880462,1.1033017664565252,GEOMETRIA
CORTADA,64,4096,6,0,0.00e+00,1.0,187,2.4035489119381737,12.0,1.5141975773793726,1.1317203702693663,GEOMETRIA
REGLA,64,4096,6,63,0.00e+00,1.0,124,4.5556741915802315,17.0,1.6859683924880462,1.1033017664565252,GEOMETRIA
CONTROL,64,4096,6,63,0.00e+00,1.0,69,1.9551301606670735,7.0,1.8590135373214716,1.2741657826661064,GEOMETRIA
INTACTA,64,4096,7,0,0.00e+00,1.0,115,4.584529992870965,18.0,1.7041938604981977,1.0871877756910089,GEOMETRIA
CORTADA,64,4096,7,0,0.00e+00,1.0,178,2.097107648436704,11.0,1.533787840173227,1.1203097894166052,GEOMETRIA
REGLA,64,4096,7,63,0.00e+00,1.0,115,4.584529992870965,18.0,1.7041938604981977,1.0871877756910089,GEOMETRIA
CONTROL,64,4096,7,63,0.00e+00,1.0,67,1.865541297484469,6.5,1.8898028129720033,1.205298312395247,GEOMETRIA
INTACTA,64,4096,8,0,0.00e+00,1.0,118,4.081074220733069,16.0,1.7038579119318118,1.0883666951233049,GEOMETRIA
CORTADA,64,4096,8,0,0.00e+00,1.0,181,2.4008528784648187,12.0,1.5376271152512437,1.1199916411037902,GEOMETRIA
REGLA,64,4096,8,63,0.00e+00,1.0,118,4.081074220733069,16.0,1.7038579119318118,1.0883666951233049,GEOMETRIA
CONTROL,64,4096,8,63,0.00e+00,1.0,68,1.8232561681388975,6.5,1.8772001796693252,1.281096066529161,GEOMETRIA
INTACTA,128,16384,1,0,0.00e+00,1.0,241,9.542372881355933,37.0,1.7375981278238535,1.0550580165899048,GEOMETRIA
CORTADA,128,16384,1,0,0.00e+00,1.0,347,4.3774113096147,23.0,1.593269184097079,1.083400321427038,GEOMETRIA
REGLA,128,16384,1,127,0.00e+00,1.0,241,9.542372881355933,37.0,1.7375981278238535,1.0550580165899048,GEOMETRIA
CONTROL,128,16384,1,127,0.00e+00,1.0,133,2.8655774418486284,12.5,1.9155002119463809,1.1229874179714407,GEOMETRIA
INTACTA,128,16384,2,0,0.00e+00,1.0,254,9.33382457566826,35.0,1.7401052817087101,1.0515953636046236,GEOMETRIA
CORTADA,128,16384,2,0,0.00e+00,1.0,381,4.782244130501067,25.0,1.5773569385638524,1.0812022160970174,GEOMETRIA
REGLA,128,16384,2,127,0.00e+00,1.0,254,9.33382457566826,35.0,1.7401052817087101,1.0515953636046236,GEOMETRIA
CONTROL,128,16384,2,127,0.00e+00,1.0,136,2.8675932513466815,12.0,1.9112105560386343,1.1555584319315853,GEOMETRIA
INTACTA,128,16384,3,0,0.00e+00,1.0,245,9.778636826042726,39.0,1.7397745070250494,1.0567216399793349,GEOMETRIA
CORTADA,128,16384,3,0,0.00e+00,1.0,347,5.169328585961343,25.0,1.5978154949013612,1.0813166949445618,GEOMETRIA
REGLA,128,16384,3,127,0.00e+00,1.0,245,9.778636826042726,39.0,1.7397745070250494,1.0567216399793349,GEOMETRIA
CONTROL,128,16384,3,127,0.00e+00,1.0,134,3.000254323499491,12.524999999999636,1.8935180524858883,1.1583117019577438,GEOMETRIA
INTACTA,128,16384,4,0,0.00e+00,1.0,243,9.90837483484094,38.0,1.7493994605013876,1.0539452277980605,GEOMETRIA
CORTADA,128,16384,4,0,0.00e+00,1.0,370,3.9895822746214047,22.0,1.5762008034511121,1.078739256949033,GEOMETRIA
REGLA,128,16384,4,127,0.00e+00,1.0,243,9.90837483484094,38.0,1.7493994605013876,1.0539452277980605,GEOMETRIA
CONTROL,128,16384,4,127,0.00e+00,1.0,135,3.0244435410102652,13.0,1.944352343508393,1.1921960886286893,GEOMETRIA
INTACTA,128,16384,5,0,0.00e+00,1.0,239,9.226571646729449,36.0,1.7417472270822116,1.0586443392527918,GEOMETRIA
CORTADA,128,16384,5,0,0.00e+00,1.0,364,4.565029269534232,23.0,1.5912498561131918,1.081159425429586,GEOMETRIA
REGLA,128,16384,5,127,0.00e+00,1.0,239,9.226571646729449,36.0,1.7417472270822116,1.0586443392527918,GEOMETRIA
CONTROL,128,16384,5,127,0.00e+00,1.0,133,2.9654619496054977,12.5,1.9324071891905314,1.2162057532653905,GEOMETRIA
INTACTA,128,16384,6,0,0.00e+00,1.0,243,9.235051860890787,35.0,1.7573988311427498,1.0586348073251393,GEOMETRIA
CORTADA,128,16384,6,0,0.00e+00,1.0,370,4.744915598942445,24.0,1.5925395335566583,1.0672672481983771,GEOMETRIA
REGLA,128,16384,6,127,0.00e+00,1.0,243,9.235051860890787,35.0,1.7573988311427498,1.0586348073251393,GEOMETRIA
CONTROL,128,16384,6,127,0.00e+00,1.0,135,3.054403091315843,12.5,1.9385066280331376,1.183093892127426,GEOMETRIA
INTACTA,128,16384,7,0,0.00e+00,1.0,235,8.882829208677055,34.0,1.7797044226274479,1.0558258611320452,GEOMETRIA
CORTADA,128,16384,7,0,0.00e+00,1.0,354,5.381199714838578,26.0,1.6025056499127763,1.0745760262182977,GEOMETRIA
REGLA,128,16384,7,127,0.00e+00,1.0,235,8.882829208677055,34.0,1.7797044226274479,1.0558258611320452,GEOMETRIA
CONTROL,128,16384,7,127,0.00e+00,1.0,134,2.7621448212648945,12.0,1.9996380142291394,1.2156899538314314,GEOMETRIA
INTACTA,128,16384,8,0,0.00e+00,1.0,232,8.855112194131383,34.0,1.7691964092375332,1.0520604671244147,GEOMETRIA
CORTADA,128,16384,8,0,0.00e+00,1.0,353,4.712204284698954,23.0,1.615372221236651,1.071845046725672,GEOMETRIA
REGLA,128,16384,8,127,0.00e+00,1.0,232,8.855112194131383,34.0,1.7691964092375332,1.0520604671244147,GEOMETRIA
CONTROL,128,16384,8,127,0.00e+00,1.0,134,3.039191796121434,12.5,1.9347816583785171,1.2055047554560157,GEOMETRIA
