carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,par,rol,match_exacto_K_kcap,origen_par
A2-B0-C2-batch4-r72_III,A2-B0-C2-batch4-r72,III,578813,4,0.607,0.234,6.39,5,3337,14.0,2000,cosmog_00500,16891.8,1908.2000000000007,18800.0,0.10150000000000003,8,0.022,1908.2,0.5148514851485143,0.5229903198653193,0,A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r57_I,A2-B0-C2-batch4-r57,I,577358,7,0.622,0.284,5.08,5,3343,13.0,2000,cosmog_00500,16929.4,1870.6000000000008,18800.000000000004,0.09950000000000002,8,0.034,1870.6,0.49275362318840554,0.5092261904761903,0,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,I,True,v4_generado_nuevo
A2-B0-C2-batch4-r43_III,A2-B0-C2-batch4-r43,III,576000,7,0.422,0.258,4.53,5,3269,14.0,2000,cosmog_00500,17042.2,1757.8000000000006,18800.0,0.09350000000000003,8,0.04,1757.7999999999997,0.5052631578947369,0.5091540404040402,0,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r13_I,A2-B0-C2-batch4-r13,I,573090,6,0.662,0.233,5.58,6,4061,12.0,2000,cosmog_00500,17361.8,1438.2000000000003,18800.0,0.07650000000000001,8,0.047,1438.1999999999998,0.4680851063829786,0.4797619047619047,0,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,I,True,v4_generado_nuevo
A2-B0-C2-batch4-r94_III,A2-B0-C2-batch4-r94,III,580947,6,0.353,0.133,4.18,6,3553,13.0,2000,cosmog_00500,17126.8,1673.2000000000007,18800.0,0.08900000000000004,8,0.038,1673.2000000000003,0.39893617021276606,0.3983674085576261,0,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r41_I,A2-B0-C2-batch4-r41,I,575806,6,0.582,0.239,4.78,5,3391,13.0,2000,cosmog_00500,17042.2,1757.8000000000006,18800.0,0.09350000000000003,8,0.039,1757.8,0.4833333333333333,0.4987599206349206,0,A2-B0-C2-batch4-r41_vs_A2-B0-C2-batch4-r12,I,True,v4_generado_nuevo
A2-B0-C2-batch4-r12_III,A2-B0-C2-batch4-r12,III,572993,6,0.602,0.21,5.69,5,3340,15.0,2000,cosmog_00500,16910.600000000002,1889.4000000000005,18800.000000000004,0.1005,8,0.039,1889.4,0.5384615384615384,0.5438988095238095,0,A2-B0-C2-batch4-r41_vs_A2-B0-C2-batch4-r12,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r18_I,A2-B0-C2-batch4-r18,I,573575,5,0.364,0.321,6.05,6,3986,12.0,2000,cosmog_00500,17258.4,1541.6000000000004,18800.0,0.08200000000000002,8,0.048,1541.6,0.5510204081632653,0.5611607142857142,0,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,I,True,v4_generado_nuevo
A2-B0-C2-batch4-r19_III,A2-B0-C2-batch4-r19,III,573672,5,0.529,0.309,4.04,6,3498,14.0,2000,cosmog_00500,17098.600000000002,1701.4000000000005,18800.000000000004,0.09050000000000001,8,0.036,1701.4,0.4761904761904759,0.4769345238095235,0,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,III,True,v4_generado_nuevo
A2-B0-C2-batch4-r39_I,A2-B0-C2-batch4-r39,I,575612,5,0.437,0.184,5.2,5,3314,14.0,2000,cosmog_00500,16891.8,1908.2000000000007,18800.0,0.10150000000000003,8,0.04,1908.2,0.5873015873015872,0.5992063492063491,0,A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,I,True,v4_generado_nuevo
