tipo,q_E,q_T,i_seed,n,seed_layout,seed_swap,seed_orden,n_aristas,swap_aceptados,swap_intentos,factor_swaps_nominal,factor_swaps_int,n_tocadas_orden,rms_a_ref,rms_a_ref_rel,max_a_ref,radio_giro,anisotropia,d_nn_media,d_nn_std,d_knn8_media,long_arista_media,long_arista_std,lambda2_w,lambda_max_w,mean_eig_w,std_eig_w,n_ceros_w,_tiempo_s
grilla,1.0,0.0,4,2000,12345,6004,7043,4945,0,0,0.0,0,4945,0.257449,0.027224,2.566578,9.455763,1.05147,0.196,0.313322,0.642916,3.161739,2.092748,0.004096,10.24966,2.903323,1.954273,1,300.24
grilla,1.0,0.9,0,2000,12345,6000,7002,4945,0,0,0.0,0,494,0.246376,0.026053,1.866874,9.453247,1.05209,0.19863,0.315924,0.646379,3.159655,2.08976,0.004074,10.19469,2.903524,1.953899,1,265.22
grilla,1.0,0.9,1,2000,12345,6001,7012,4945,0,0,0.0,0,494,0.244949,0.025902,2.554408,9.454849,1.05204,0.193844,0.309851,0.645131,3.153174,2.094501,0.004097,10.29305,2.909405,1.956801,1,316.22
grilla,1.0,0.9,2,2000,12345,6002,7022,4945,0,0,0.0,0,494,0.259615,0.027453,2.733012,9.454425,1.05253,0.195272,0.31097,0.647212,3.155024,2.093247,0.004108,10.25777,2.907366,1.956423,1,313.93
grilla,1.0,0.9,3,2000,12345,6003,7032,4945,0,0,0.0,0,494,0.256053,0.027077,2.575668,9.455645,1.05203,0.196754,0.312628,0.644377,3.158344,2.095488,0.004074,10.25137,2.904694,1.956542,1,297.22
grilla,1.0,0.9,4,2000,12345,6004,7042,4945,0,0,0.0,0,494,0.264603,0.027981,2.231519,9.456133,1.05283,0.199344,0.317964,0.645629,3.162653,2.088833,0.004109,10.30562,2.902796,1.95263,1,299.05
grilla,1.0,0.99,0,2000,12345,6000,7001,4945,0,0,0.0,0,49,0.256604,0.027135,2.191978,9.457197,1.05381,0.195437,0.311949,0.644866,3.162027,2.094068,0.004054,10.26206,2.903756,1.954917,1,265.07
grilla,1.0,0.99,1,2000,12345,6001,7011,4945,0,0,0.0,0,49,0.26045,0.027542,2.217906,9.452958,1.05157,0.195458,0.308376,0.647609,3.155338,2.09021,0.004128,10.26697,2.906143,1.954681,1,313.59
grilla,1.0,0.99,2,2000,12345,6002,7021,4945,0,0,0.0,0,49,0.242677,0.025662,1.891352,9.455926,1.05173,0.195521,0.314994,0.644549,3.161172,2.0929,0.0041,10.26172,2.903387,1.955076,1,315.88
grilla,1.0,0.99,3,2000,12345,6003,7031,4945,0,0,0.0,0,49,0.245311,0.025941,2.644595,9.455205,1.05296,0.195864,0.313017,0.645035,3.154256,2.098015,0.004133,10.27877,2.907897,1.957711,1,299.01
grilla,1.0,0.99,4,2000,12345,6004,7041,4945,0,0,0.0,0,49,0.274474,0.029025,2.332984,9.455738,1.05087,0.194895,0.312188,0.644255,3.158963,2.096975,0.004109,10.22318,2.904884,1.957383,1,296.79
grilla,1.0,1.0,0,2000,12345,6000,7000,4945,0,0,0.0,0,0,0.0,0.0,0.0,9.456587,1.05208,0.195766,0.312308,0.643045,3.158624,2.098833,0.004104,10.29298,2.904558,1.957292,1,266.31
grilla,1.0,1.0,1,2000,12345,6001,7010,4945,0,0,0.0,0,0,0.0,0.0,0.0,9.456587,1.05208,0.195766,0.312308,0.643045,3.158624,2.098833,0.004104,10.29298,2.904558,1.957292,1,266.22
grilla,1.0,1.0,2,2000,12345,6002,7020,4945,0,0,0.0,0,0,0.0,0.0,0.0,9.456587,1.05208,0.195766,0.312308,0.643045,3.158624,2.098833,0.004104,10.29298,2.904558,1.957292,1,315.78
grilla,1.0,1.0,3,2000,12345,6003,7030,4945,0,0,0.0,0,0,0.0,0.0,0.0,9.456587,1.05208,0.195766,0.312308,0.643045,3.158624,2.098833,0.004104,10.29298,2.904558,1.957292,1,315.43
grilla,1.0,1.0,4,2000,12345,6004,7040,4945,0,0,0.0,0,0,0.0,0.0,0.0,9.456587,1.05208,0.195766,0.312308,0.643045,3.158624,2.098833,0.004104,10.29298,2.904558,1.957292,1,299.69
