N,seed,mode,n_surv,f_surv,tau,orden_color_init,orden_color,orden_amp,frac_quark,frac_lepton,L2_K6,null_L2_K6,ratio_L2_K6,L2_K12_q,ratio_L2_K12_q,L2_K12_l,ratio_L2_K12_l,L2_K12,null_L2_K12,ratio_L2_K12,L2_K24,null_L2_K24,ratio_L2_K24
250,22,shuffle_l,126,0.504,240,0.0,0.28867513459481287,288675134.59481287,0.5,0.5,0.019440394783993474,0.11501092655705904,0.16903085094570328,0.28932898624695536,2.398592660967417,0.290198496806067,2.4058010698889443,0.290198496806067,0.12062447740929098,2.4058010698889443,0.2048941371972315,0.08721135307871393,2.349397526401192
250,23,qcd,127,0.508,240,0.012649110640673518,0.2957738578109126,23.382974726845227,0.5118110236220472,0.4881889763779528,0.29045893201031536,0.13762047064079508,2.1105794120443453,0.2898343402241625,2.440623558979008,0.2901731993228739,2.3864229848785397,0.2901731993228739,0.12159336427848001,2.3864229848785397,0.2051718812548844,0.08686732273145169,2.3618994439274767
250,23,shuffle_b,127,0.508,240,0.012649110640673518,0.2957738578109126,23.382974726845227,0.5118110236220472,0.4881889763779528,0.33763070114864663,0.12309149097933274,2.7429247827157717,0.3758750474320573,3.1651511525015392,0.2901731993228739,2.3864229848785397,0.2901731993228739,0.12159336427848001,2.3864229848785397,0.23895508127204243,0.08686732273145169,2.750805179189953
250,23,shuffle_l,128,0.512,240,0.012649110640673518,0.2934631245467648,23.200295236791746,0.5078125,0.4921875,0.29045893201031536,0.13762047064079508,2.1105794120443453,0.2898343402241625,2.440623558979008,0.290198496806067,2.4058010698889443,0.290198496806067,0.12062447740929098,2.4058010698889443,0.2051184236199502,0.08652733190539662,2.3705622154652057
250,24,qcd,127,0.508,240,0.008944271909999158,0.29144496887120863,32.584534461754934,0.5039370078740157,0.49606299212598426,0.5773502691896258,0.2041241452319315,2.8284271247461903,0.2917596577950191,2.4378641919068866,0.290198496806067,2.4058010698889443,0.290198496806067,0.12062447740929098,2.4058010698889443,0.20577536624598528,0.08686732273145169,2.3688466476874743
250,24,shuffle_b,127,0.508,240,0.008944271909999158,0.29144496887120863,32.584534461754934,0.5039370078740157,0.49606299212598426,0.408248290463863,0.16666666666666666,2.4494897427831783,0.29175965779501917,2.437864191906887,0.290198496806067,2.4058010698889443,0.290198496806067,0.12062447740929098,2.4058010698889443,0.20577536624598528,0.08686732273145169,2.3688466476874743
250,24,shuffle_l,127,0.508,240,0.008944271909999158,0.29144496887120863,32.584534461754934,0.5039370078740157,0.49606299212598426,0.5773502691896258,0.2041241452319315,2.8284271247461903,0.2917596577950191,2.4378641919068866,0.290198496806067,2.4058010698889443,0.290198496806067,0.12062447740929098,2.4058010698889443,0.20577536624598528,0.08686732273145169,2.3688466476874743
250,25,qcd,128,0.512,240,0.012,0.2976962325509008,24.808017311906955,0.515625,0.484375,0.037113480951260276,0.11236664374387367,0.33028912953790823,0.2910511017014931,2.4696504922192957,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20541576867619812,0.08652733190539662,2.373998644737901
250,25,shuffle_b,128,0.512,240,0.012,0.2976962325509008,24.808017311906955,0.515625,0.484375,0.037113480951260276,0.11236664374387367,0.33028912953790823,0.2910511017014931,2.4696504922192957,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20541576867619812,0.08652733190539662,2.373998644737901
250,25,shuffle_l,128,0.512,240,0.012,0.2976962325509008,24.808017311906955,0.515625,0.484375,0.037113480951260276,0.11236664374387367,0.33028912953790823,0.2910511017014931,2.4696504922192957,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20541576867619812,0.08652733190539662,2.373998644737901
250,26,qcd,127,0.508,240,0.008944271909999158,0.29101919074923355,32.536931025873734,0.5039370078740157,0.49606299212598426,0.5783313238805295,0.19920476822239894,2.903200204700225,0.2892384036857254,2.41679727964699,0.2893289862469553,2.3985926609674166,0.2893289862469553,0.12062447740929098,2.3985926609674166,0.20456661595105735,0.08686732273145169,2.3549317455479812
250,26,shuffle_b,127,0.508,240,0.008944271909999158,0.29101919074923355,32.536931025873734,0.5039370078740157,0.49606299212598426,0.46327153548865363,0.13921151159742612,3.327824905948504,0.3778106475692112,3.1568828123497226,0.2893289862469553,2.3985926609674166,0.2893289862469553,0.12062447740929098,2.3985926609674166,0.2384355895618928,0.08686732273145169,2.7448248900108374
