rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,brazo,clase_final
A2-B0-C2-r2,2000,1,0.02,10.0,0.996,0.5398460207200324,4507,45,9.0,1e-09,1.602152939478977,C2-budget-soporte,I
A2-B0-C2-r2,1122,2,0.08,7.0,0.9928698752228164,0.5398460207200324,3621,45,6.666666666666667,0.4714045217910317,1.602152939478977,C2-budget-soporte,I
A2-B0-C2-r2,673,4,0.15,5.0,0.9881129271916791,0.5398460207200324,3144,45,5.666666666666667,0.4714045217910317,1.602152939478977,C2-budget-soporte,I
A2-B0-C2-r2,415,8,0.2,5.0,0.980722891566265,0.5398460207200324,2807,45,5.0,1e-09,1.602152939478977,C2-budget-soporte,I
A2-B0-C2-r2,297,16,0.24,4.0,0.9730639730639731,0.5398460207200324,2414,45,4.0,1e-09,1.602152939478977,C2-budget-soporte,I
A2-B0-C2-r2,2000,1,0.02,8.0,0.998,0.8057316924123867,5507,45,9.0,0.816496581927726,1.295261828781205,C2-random,II
A2-B0-C2-r2,1120,2,0.08,6.0,0.9964285714285714,0.8057316924123867,4618,45,7.333333333333333,0.9428090425820633,1.295261828781205,C2-random,II
A2-B0-C2-r2,680,4,0.13,5.0,0.9941176470588236,0.8057316924123867,4140,45,5.0,1e-09,1.295261828781205,C2-random,II
A2-B0-C2-r2,409,8,0.18,4.0,0.9902200488997555,0.8057316924123867,3717,45,4.0,1e-09,1.295261828781205,C2-random,II
A2-B0-C2-r2,306,16,0.24,4.0,0.9869281045751634,0.8057316924123867,3137,45,4.0,1e-09,1.295261828781205,C2-random,II
A2-B0-C2-r2,2000,1,0.02,7.0,0.9985,1.3236909295092758,6920,183,7.333333333333333,0.4714045217910317,1.3551915528272056,C0,I
A2-B0-C2-r2,1098,2,0.08,5.0,0.9972677595628415,1.3236909295092758,5988,183,5.333333333333333,0.4714045217910317,1.3551915528272056,C0,I
A2-B0-C2-r2,635,4,0.13,5.0,0.9952755905511811,1.3236909295092758,5453,183,4.666666666666667,0.4714045217910317,1.3551915528272056,C0,I
A2-B0-C2-r2,391,8,0.18,4.0,0.9923273657289002,1.3236909295092758,4954,183,3.6666666666666665,0.4714045217910317,1.3551915528272056,C0,I
A2-B0-C2-r2,282,16,0.22,4.0,0.9893617021276596,1.3236909295092758,3941,183,3.3333333333333335,0.4714045217910317,1.3551915528272056,C0,I
