carpeta,rule_id,seed,variante,brazo,realizacion,lote,T_objetivo,n_aristas,n_triangulos,pico_p90_med,pico_cv,pico_max_med,frac_aristas_en_triangulo,tri_por_arista_media,frac_aristas_multi_tri,gini_tri_nodo,pendiente_corregida,frac_masa,n_sumideros,kappa_v,t_primer_sumidero,n_gas_inicial,n_dump_final,clave
A2-B0-C2-r14_s273187_f803_disp2,A2-B0-C2-r14,273187,disp2,disp,2,271828,250,3296,250,7.728453196672489,4.180744777424407,567.3150373660262,0.2275485436893204,1.0,0.0,0.625,0.7602112257657406,0.10300000000000002,8,0.5846153846153845,0.044,2000,cosmog_00500,A2-B0-C2-r14_s273187
A2-B0-C2-r14_s273187_f803_solap0,A2-B0-C2-r14,273187,solap0,solap,0,271828,250,3296,250,12.183503569152146,4.197874470518646,641.1578957008634,0.08768203883495146,2.5951557093425603,0.8685121107266436,0.9473346666666667,0.755860471245271,0.11450000000000002,8,0.7285714285714285,0.035,2000,cosmog_00500,A2-B0-C2-r14_s273187
A2-B0-C2-r14_s273187_f803_solap1,A2-B0-C2-r14,273187,solap1,solap,1,271828,250,3296,250,12.632020309116575,4.2580564305569055,766.4836138807688,0.08555825242718447,2.6595744680851063,0.8865248226950354,0.9477706666666667,0.8315982856589029,0.113,8,0.7537688442211052,0.033,2000,cosmog_00500,A2-B0-C2-r14_s273187
A2-B0-C2-r14_s273187_f803_solap2,A2-B0-C2-r14,273187,solap2,solap,2,271828,250,3296,250,12.06388421930816,4.316035167314055,964.5996137104129,0.09132281553398058,2.4916943521594686,0.8571428571428571,0.9440866666666666,0.7715932802126284,0.10850000000000003,8,0.6307692307692307,0.035,2000,cosmog_00500,A2-B0-C2-r14_s273187
A2-B0-C2-r17_s273478_f803_disp0,A2-B0-C2-r17,273478,disp0,disp,0,271828,181,3165,181,12.107563669794601,4.194642226065357,1025.6608650072894,0.1712480252764613,1.0018450184501846,0.0018450184501845018,0.7304926335174954,0.7620270358253021,0.11350000000000003,8,0.6249999999999998,0.038,2000,cosmog_00500,A2-B0-C2-r17_s273478
A2-B0-C2-r17_s273478_f803_disp1,A2-B0-C2-r17,273478,disp1,disp,1,271828,181,3165,181,12.9803784069726,4.236781656429371,989.6668032290219,0.17156398104265402,1.0,0.0,0.7285,0.6338924383544352,0.113,8,0.6716417910447762,0.032,2000,cosmog_00500,A2-B0-C2-r17_s273478
A2-B0-C2-r17_s273478_f803_disp2,A2-B0-C2-r17,273478,disp2,disp,2,271828,181,3165,181,12.273024382246183,4.132527305022859,684.9977145120791,0.17156398104265402,1.0,0.0,0.7285,0.6454146513142478,0.11250000000000004,8,0.6176470588235293,0.03,2000,cosmog_00500,A2-B0-C2-r17_s273478
A2-B0-C2-r17_s273478_f803_solap0,A2-B0-C2-r17,273478,solap0,solap,0,271828,181,3165,181,16.868161764765087,4.15189630759512,895.7116396672875,0.06192733017377567,2.770408163265306,0.9183673469387755,0.9635626151012892,0.8323392422769944,0.1275,8,0.9714285714285715,0.03,2000,cosmog_00500,A2-B0-C2-r17_s273478
A2-B0-C2-r17_s273478_f803_solap1,A2-B0-C2-r17,273478,solap1,solap,1,271828,181,3165,181,19.592326772883574,4.049483399208454,838.7240330478288,0.06540284360189573,2.6231884057971016,0.8647342995169082,0.9613066298342542,1.0139735541280954,0.1285,8,0.8918918918918919,0.035,2000,cosmog_00500,A2-B0-C2-r17_s273478
A2-B0-C2-r17_s273478_f803_solap2,A2-B0-C2-r17,273478,solap2,solap,2,271828,181,3165,181,17.157050077081394,4.21944713274233,914.6873111328822,0.06413902053712481,2.6748768472906406,0.8719211822660099,0.9628462246777164,0.84072966673667,0.12549999999999997,8,0.932692307692307,0.033,2000,cosmog_00500,A2-B0-C2-r17_s273478
