tarea,genealogia,rule_id,brazo,seed,params_coinciden,clase_csv_reproducida,clase_vieja,clase_corregida,cambia_clase,pendiente_vieja,pendiente_corregida,z_agg_vieja,z_agg_corregida,diam_viejo,diam_corregido,n_cajas_viejo,n_cajas_corregido
presupuesto_emergente,,A2-B0-C2-r18,C0,91958,True,True,I,I,False,0.3354995385135576,0.3353683592646962,0.4242640678119285,0.4242640678119285,"[8.0, 5.0, 5.0, 4.0, 4.0]","[8.0, 5.0, 5.0, 4.0, 4.0]","[2000, 1123, 659, 413, 284]","[2000, 1123, 659, 412, 284]"
presupuesto_emergente,,A2-B0-C2-r18,C2-budget,91958,True,True,III,III,False,0.7842197320983273,0.7842197320983273,1.6522118996169717,1.6522118996169717,"[23.0, 16.0, 10.0, 7.0, 6.0]","[23.0, 16.0, 10.0, 7.0, 6.0]","[2000, 1177, 704, 466, 335]","[2000, 1177, 704, 466, 335]"
presupuesto_emergente,,A2-B0-C2-r18,C2-hard,91958,True,True,III,III,False,0.9567646538848853,0.9567646538848853,0.46213484597507637,0.46213484597507637,"[18.0, 14.0, 10.0, 6.0, 5.0]","[18.0, 14.0, 10.0, 6.0, 5.0]","[2000, 1253, 832, 618, 500]","[2000, 1253, 832, 618, 500]"
presupuesto_emergente,,A2-B0-C2-r18,C2-random,91958,True,True,IV,III,True,0.7254439496788747,0.8251691554768228,1.194466328787459,0.9167004150742877,"[16.0, 13.0, 8.0, 6.0, 5.0]","[20.0, 11.0, 8.0, 6.0, 5.0]","[2000, 1193, 743, 500, 366]","[2000, 1194, 735, 506, 389]"
presupuesto_emergente,,A2-B0-C2-r19,C0,92055,True,True,II,II,False,0.3802416601172713,0.3802416601172713,0.28284271187461896,0.28284271187461896,"[8.0, 6.0, 5.0, 4.0, 4.0]","[8.0, 6.0, 5.0, 4.0, 4.0]","[2000, 1115, 660, 423, 297]","[2000, 1115, 660, 423, 297]"
presupuesto_emergente,,A2-B0-C2-r19,C2-budget,92055,True,True,II,II,False,0.3645996557697815,0.3645996557697815,0.42426406781192816,0.42426406781192816,"[8.0, 7.0, 5.0, 5.0, 4.0]","[8.0, 7.0, 5.0, 5.0, 4.0]","[2000, 1126, 670, 425, 310]","[2000, 1126, 670, 425, 310]"
presupuesto_emergente,,A2-B0-C2-r19,C2-hard,92055,True,True,II,II,False,0.40637041155988507,0.40637041155988507,0.5656854237492379,0.5656854237492379,"[9.0, 7.0, 5.0, 5.0, 4.0]","[9.0, 7.0, 5.0, 5.0, 4.0]","[2000, 1135, 673, 425, 289]","[2000, 1135, 673, 425, 289]"
presupuesto_emergente,,A2-B0-C2-r19,C2-random,92055,True,True,I,I,False,0.4974514590283881,0.5012718792660404,0.21213203398096425,0.21213203398096425,"[10.0, 7.0, 5.0, 5.0, 4.0]","[10.0, 7.0, 5.0, 5.0, 4.0]","[2000, 1144, 693, 440, 363]","[2000, 1149, 695, 454, 360]"
presupuesto_emergente,,A2-B0-C2-r2,C0,90406,True,True,II,II,False,0.3984998126249961,0.39843858506677376,0.6363961017928927,0.6363961017928927,"[7.0, 6.0, 5.0, 4.0, 3.0]","[7.0, 6.0, 5.0, 4.0, 3.0]","[2000, 1098, 619, 388, 250]","[2000, 1098, 618, 388, 250]"
presupuesto_emergente,,A2-B0-C2-r2,C2-budget,90406,True,True,I,I,False,0.5533360101113736,0.5533360101113736,0.42426406796192817,0.42426406796192817,"[12.0, 8.0, 6.0, 5.0, 4.0]","[12.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1132, 653, 415, 294]","[2000, 1132, 653, 415, 294]"
