rule_id,clase,seed,N,par_n2000,K,kcap,fraccion_masa_en_sumideros,n_sumideros,kappa_v_agregado,t_primer_sumidero,masa_acretada_total,n_aristas_grafo_final,grado_medio_grafo_final,diam_grafo_final_OFICIAL,holon_grafo_final,n_dump_final,abortado_por_timeout,t_grafo_s,t_ic_s,t_phantom_s,fuente
A2-B0-C2-batch3-r86,I,480171,4000,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,5,5,0.15549999999999992,27,0.49999999999999994,0.005,2923.4000000000005,6686,3.343,15,0.5093465700388771,cosmog_00500,False,5.17,629.28,19.93,O3A_worker
A2-B0-C2-batch4-r10,III,572799,4000,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,5,5,0.18474999999999986,29,0.47943037974683533,0.002,3473.2999999999997,6087,3.0435,18,0.8592326193125962,cosmog_00500,False,7.49,807.1,35.77,O3A_worker
A2-B0-C2-batch4-r13,I,573090,4000,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,6,6,0.08599999999999998,10,0.7352941176470594,0.007,1616.8000000000002,8185,4.0925,11,0.9923824019197999,cosmog_00500,False,5.47,629.13,19.03,O3A_worker
A2-B0-C2-batch4-r18,I,573575,4000,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,5,6,0.09399999999999997,14,0.4945054945054944,0.011,1767.2000000000003,8079,4.0395,12,0.9112043019853404,cosmog_00500,False,10.63,758.29,29.74,O3A_worker
A2-B0-C2-batch4-r19,III,573672,4000,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,5,6,0.12774999999999995,20,0.4758220502901352,0.009,2401.7,7159,3.5795,13,1.2317959269996934,cosmog_00500,False,10.01,756.16,30.44,O3A_worker
A2-B0-C2-batch4-r23,I,574060,4000,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,5,5,0.15799999999999992,33,0.4818355640535373,0.005,2970.4000000000005,6724,3.362,15,0.3445811480749863,cosmog_00500,False,3.66,656.3,25.04,O3A_worker
A2-B0-C2-batch4-r36,III,575321,4000,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,8,4,0.2742499999999999,72,0.2550655542312278,0.001,5155.899999999999,4586,2.293,22,0.5859445078608624,cosmog_00500,False,4.75,624.29,48.21,O3A_worker
A2-B0-C2-batch4-r43,III,576000,4000,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,7,5,0.16724999999999993,36,0.42694497153700206,0.004,3144.3,6451,3.2255,14,0.5415338613214553,cosmog_00500,False,7.76,762.73,30.48,O3A_worker
A2-B0-C2-batch4-r51,I,576776,4000,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,8,4,0.2537499999999999,65,0.3922470433639948,0.002,4770.500000000003,5006,2.503,22,0.6101136889388059,cosmog_00500,False,4.76,619.76,43.25,O3A_worker
A2-B0-C2-batch4-r57,I,577358,4000,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,7,5,0.12524999999999992,16,0.4383301707779885,0.004,2354.7,6715,3.3575,17,0.8760574085948601,cosmog_00500,False,7.97,764.64,30.52,O3A_worker
A2-B0-C2-batch4-r94,III,580947,4000,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,6,6,0.13049999999999992,24,0.451546391752577,0.009,2453.4,7150,3.575,13,0.9752060459694984,cosmog_00500,False,5.07,624.25,25.56,O3A_worker
A2-B0-C2-r12v1fix,I,272993,4000,PAR_v2_G_r12v1fix_r19,5,7,0.07025,10,0.5468164794007488,0.011,1320.7,9458,4.729,11,0.566657815325889,cosmog_00500,False,10.56,721.12,24.2,O3A_worker
A2-B0-C2-r19,III,273672,4000,PAR_piloto_A_r9_r19,5,7,0.12849999999999992,24,0.45033112582781465,0.006,2415.8,7337,3.6685,14,1.4923894171206478,cosmog_00500,False,9.72,721.41,26.11,O3A_worker
A2-B0-C2-r39,III,375612,4000,PAR_v2_H_r9_r39,5,6,0.10099999999999996,17,0.546218487394958,0.007,1898.8,8289,4.1445,11,0.45183389173432165,cosmog_00500,False,9.07,848.24,26.52,O3A_worker
A2-B0-C2-r9v2fix,I,372702,4000,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,5,6,0.09974999999999996,16,0.6228070175438594,0.008,1875.3,8233,4.1165,15,0.49404200691019085,cosmog_00500,False,8.89,849.57,28.53,O3A_worker
