test,condicion,rule_id,seed,N_sistema,pendiente,pendiente_null,z_agg,clase,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,diam_por_escala,ncajas_por_escala,K,J,noise,meandeg,dt,kcap_base,kcap_media_emp,kcap_sd,kcap_cv,kcap_min,kcap_max,grado_inicial_medio
P2-norm,NORM-pot,A2-B0-C2-r3,90503,500,0.973140164336715,0.9902822779090493,0.8281507525623562,III,2.7913467299949177,610,2.44,16.0,0.898,16|10|9|5|4,500|313|210|150|127,5,0.66,0.313,5.34,1.33,4,4.0,0.0,0.0,4,4,5.34
P2-norm,NORM-pot,A2-B0-C2-r4,90600,500,1.1630337604767955,0.8544969698917384,3.4718362155125995,III,2.699416382238277,632,2.528,22.0,0.916,22|14|10|6|4,500|303|204|156|116,5,0.561,0.109,5.18,1.23,4,4.0,0.0,0.0,4,4,5.18
P2-norm,NORM-pot,A2-B0-C2-r5,90697,500,0.9522607953070441,0.886653504784867,0.8485281356238566,III,2.1428569819167858,628,2.512,16.0,0.922,16|11|7|5|4,500|310|208|143|114,5,0.769,0.338,4.97,1.29,4,4.0,0.0,0.0,4,4,4.968
P2-norm,NORM-pot,A2-B0-C2-r6,90794,500,1.424641621336553,1.2888147706031967,1.0589602503441216,III,2.102431976609123,526,2.104,18.0,0.784,18|13|7|5|4,500|330|236|191|169,5,0.407,0.249,7.4,1.15,4,4.0,0.0,0.0,4,4,7.4
P2-norm,NORM-pot,A2-B0-C2-r7,90891,500,1.2730139142602208,1.1691840654074925,0.7811713766352958,III,1.436565278035464,570,2.28,18.0,0.834,18|14|8|5|4,500|320|228|173|144,7,0.503,0.225,7.25,1.24,4,4.0,0.0,0.0,4,4,7.248
P2-norm,NORM-pot,A2-B0-C2-r8,90988,500,1.0645034909953617,1.0080009761722295,0.18708286926369697,III,4.594840507547062,627,2.508,19.0,0.9,19|10|7|5|4,500|308|211|152|117,6,0.544,0.107,4.18,1.24,4,4.0,0.0,0.0,4,4,4.18
P2-norm,NORM-pot,A2-B0-C2-r9,91085,500,0.8934530289020611,0.9904692208122406,0.9192388138175114,III,2.4501880268483682,614,2.456,17.0,0.91,17|10|8|5|5,500|308|204|146|123,5,0.397,0.121,5.37,1.24,4,4.0,0.0,0.0,4,4,5.368
P2-norm,NORM-pot,A2-B0-C2-r10,91182,500,1.1234526524435915,1.0372301047674704,0.45152605573945026,III,2.4317533573230525,568,2.272,20.0,0.868,20|12|8|6|4,500|324|218|160|126,5,0.441,0.133,6.34,1.15,4,4.0,0.0,0.0,4,4,6.34
P2-norm,NORM-pot,A2-B0-C2-r11,91279,500,1.094367425724632,1.0885713378310353,1.1204719401266001,III,1.5762922765869867,546,2.184,18.0,0.824,18|11|8|6|4,500|324|223|168|136,8,0.561,0.315,6.93,1.35,4,4.0,0.0,0.0,4,4,6.928
P2-norm,NORM-pot,A2-B0-C2-r12,91376,500,0.8745692167188517,0.9189211547028875,0.4242640682619287,III,1.966654191890233,632,2.528,16.0,0.89,16|10|6|5|5,500|309|203|150|121,7,0.369,0.176,5.34,1.25,4,4.0,0.0,0.0,4,4,5.34
P2-norm,NORM-pot,A2-B0-C2-r13,91473,500,1.2131184137103606,1.0055694326707532,1.3005323460841915,III,1.5081564486292263,564,2.256,17.0,0.836,17|13|7|5|4,500|326|225|169|145,7,0.527,0.286,7.06,1.28,4,4.0,0.0,0.0,4,4,7.06
P2-norm,NORM-pot,A2-B0-C2-r14,91570,500,1.1424054439375433,1.2341781099133635,1.142015936389286,III,1.7347412194875997,551,2.204,15.0,0.842,15|11|7|5|4,500|329|227|183|154,7,0.47,0.192,6.75,1.21,4,4.0,0.0,0.0,4,4,6.748
P2-norm,NORM-pot,A2-B0-C2-r0,90212,1000,0.9156767444660748,0.8486022432549696,0.4086825976354483,III,2.1608440200106243,1524,3.048,15.0,0.926,15|10|6|5|4,1000|616|407|288|235,4,0.404,0.234,7.64,2.81,5,5.0,0.0,0.0,5,5,7.64
P2-norm,NORM-pot,A2-B0-C2-r1,90309,1000,0.7991001856575229,0.7100684419709431,0.5104462982365132,III,1.4242344922276922,1682,3.364,14.0,0.966,14|11|6|5|4,1000|596|370|253|195,7,0.688,0.281,5.78,2.63,5,5.0,0.0,0.0,5,5,5.78
P2-norm,NORM-pot,A2-B0-C2-r2,90406,1000,0.7506415579889025,0.752569262468307,0.1948736044269374,III,1.4442972682002881,1579,3.158,13.0,0.94,13|9|6|5|4,1000|611|382|275|208,7,0.508,0.259,7.01,2.77,5,5.0,0.0,0.0,5,5,7.01
P2-norm,NORM-pot,A2-B0-C2-r3,90503,1000,0.6104597799005198,0.6784082507277487,0.35523034944582044,I,2.805114219027358,1709,3.418,12.0,0.981,12|8|6|5|4,1000|591|370|240|175,5,0.66,0.313,5.34,2.61,5,5.0,0.0,0.0,5,5,5.34
P2-norm,NORM-pot,A2-B0-C2-r4,90600,1000,0.6473513096262407,0.6492463634806636,0.5277916858529366,I,3.9741917282902106,1662,3.324,12.0,0.968,12|9|6|5|4,1000|587|370|247|179,5,0.561,0.109,5.18,2.65,5,5.0,0.0,0.0,5,5,5.18
P2-norm,NORM-pot,A2-B0-C2-r5,90697,1000,0.6253458402032044,0.6040252678875779,0.14142135608730938,I,1.400895618008902,1678,3.356,12.0,0.971,12|8|7|5|4,1000|586|361|248|186,5,0.769,0.338,4.97,2.87,5,5.0,0.0,0.0,5,5,4.97
P2-norm,NORM-pot,A2-B0-C2-r6,90794,1000,0.860744081895472,0.7891170405650992,0.7778174580302025,III,1.9487000663982894,1528,3.056,15.0,0.924,15|9|7|5|4,1000|611|409|298|218,5,0.407,0.249,7.4,3.01,5,5.0,0.0,0.0,5,5,7.4
P2-norm,NORM-pot,A2-B0-C2-r7,90891,1000,0.8980063135751222,0.8052046297089861,1.2727922034357855,III,2.125763790515268,1546,3.092,15.0,0.943,15|11|7|5|4,1000|612|390|281|222,7,0.503,0.225,7.25,2.64,5,5.0,0.0,0.0,5,5,7.25
P2-norm,NORM-pot,A2-B0-C2-r8,90988,1000,0.6409001134202293,0.6888928233755867,0.8485281356238573,I,4.278143436204356,1598,3.196,12.0,0.975,12|9|6|5|4,1000|587|365|240|178,6,0.544,0.107,4.18,2.72,5,5.0,0.0,0.0,5,5,4.18
P2-norm,NORM-pot,A2-B0-C2-r9,91085,1000,0.6561295034987347,0.6580930253205476,0.3863703300656272,I,2.0978190900276217,1691,3.382,12.0,0.964,12|9|6|5|4,1000|586|356|243|187,5,0.397,0.121,5.37,2.6,5,5.0,0.0,0.0,5,5,5.37
P2-norm,NORM-pot,A2-B0-C2-r10,91182,1000,0.6733493396880662,0.7020508824265335,0.9899494915611664,I,2.891515136213594,1608,3.216,12.0,0.943,12|7|6|5|4,1000|595|389|276|221,5,0.441,0.133,6.34,2.96,5,5.0,0.0,0.0,5,5,6.34
P2-norm,NORM-pot,A2-B0-C2-r11,91279,1000,0.7866067849307007,0.7380832252918152,0.5656854237492379,III,1.2076616688371737,1545,3.09,13.0,0.94,13|10|7|5|4,1000|612|389|277|220,8,0.561,0.315,6.93,2.75,5,5.0,0.0,0.0,5,5,6.93
P2-norm,NORM-pot,A2-B0-C2-r12,91376,1000,0.6646815969354594,0.6132754593325223,0.5656854237492379,I,1.972587822403322,1673,3.346,13.0,0.973,13|9|7|5|4,1000|589|365|242|171,7,0.369,0.176,5.34,2.79,5,5.0,0.0,0.0,5,5,5.34
P2-norm,NORM-pot,A2-B0-C2-r13,91473,1000,0.8058031568640189,0.8215958349348533,0.4777163161515567,III,2.2115644356035222,1562,3.124,13.0,0.94,13|10|7|5|4,1000|607|382|271|240,7,0.527,0.286,7.06,2.7,5,5.0,0.0,0.0,5,5,7.06
P2-norm,NORM-pot,A2-B0-C2-r14,91570,1000,0.7290572816285513,0.7744751418563902,0.21213203418096435,III,2.14618584613716,1601,3.202,12.0,0.934,12|10|7|5|4,1000|610|388|268|216,7,0.47,0.192,6.75,2.75,5,5.0,0.0,0.0,5,5,6.75
P2-norm,NORM-pot,A2-B0-C2-r0,90212,2000,0.5883591670766531,0.609515685928161,0.2121320341309641,I,1.6846566783030945,4062,4.062,11.0,0.974,11|8|6|5|4,2000|1166|721|472|386,4,0.404,0.234,7.64,6.87,6,6.0,0.0,0.0,6,6,7.64
P2-norm,NORM-pot,A2-B0-C2-r1,90309,2000,0.6038507260678416,0.5400552667492926,0.2449489739783178,I,1.730522915696777,4069,4.069,12.0,0.9865,12|9|6|5|4,2000|1146|688|454|315,7,0.688,0.281,5.78,7.72,6,6.0,0.0,0.0,6,6,5.78
P2-norm,NORM-pot,A2-B0-C2-r2,90406,2000,0.5659022239424925,0.5857900223489783,0.35355338991827345,I,1.9553185879204888,4085,4.085,11.0,0.982,11|8|6|5|4,2000|1155|716|467|349,7,0.508,0.259,7.01,6.82,6,6.0,0.0,0.0,6,6,7.01
