corrida,umbral,descripcion_umbral,n_difuso,masa_difusa,H_v3d_abs,Hmm_v3d_abs,Hrar_v3d_abs,H_v3d_std,Hmm_v3d_std,Hrar_v3d_std,H_mod_abs,Hmm_mod_abs,Hrar_mod_abs,H_mod_std,Hmm_mod_std,Hrar_mod_std,sigma_v,v_mediana,n_fil_c1.0,frac_mayor_c1.0,n_fil_c1.5,frac_mayor_c1.5,n_fil_c2.5,frac_mayor_c2.5
A2-B0-C2-batch3-r70_III,A_P50_abs,rho < 0.2004 (P50 agrupado),869,8168.6,5.94393122980102,5.9962268498102285,5.884789226932635,5.953914720851678,6.0062103408608865,5.8944340828536035,3.9837926121520106,3.996243950249441,3.9694986058315944,3.985497613117575,3.9979489512150055,3.971189241562283,1.6967586765188272,1.4296957920594597,21,0.011507479861910242,47,0.02761795166858458,6,0.8711162255466053
A2-B0-C2-batch3-r71_III,A_P50_abs,rho < 0.2004 (P50 agrupado),728,6843.2,5.915759461808186,5.978183766462036,5.8649137618058145,5.927161751189482,5.989586055843332,5.875793303164121,3.9876666491857287,4.002529578865216,3.97577938684133,3.9780710928278946,3.9929340225073826,3.966698519686807,1.7335988947608383,1.4546002880082072,16,0.019230769230769232,36,0.02197802197802198,11,0.5453296703296703
A2-B0-C2-batch3-r76_I,A_P50_abs,rho < 0.2004 (P50 agrupado),812,7632.8,5.933823905261564,5.989790523227084,5.879656086613266,5.942625857043312,5.998592475008833,5.8851994619924115,3.9878246078381006,4.001149993067986,3.9745858398199596,3.990758414894597,4.004083800124483,3.978155782550952,1.7601608413311454,1.5321250899182504,17,0.014778325123152709,42,0.022167487684729065,3,0.8805418719211823
A2-B0-C2-batch3-r83_III,A_P50_abs,rho < 0.2004 (P50 agrupado),984,9249.6,5.947883995984716,5.9940678311351245,5.880968356959844,5.943371078866643,5.989554914017051,5.875648236253649,3.9884678075849616,3.9994639588112495,3.9739343539581697,3.98724828982979,3.998244441056078,3.9714639180221383,1.7616870476320199,1.5135210478242527,22,0.021341463414634148,54,0.03048780487804878,5,0.8699186991869918
A2-B0-C2-batch3-r86_I,A_P50_abs,rho < 0.2004 (P50 agrupado),933,8770.2,5.946418202191847,5.995126555662375,5.88000482366004,5.947511566568803,5.996219920039331,5.8828294629852,3.9932555108220167,4.004852737838809,3.978978375713569,3.9929617288637633,4.004558955880555,3.9785973783930255,1.7166058851664077,1.491195590773221,20,0.015005359056806002,59,0.020364415862808145,4,0.8703108252947481
A2-B0-C2-batch3-r9_I,A_P50_abs,rho < 0.2004 (P50 agrupado),1300,12220.0,5.9543805323631425,5.989338142969298,5.873550780132049,5.963854385099381,5.998811995705537,5.887051463640269,3.9880248803642706,3.9963481209847838,3.970472410634633,3.9895480973091653,3.9978713379296784,3.9713508590180777,1.8006090325313302,1.5584083789187873,33,0.03307692307692308,65,0.046153846153846156,6,0.916923076923077
A2-B0-C2-batch4-r0_III,A_P50_abs,rho < 0.2004 (P50 agrupado),1196,11242.4,5.945643729034719,5.983641131867497,5.870171866642444,5.952765889531805,5.990763292364583,5.875102163614347,3.992770310102898,4.001817310777369,3.975888661306203,3.99440361098807,4.003450611662541,3.977870211443232,1.7818234545521714,1.5510502361729912,32,0.026755852842809364,61,0.03762541806020067,4,0.8854515050167224
A2-B0-C2-batch4-r10_III,A_P50_abs,rho < 0.2004 (P50 agrupado),747,7021.8,5.905370484691791,5.966207022560603,5.854282813680956,5.919378279414737,5.9802148172835485,5.865795768833644,3.9850583497340732,3.999543239702838,3.9734680359578025,3.983001117240515,3.9974860072092797,3.9705107773697597,1.7679354563000664,1.5166801601391315,15,0.02677376171352075,34,0.03346720214190094,7,0.5917001338688086
A2-B0-C2-batch4-r11_I,A_P50_abs,rho < 0.2004 (P50 agrupado),1240,11656.0,5.969019538742999,6.00566864663655,5.8932228909014786,5.970604924957318,6.007254032850868,5.895131563322973,3.9843666008916205,3.9930925789615133,3.9682976021820684,3.9938971617441332,4.002623139814026,3.9762183582856334,1.7764963319603893,1.5904872955437837,39,0.025806451612903226,51,0.04758064516129032,3,0.9112903225806451
A2-B0-C2-batch4-r12_III,A_P50_abs,rho < 0.2004 (P50 agrupado),809,7604.6,5.926601585297549,5.982775743255525,5.867770393411031,5.942698382065915,5.998872540023891,5.887628998415555,3.986136755156696,3.9995115546705,3.972644853746545,3.9914815769726233,4.004856376486427,3.978361605119623,1.677854560137553,1.4548885757652579,14,0.019777503090234856,41,0.0407911001236094,7,0.7169344870210136
