rule_id,seed,fuente,K,J,noise,meandeg,kcap,clase_csv,pendiente_csv,z_agg_csv,reconstruccion_fiel,pendiente_vieja,pendiente_corregida,z_agg_vieja,z_agg_corregida,z_sost_vieja,z_sost_corregida,holon_ratio,clase_vieja,clase_corregida,cambia_clase,diam_viejo,diam_corregido,diam_null_viejo,diam_null_corregido,n_cajas,tam_comp_medida,tam_gigante,descarrila_b1,escalas_descarriladas
A2-B0-C2-r15,273284,cs090_fase5_profundizar_a2b0c2_resumen.csv,8,0.758,0.104,6.49,7,II,0.4258219869512894,0.5656854237492379,False,0.4557833054503669,0.4557833054503669,0.7071067796865476,0.7071067796865476,False,False,6.243288760129401,I,I,False,"[10.0, 7.0, 6.0, 5.0, 4.0]","[10.0, 7.0, 6.0, 5.0, 4.0]","[10.0, 6.333, 5.333, 4.667, 4.0]","[10.0, 6.333, 5.333, 4.667, 4.0]","[2000, 1119, 665, 428, 300]","[1988, 1107, 653, 416, 288]","[1988, 1107, 653, 416, 288]",False,0
A2-B0-C2-batch4-r21,573866,cs090_fase5b_candidatas_v4.csv,7,0.461,0.186,5.77,7,II,0.42725673350912463,0.7071067796865472,True,0.42725673350912463,0.42725673350912463,0.7071067796865472,0.7071067796865472,False,False,1.5013278142481976,II,II,False,"[9.0, 7.0, 6.0, 5.0, 4.0]","[9.0, 7.0, 6.0, 5.0, 4.0]","[9.667, 6.667, 5.333, 5.0, 4.0]","[9.667, 6.667, 5.333, 5.0, 4.0]","[2000, 1133, 676, 445, 334]","[1985, 1118, 661, 430, 319]","[1985, 1118, 661, 430, 319]",False,0
A2-B0-C2-batch4-r208,592005,cs090_fase5b_candidatas_v4.csv,7,0.335,0.299,6.28,7,II,0.4291506556832782,0.5656854237492382,True,0.4291506556832777,0.4291506556832777,0.5656854237492382,0.5656854237492382,False,False,1.3154105961729834,II,II,False,"[10.0, 6.0, 6.0, 5.0, 4.0]","[10.0, 6.0, 6.0, 5.0, 4.0]","[10.0, 6.667, 5.333, 5.0, 4.0]","[10.0, 6.667, 5.333, 5.0, 4.0]","[2000, 1123, 666, 429, 307]","[1987, 1110, 653, 416, 294]","[1987, 1110, 653, 416, 294]",False,0
A2-B0-C2-batch4-r68,578425,cs090_fase5b_candidatas_v4.csv,6,0.528,0.243,6.11,7,II,0.4306320233100666,0.28284271187461874,False,0.42919267689483365,0.42919267689483365,0.28284271187461874,0.28284271187461874,False,False,1.7134319074547577,II,II,False,"[9.0, 7.0, 5.0, 5.0, 4.0]","[9.0, 7.0, 5.0, 5.0, 4.0]","[9.0, 6.667, 5.333, 5.0, 4.0]","[9.0, 6.667, 5.333, 5.0, 4.0]","[2000, 1135, 648, 436, 325]","[1980, 1116, 629, 417, 306]","[1980, 1116, 629, 417, 306]",False,0
A2-B0-C2-batch4-r77,579298,cs090_fase5b_candidatas_v4.csv,5,0.552,0.226,4.92,7,II,0.43082204869053903,0.9899494915611664,True,0.4308220486905387,0.4308220486905387,0.9899494915611664,0.9899494915611664,False,False,3.878718353155263,II,II,False,"[9.0, 7.0, 5.0, 5.0, 4.0]","[9.0, 7.0, 5.0, 5.0, 4.0]","[9.667, 7.667, 5.667, 4.667, 4.0]","[9.667, 7.667, 5.667, 4.667, 4.0]","[2000, 1136, 693, 452, 322]","[1979, 1118, 675, 434, 304]","[1979, 1118, 675, 434, 304]",False,0
A2-B0-C2-batch4-r119,583372,cs090_fase5b_candidatas_v4.csv,6,0.55,0.284,6.35,7,II,0.4330071908401633,0.2449489739783178,True,0.4330071908401639,0.4330071908401639,0.2449489739783178,0.2449489739783178,False,False,1.6673506026635376,II,II,False,"[9.0, 8.0, 6.0, 5.0, 4.0]","[9.0, 8.0, 6.0, 5.0, 4.0]","[10.0, 7.0, 5.0, 5.0, 4.0]","[10.0, 7.0, 5.0, 5.0, 4.0]","[2000, 1131, 683, 435, 294]","[1988, 1119, 671, 423, 282]","[1988, 1119, 671, 423, 282]",False,0
A2-B0-C2-batch3-r146,485991,cs090_fase5b_candidatas_v3.csv,7,0.335,0.276,5.0,7,II,0.4371028259767239,0.5501039535727573,True,0.4371028259767237,0.4371028259767237,0.5501039535727573,0.5501039535727573,False,False,1.0529922368197822,II,II,False,"[9.0, 7.0, 6.0, 5.0, 4.0]","[9.0, 7.0, 6.0, 5.0, 4.0]","[10.667, 7.333, 5.667, 5.0, 4.0]","[10.667, 7.333, 5.667, 5.0, 4.0]","[2000, 1160, 700, 458, 351]","[1968, 1129, 669, 427, 320]","[1968, 1129, 669, 427, 320]",False,0
A2-B0-C2-batch3-r30,474739,cs090_fase5b_candidatas_v3.csv,4,0.747,0.227,7.16,7,II,0.43730741290102304,0.707106779686548,True,0.4373074129010218,0.4373074129010218,0.707106779686548,0.707106779686548,False,False,3.130378101808069,II,II,False,"[9.0, 6.0, 5.0, 4.0, 4.0]","[9.0, 6.0, 5.0, 4.0, 4.0]","[9.333, 6.667, 5.0, 4.667, 4.0]","[9.333, 6.667, 5.0, 4.667, 4.0]","[2000, 1130, 652, 420, 307]","[1983, 1114, 636, 404, 291]","[1983, 1114, 636, 404, 291]",False,0
A2-B0-C2-batch3-r102,481723,cs090_fase5b_candidatas_v3.csv,5,0.551,0.291,6.63,6,II,0.4373348365364099,0.6692130417902463,True,0.4373348365364104,0.4373348365364104,0.6692130417902463,0.6692130417902463,False,False,1.9897703496295578,II,II,False,"[9.0, 7.0, 6.0, 5.0, 4.0]","[9.0, 7.0, 6.0, 5.0, 4.0]","[10.0, 7.333, 5.333, 5.0, 4.0]","[10.0, 7.333, 5.333, 5.0, 4.0]","[2000, 1151, 701, 471, 341]","[1964, 1115, 665, 435, 305]","[1964, 1115, 665, 435, 305]",False,0
A2-B0-C2-batch4-r116,583081,cs090_fase5b_candidatas_v4.csv,8,0.563,0.349,6.74,7,II,0.4465693769780175,0.28284271202461875,True,0.4465693769780174,0.4465693769780174,0.28284271202461875,0.28284271202461875,False,False,1.8438440893506816,II,II,False,"[10.0, 6.0, 5.0, 5.0, 4.0]","[10.0, 6.0, 5.0, 5.0, 4.0]","[9.333, 6.333, 5.0, 4.0, 4.0]","[9.333, 6.333, 5.0, 4.0, 4.0]","[2000, 1128, 676, 461, 310]","[1987, 1115, 663, 448, 297]","[1987, 1115, 663, 448, 297]",False,0
A2-B0-C2-r29,374642,cs090_fase5b_candidatas_v2.csv,5,0.391,0.17,6.61,7,II,0.44719855118235147,0.848528135623857,True,0.4471985511823525,0.4471985511823525,0.848528135623857,0.848528135623857,False,False,2.1696216341181023,II,II,False,"[9.0, 8.0, 5.0, 5.0, 4.0]","[9.0, 8.0, 5.0, 5.0, 4.0]","[9.0, 6.667, 5.0, 4.333, 4.0]","[9.0, 6.667, 5.0, 4.333, 4.0]","[2000, 1138, 651, 425, 314]","[1989, 1127, 640, 414, 303]","[1989, 1127, 640, 414, 303]",False,0
A2-B0-C2-r18,273575,cs090_fase5_profundizar_a2b0c2_resumen.csv,6,0.479,0.131,7.45,7,I,0.4588484424040188,1.131370847498476,True,0.4588484424040188,0.4588484424040188,1.131370847498476,1.131370847498476,False,False,2.141169294685989,I,I,False,"[10.0, 7.0, 5.0, 5.0, 4.0]","[10.0, 7.0, 5.0, 5.0, 4.0]","[8.667, 6.333, 5.333, 4.667, 4.0]","[8.667, 6.333, 5.333, 4.667, 4.0]","[2000, 1113, 673, 428, 295]","[1983, 1096, 656, 411, 278]","[1983, 1096, 656, 411, 278]",False,0
