t,energia_L_baja,energia_L_alta,energia_R_baja,energia_R_alta,gradE_calc
105.0000,0.145249,0.001847,0.148950,0.002461,0.648203
105.5000,0.012575,0.126849,0.011269,0.128043,0.518939
106.0000,0.137772,0.000203,0.144130,0.000466,0.711243
106.5000,0.255461,0.000678,0.241830,0.000998,0.519523
107.0000,0.219867,0.002231,0.229254,0.003829,0.518247
107.5000,0.187832,0.012097,0.185171,0.013254,0.645481
108.0000,0.136482,0.003030,0.136561,0.008362,0.572044
108.5000,0.019515,0.134053,0.019892,0.135347,0.655372
109.0000,0.146545,0.000684,0.147242,0.001747,0.588382
109.5000,0.127549,0.000067,0.129103,0.000082,0.510546
110.0000,0.199113,0.007730,0.200649,0.011416,0.695621
110.5000,0.156544,0.012775,0.146255,0.015467,0.507226
111.0000,0.162764,0.000011,0.165438,0.000017,0.600353
111.5000,0.218612,0.208867,0.179708,0.258531,0.654030
112.0000,0.130470,0.001714,0.130822,0.002547,0.718269
112.5000,0.177837,0.012911,0.176398,0.013914,0.731157
113.0000,0.147492,0.001256,0.151013,0.002135,0.383201
113.5000,0.125055,0.000686,0.125271,0.000496,0.678839
114.0000,0.062218,0.125007,0.057967,0.125018,0.695913
114.5000,0.113818,0.216825,0.100913,0.271538,0.433184
115.0000,0.225829,0.017751,0.217525,0.017917,0.581457
115.5000,0.126385,0.016000,0.126080,0.017811,0.752538
116.0000,0.191283,0.026855,0.248470,0.081008,0.687021
116.5000,0.136219,0.016971,0.135891,0.015816,0.578745
117.0000,0.164549,0.139749,0.146884,0.144004,0.678856
117.5000,0.254444,0.000202,0.241258,0.000331,0.721221
118.0000,0.294156,0.110406,0.261120,0.125595,0.438953
118.5000,0.148241,0.002521,0.149891,0.002968,0.566056
119.0000,0.159914,0.000382,0.150210,0.000875,0.340913
119.5000,0.222142,0.000010,0.241310,0.000021,0.587367
120.0000,0.149233,0.034259,0.144449,0.032710,0.563389
120.5000,0.068016,0.125256,0.052302,0.125378,0.737954
121.0000,0.140781,0.000647,0.140009,0.001093,0.667619
121.5000,0.188501,0.001549,0.201502,0.001627,0.706433
122.0000,0.156766,0.001263,0.158983,0.003830,0.540082
122.5000,0.148190,0.000272,0.143823,0.000209,0.620284
123.0000,0.177283,0.000433,0.178227,0.000582,0.594837
123.5000,0.125503,0.002159,0.125326,0.003018,0.535215
124.0000,0.174762,0.000090,0.172092,0.000159,0.693721
124.5000,0.309117,0.007101,0.212480,0.009479,0.680780
125.0000,0.156886,0.000070,0.163982,0.000119,0.606932
125.5000,0.164825,0.002404,0.163650,0.002608,0.546885
126.0000,0.137479,0.000531,0.137742,0.001492,0.548475
126.5000,0.125371,0.000400,0.125156,0.000481,0.633414
127.0000,0.163258,0.001564,0.225341,0.006779,0.667347
127.5000,0.131903,0.000421,0.131190,0.000620,0.596824
128.0000,0.158628,0.000088,0.159883,0.000133,0.639876
128.5000,0.127429,0.000000,0.127518,0.000001,0.560772
129.0000,0.130236,0.000014,0.129908,0.000045,0.636935
129.5000,0.137644,0.002961,0.138581,0.004489,0.674176
130.0000,0.175688,0.001085,0.182546,0.001673,0.687952
130.5000,0.177453,0.109054,0.182162,0.131054,0.743324
131.0000,0.126954,0.001286,0.126973,0.002828,0.552466
131.5000,0.128205,0.003241,0.128310,0.004331,0.558443
132.0000,0.125046,0.000201,0.125063,0.000204,0.530893
132.5000,0.209578,0.000435,0.227214,0.000699,0.776656
133.0000,0.133519,0.000008,0.135854,0.000018,0.799197
133.5000,0.128963,0.000005,0.129202,0.000002,0.609245
134.0000,0.148768,0.000026,0.148258,0.000041,0.601646
134.5000,0.204290,0.000104,0.212035,0.000244,0.623999
135.0000,0.268646,0.036064,0.269503,0.063689,0.703771
135.5000,0.155105,0.005421,0.158728,0.006336,0.710153
136.0000,0.082900,0.129403,0.069341,0.130515,0.663220
136.5000,0.181293,0.014638,0.193352,0.021213,0.718117
137.0000,0.136056,0.003141,0.133638,0.003127,0.631871
137.5000,0.125853,0.014239,0.126793,0.020574,0.578222
138.0000,0.013306,0.143488,0.012910,0.148903,0.636876
138.5000,0.132168,0.005773,0.133136,0.006548,0.595092
139.0000,0.037678,0.151630,0.034122,0.159544,0.641413
139.5000,0.127166,0.003231,0.127965,0.004250,0.472216
140.0000,0.222681,0.006477,0.217230,0.008257,0.665712
140.5000,0.171240,0.052758,0.179679,0.064811,0.729972
141.0000,0.170380,0.027894,0.200451,0.042553,0.805814
