[2026-07-26T04:42:42.817Z] Arrancando: 1130 jobs (D=20, Aprima=30, Bprima=1080), 14 workers.
[2026-07-26T15:01:54.479Z] progreso: 880/1130 (D=20/20 A'=30/30 B'=830/1080) último job 306.2s
[2026-07-26T15:04:06.069Z] progreso: 885/1130 (D=20/20 A'=30/30 B'=835/1080) último job 301.0s
[2026-07-26T15:05:51.963Z] progreso: 890/1130 (D=20/20 A'=30/30 B'=840/1080) último job 303.9s
[2026-07-26T15:07:06.191Z] progreso: 895/1130 (D=20/20 A'=30/30 B'=845/1080) último job 306.7s
[2026-07-26T15:10:06.748Z] progreso: 900/1130 (D=20/20 A'=30/30 B'=850/1080) último job 306.8s
[2026-07-26T15:11:02.218Z] progreso: 905/1130 (D=20/20 A'=30/30 B'=855/1080) último job 308.9s
[2026-07-26T15:12:21.055Z] progreso: 910/1130 (D=20/20 A'=30/30 B'=860/1080) último job 306.4s
[2026-07-26T15:15:41.844Z] progreso: 915/1130 (D=20/20 A'=30/30 B'=865/1080) último job 309.6s
[2026-07-26T15:16:45.608Z] progreso: 920/1130 (D=20/20 A'=30/30 B'=870/1080) último job 310.8s
[2026-07-26T15:18:34.603Z] progreso: 925/1130 (D=20/20 A'=30/30 B'=875/1080) último job 314.2s
[2026-07-26T15:21:06.792Z] progreso: 930/1130 (D=20/20 A'=30/30 B'=880/1080) último job 317.6s
[2026-07-26T15:22:08.783Z] progreso: 935/1130 (D=20/20 A'=30/30 B'=885/1080) último job 319.9s
[2026-07-26T15:24:08.729Z] progreso: 940/1130 (D=20/20 A'=30/30 B'=890/1080) último job 325.8s
[2026-07-26T15:26:53.366Z] progreso: 945/1130 (D=20/20 A'=30/30 B'=895/1080) último job 329.5s
[2026-07-26T15:28:19.231Z] progreso: 950/1130 (D=20/20 A'=30/30 B'=900/1080) último job 331.4s
[2026-07-26T15:32:49.668Z] progreso: 955/1130 (D=20/20 A'=30/30 B'=905/1080) último job 471.2s
[2026-07-26T15:34:49.116Z] progreso: 960/1130 (D=20/20 A'=30/30 B'=910/1080) último job 470.4s
[2026-07-26T15:38:29.553Z] progreso: 965/1130 (D=20/20 A'=30/30 B'=915/1080) último job 465.6s
[2026-07-26T15:41:40.125Z] progreso: 970/1130 (D=20/20 A'=30/30 B'=920/1080) último job 470.7s
[2026-07-26T15:42:50.251Z] progreso: 975/1130 (D=20/20 A'=30/30 B'=925/1080) último job 475.0s
[2026-07-26T15:46:59.576Z] progreso: 980/1130 (D=20/20 A'=30/30 B'=930/1080) último job 501.4s
[2026-07-26T15:50:22.938Z] progreso: 985/1130 (D=20/20 A'=30/30 B'=935/1080) último job 491.9s
[2026-07-26T15:51:13.893Z] progreso: 990/1130 (D=20/20 A'=30/30 B'=940/1080) último job 486.9s
[2026-07-26T15:55:31.854Z] progreso: 995/1130 (D=20/20 A'=30/30 B'=945/1080) último job 452.7s
[2026-07-26T15:57:54.323Z] progreso: 1000/1130 (D=20/20 A'=30/30 B'=950/1080) último job 445.3s
[2026-07-26T15:58:56.518Z] progreso: 1005/1130 (D=20/20 A'=30/30 B'=955/1080) último job 443.7s
[2026-07-26T16:03:16.277Z] progreso: 1010/1130 (D=20/20 A'=30/30 B'=960/1080) último job 453.5s
[2026-07-26T16:06:04.173Z] progreso: 1015/1130 (D=20/20 A'=30/30 B'=965/1080) último job 465.1s
[2026-07-26T16:07:33.392Z] progreso: 1020/1130 (D=20/20 A'=30/30 B'=970/1080) último job 472.5s
[2026-07-26T16:11:36.639Z] progreso: 1025/1130 (D=20/20 A'=30/30 B'=975/1080) último job 464.5s
[2026-07-26T16:13:56.212Z] progreso: 1030/1130 (D=20/20 A'=30/30 B'=980/1080) último job 469.3s
[2026-07-26T16:17:24.339Z] progreso: 1035/1130 (D=20/20 A'=30/30 B'=985/1080) último job 468.5s
[2026-07-26T16:20:45.583Z] progreso: 1040/1130 (D=20/20 A'=30/30 B'=990/1080) último job 479.3s
[2026-07-26T16:24:01.133Z] progreso: 1045/1130 (D=20/20 A'=30/30 B'=995/1080) último job 604.9s
[2026-07-26T16:28:03.081Z] progreso: 1050/1130 (D=20/20 A'=30/30 B'=1000/1080) último job 609.0s
[2026-07-26T16:33:16.925Z] progreso: 1055/1130 (D=20/20 A'=30/30 B'=1005/1080) último job 591.7s
[2026-07-26T16:34:04.330Z] progreso: 1060/1130 (D=20/20 A'=30/30 B'=1010/1080) último job 596.4s
[2026-07-26T16:38:47.228Z] progreso: 1065/1130 (D=20/20 A'=30/30 B'=1015/1080) último job 597.3s
[2026-07-26T16:43:19.220Z] progreso: 1070/1130 (D=20/20 A'=30/30 B'=1020/1080) último job 598.0s
[2026-07-26T16:44:32.383Z] progreso: 1075/1130 (D=20/20 A'=30/30 B'=1025/1080) último job 598.1s
[2026-07-26T16:49:06.298Z] progreso: 1080/1130 (D=20/20 A'=30/30 B'=1030/1080) último job 603.7s
[2026-07-26T16:53:48.516Z] progreso: 1085/1130 (D=20/20 A'=30/30 B'=1035/1080) último job 605.1s
[2026-07-26T16:55:42.710Z] progreso: 1090/1130 (D=20/20 A'=30/30 B'=1040/1080) último job 613.6s
[2026-07-26T16:59:36.488Z] progreso: 1095/1130 (D=20/20 A'=30/30 B'=1045/1080) último job 611.1s
[2026-07-26T17:04:18.512Z] progreso: 1100/1130 (D=20/20 A'=30/30 B'=1050/1080) último job 622.2s
[2026-07-26T17:07:50.002Z] progreso: 1105/1130 (D=20/20 A'=30/30 B'=1055/1080) último job 619.2s
[2026-07-26T17:11:20.953Z] progreso: 1110/1130 (D=20/20 A'=30/30 B'=1060/1080) último job 622.6s
[2026-07-26T17:14:54.935Z] progreso: 1115/1130 (D=20/20 A'=30/30 B'=1065/1080) último job 624.0s
[2026-07-26T17:18:53.889Z] progreso: 1120/1130 (D=20/20 A'=30/30 B'=1070/1080) último job 603.9s
[2026-07-26T17:22:32.572Z] progreso: 1125/1130 (D=20/20 A'=30/30 B'=1075/1080) último job 504.1s
[2026-07-26T17:23:02.760Z] progreso: 1130/1130 (D=20/20 A'=30/30 B'=1080/1080) último job 480.3s
[2026-07-26T17:23:02.790Z] TERMINADO: 1130/1130 jobs, 0 fallidos, 12.67 h.
