beta,t_optima,exponente_ptc,potencia_base,semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
0.8,25,6,0.65,6,-0.38255804991072634,0,-0.0008275796661871942,0.12813673218816465
0.8,25,6,0.65,7,-0.3073808647951145,0.9,-0.0011204771219579348,0.1321530404711354
0.8,25,6,0.65,8,-0.3439434336324922,0.4,-0.005280000538575588,0.1313903799020958
0.8,25,6,0.65,9,-0.3894299284836446,0.1,0.003693522710059392,0.12495304807562821
0.8,25,6,0.65,10,-0.35108975847076307,0.2,0.00337417002584896,0.13045017269737616
0.8,28,3,0.3,1,0.016878847288997637,56.2,0.0010874231652347169,0.13108535837004243
0.8,28,3,0.3,2,0.17934700439269757,91.2,0.006763863028978136,0.13023687083092003
0.8,28,3,0.3,3,-0.22013054594086012,5.7,-0.0015026518120924198,0.1304774379454553
0.8,28,3,0.3,4,-0.04574559064059875,39.1,-0.008753800953481508,0.13028985196124745
0.8,28,3,0.3,5,-0.19969926618967082,6.5,-0.0006215698803878942,0.1347567009451206
0.8,28,3,0.3,6,0.015443251064687967,54.1,0.005362121858358016,0.12757937791016674
0.8,28,3,0.3,7,0.27287090826649146,98.5,0.0015936855684103492,0.1266044520961134
