ventana,delta_struct,acoplamiento,error,lf,icr,irde,modo,plan,j,mezcla_nada,mezcla_preservar,mezcla_contexto,S_zona_voz,S_perturbacion,S_no_intervenir,S_contexto,V_nada,V_preservar,V_contexto,C_nada,C_preservar,C_contexto
45,0.0001948016342945387,0.004439447294338995,0.995560552705661,0.40681117059745764,1.970869227921377e-05,0.9911408141036012,NO_SE,PRESERVAR,0.8110216755896187,0.066821903258608,0.9331770967414558,0.0,0.009328207688975873,4.137086001271904e-09,0.0044385824827506935,0.999999995862914,0.725,0.6220433511792373,0.701328875195354,0.9977807087586247,1.0,1.0
46,0.0003002726953604875,0.004040638673246791,0.9959593613267532,0.40890398650618354,1.632676088773753e-05,0.9919350494143941,NO_SE,PRESERVAR,0.8113355979759276,0.06256909672091303,0.9374299032791508,0.0,0.007818913945322952,2.0006144405809535e-09,0.0040394253797813974,0.9999999979993855,0.72,0.622671195951855,0.7012097412874415,0.9979802873101093,1.0,1.0
47,0.00010981161469378487,0.0036691273203138496,0.9963308726796861,0.41082982621696357,1.3462495292673605e-05,0.9926752078546649,NO_SE,PRESERVAR,0.8116244739325446,0.058591775304040625,0.9414072246960229,0.0,0.00592053267495976,4.26821138079825e-10,0.0036687244075182886,0.9999999995731789,0.715,0.6232489478650891,0.7010987185443665,0.9981656377962409,1.0,1.0
48,0.00012682790107737896,0.0033493122838896185,0.9966506877161104,0.4125994899974362,1.1217892775013735e-05,0.9933125933249959,NO_SE,PRESERVAR,0.8118899234996154,0.05487142725993652,0.9451275727401272,0.0,0.009030744660212734,1.0889813813494362e-09,0.0033488874976426,0.9999999989110187,0.71,0.6237798469992308,0.7010031102934127,0.9983255562511787,1.0,1.0
49,0.00013831117479909844,0.0030696063091917194,0.9969303936908083,0.41422401949947046,9.422482893429644e-06,0.99387020986451,NO_SE,PRESERVAR,0.8121336029249207,0.05139087234557344,0.9486081276544901,0.0,0.009948659025248453,1.9225547463028662e-09,0.0030691817483369244,0.9999999980774452,0.705,0.6242672058498412,0.700919467270663,0.9984654091258316,1.0,1.0
50,1.4715245146288454e-05,0.0028270020845446585,0.9971729979154553,0.4157136985951409,7.991940786019883e-06,0.9943539877716967,NO_SE,PRESERVAR,0.8123570547892711,0.04813415509226576,0.9518648449077975,0.0,0.011600024286839414,5.132493082429638e-09,0.0028269604845159555,0.9999999948675069,0.7,0.6247141095785423,0.700846898498125,0.998586519757742,1.0,1.0
51,0.00031628172505312763,0.0026121711710310777,0.9973878288289689,0.4170788455893414,6.823438226765864e-06,0.9947824810961646,NO_SE,PRESERVAR,0.8125618268384012,0.04508644934372207,0.9549125506563412,0.0,0.014127279143280396,5.412070411645982e-09,0.00261134498902697,0.9999999945879295,0.7,0.6251236536768024,0.7007826243177295,0.9986943275054865,1.0,1.0
52,0.00028037375093509936,0.002434814796821073,0.9975651852031789,0.4183276488420791,5.928323094818814e-06,0.9951362987294528,NO_SE,PRESERVAR,0.8127491473263119,0.042233967058153764,0.9577650329419095,0.0,0.015331033907475412,6.535536206246728e-09,0.002434132138663656,0.9999999934644638,0.7,0.6254982946526237,0.7007295509424836,0.9987829339306682,1.0,1.0
53,9.135643422657386e-05,0.00225361889672403,0.997746381103276,0.41947217011183385,5.078798131671659e-06,0.9954978410046836,NO_SE,PRESERVAR,0.812920825516775,0.03956388614479881,0.9604351138552644,0.0,0.011879766479485881,1.0519875242821535e-09,0.00225341301413752,0.9999999989480125,0.7,0.6258416510335502,0.7006753231655056,0.9988732934929312,1.0,1.0
54,6.49663258105144e-05,0.0020653397311396625,0.9979346602688604,0.4205236353580205,4.2656282050240236e-06,0.9958735861659257,NO_SE,PRESERVAR,0.813078545303703,0.037064274880746935,0.9629347251193163,0.0,0.007330366269058105,2.4073093071502094e-09,0.00206520555360578,0.9999999975926906,0.7,0.6261570906074062,0.70061896051036,0.9989673972231972,1.0,1.0
