ciclo,grad_f2,grad_f13,busc_f2,busc_f13,geom_f2,geom_f13,coh_f2,coh_f13,dA_f2,dA_f13,mejor_ef,c28,c21,c29,c30
84,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.3985172464823046,0.3542062572240081,-0.0005794327325268373,0.0005679012209517083,-2.0860697233264237e-05,-4.5598026242758644e-05,0.8953837633600945,1,1,1,0
85,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.39971014058702625,0.352150754948972,-0.0005761945635070773,0.0005728342053256797,-1.8609387100476132e-05,-5.602884213700941e-05,0.8953837633600945,1,1,1,0
86,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.39966882629174927,0.353608694270217,-0.0005790882766875138,0.0005682815714130911,-2.2266199301878688e-05,-5.319642257916011e-05,0.8953837633600945,1,1,1,0
87,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.3986530460989147,0.3462913984638383,-0.00057844602559268,0.0005686157585035903,-1.9340976231004544e-05,-5.224891421472816e-05,0.8953837633600945,1,1,1,0
88,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.3997536790651807,0.3533277600223108,-0.0005787379537514017,0.0005739380406653445,-1.944682995451548e-05,-5.5800345545163366e-05,0.8953837633600945,1,1,1,0
89,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.3990292555718306,0.4275434442826104,-0.0005785946844852563,0.0005910499966222993,-1.802229741378959e-05,4.1761246525871435e-06,0.8953837633600945,1,1,1,0
90,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.388159056062263,0.36735611763591874,-0.0005985882816735307,0.0005782574717141545,-2.099794401980698e-05,-4.497531094395171e-05,0.8953837633600945,1,1,1,0
91,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3961323689216834,0.349150938990962,-0.0005827595762631828,0.0005707677346646012,-1.723458908725764e-05,-4.8098264516797456e-05,0.8953837633600945,1,1,1,0
92,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.3990259639755743,0.3571172507828131,-0.0005811037731274678,0.0005705691077258615,-1.8101309614881254e-05,-5.045774635729848e-05,0.8953837633600945,1,1,1,0
93,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.3985495076919389,0.3611638046090533,-0.000578909297140818,0.000568587173741157,-1.8511718758675563e-05,-5.271814965872408e-05,0.8953837633600945,1,1,1,0
94,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.3982097231489304,0.3617256022713058,-0.000577472862426245,0.0005710577215405908,-1.8854162662580955e-05,-5.409536358597559e-05,0.8953837633600945,1,1,1,0
95,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.39853220184663357,0.3542872903796695,-0.0005793899168269541,0.0005679223122958384,-2.0789327298588192e-05,-4.5616761128480336e-05,0.8953837633600945,1,1,1,0
96,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.39967469827672525,0.35223024880213666,-0.0005762025969437212,0.0005727936647010025,-1.858448317545007e-05,-5.599679770187983e-05,0.8953837633600945,1,1,1,0
97,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.39970499569027995,0.35357866583405223,-0.0005791119780387162,0.0005682571167193244,-2.2238983639624897e-05,-5.322200498337287e-05,0.8953837633600945,1,1,1,0
98,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.3985671471813849,0.34627848693566865,-0.0005784318674581312,0.0005686134054677371,-1.9386843844459654e-05,-5.226446349184737e-05,0.8953837633600945,1,1,1,0
99,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.39974705927828164,0.3533615764887129,-0.0005787532345501068,0.0005739409707530249,-1.9422463266346598e-05,-5.5759506961561976e-05,0.8953837633600945,1,1,1,0
100,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39912642937335285,0.42752736762364857,-0.0005785777968870245,0.0005911184692249427,-1.8052491221472525e-05,4.2022734585155e-06,0.8953837633600945,1,1,1,0
