version	num	file	name	title_or_header	classes	functions	capability_tokens	lines
V017_comparativa_entradas.py	17	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v017_comparativa_entradas.py	v017_comparativa_entradas.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, vecinos, construir_target, actualizar_campo, actualizar_atencion, simular, main	campo, memoria, valencia, amenaza	238
V017_generacion_diferencia.py	17	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v017_generacion_diferencia.py	v017_generacion_diferencia.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, vecinos, construir_target, actualizar_campo, actualizar_atencion, simular, main	campo, valencia, amenaza, identidad	293
V018_barrido_ancla.py	18	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v018_barrido_ancla.py	v018_barrido_ancla.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, vecinos, construir_target, aplicar_dinamica_interna, actualizar_campo, actualizar_atencion, simular, cargar_entradas, barrido_tasa_mezcla, barrido_generacion, barrido_sostenimiento	campo, valencia	276
V019_barrido_multidimensional.py	19	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v019_barrido_multidimensional.py	v019_barrido_multidimensional.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, vecinos, perfil_modulacion, actualizar_campo, actualizar_atencion, simular, cargar_entradas, barrido_multidimensional	campo, valencia	264
V019_barrido_multidimensional_relajado.py	19	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v019_barrido_multidimensional_relajado.py	v019_barrido_multidimensional_relajado.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, vecinos, perfil_modulacion, actualizar_campo, actualizar_atencion, simular, cargar_entradas, barrido_multidimensional	campo, valencia	239
V020_barrido_memoria.py	20	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v020_barrido_memoria.py	v020_barrido_memoria.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, inicializar_memoria, vecinos, perfil_modulacion, actualizar_campo, actualizar_atencion, actualizar_memoria, simular, cargar_entradas, barrido_memoria	campo, memoria, valencia, identidad	265
V021_restriccion.py	21	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v021_restriccion.py	v021_restriccion.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, inicializar_memoria, vecinos, perfil_modulacion, dinamica_propuesta, actualizar_memoria, actualizar_campo_con_restriccion, actualizar_atencion, simular, cargar_entradas, main	campo, memoria, valencia, amenaza, identidad, actuador	282
V021_restriccion_corregido.py	21	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v021_restriccion_corregido.py	v021_restriccion_corregido.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, inicializar_memoria, vecinos, perfil_modulacion, actualizar_memoria, actualizar_campo, actualizar_atencion, simular, cargar_entradas, main	campo, memoria, valencia	272
V022_doble_memoria.py	22	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v022_doble_memoria.py	v022_doble_memoria.py	!/usr/bin/env python3		cargar_audio, generar_tono_puro, generar_ruido_blanco, inicializar_campo, inicializar_atencion, inicializar_memoria, vecinos, perfil_modulacion, actualizar_memoria_estabilidad, actualizar_memoria_coherencia, actualizar_campo, actualizar_atencion, simular, metrics, main	campo, memoria, valencia, predictiva	295
V023_exito.py	23	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v023_exito.py	v023_exito.py	!/usr/bin/env python3		cargar_audio, generar_tono_puro, generar_ruido_blanco, inicializar_campo, inicializar_atencion, inicializar_memoria, vecinos, perfil_modulacion, actualizar_memoria_estabilidad, actualizar_memoria_coherencia, actualizar_memoria_estructura, actualizar_campo, actualizar_atencion, simular, metrics, main	campo, memoria, valencia, identidad	324
V023_triple_memoria.py	23	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v023_triple_memoria.py	v023_triple_memoria.py	!/usr/bin/env python3		cargar_audio, generar_tono_puro, generar_ruido_blanco, inicializar_campo, inicializar_atencion, inicializar_memoria, vecinos, perfil_modulacion, actualizar_memoria_estabilidad, actualizar_memoria_coherencia, actualizar_memoria_estructura, actualizar_campo, actualizar_atencion, simular, metrics, main	campo, memoria, valencia, identidad	326
V023_triple_memoria_corregido.py	23	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v023_triple_memoria_corregido.py	v023_triple_memoria_corregido.py	!/usr/bin/env python3		cargar_audio, generar_tono_puro, generar_ruido_blanco, inicializar_campo, inicializar_atencion, inicializar_memoria, vecinos, perfil_modulacion, actualizar_memoria_estabilidad, actualizar_memoria_coherencia, actualizar_memoria_estructura, actualizar_campo, actualizar_atencion, simular, metrics, main	campo, memoria, valencia, identidad	330
V024_multiescala.py	24	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v024_multiescala.py	v024_multiescala.py	!/usr/bin/env python3		cargar_audio, generar_tono_puro, generar_ruido_blanco, inicializar_campo, inicializar_atencion, inicializar_memoria, vecinos, perfil_modulacion, promedio_movil_suave, estructura_multiescala, actualizar_memoria_estabilidad, actualizar_memoria_coherencia, actualizar_memoria_estructura, actualizar_campo, actualizar_atencion, simular, metrics, main	campo, memoria, valencia, identidad	343
V025_trayectoria.py	25	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v025_trayectoria.py	v025_trayectoria.py	!/usr/bin/env python3		cargar_audio, generar_tono_puro, generar_ruido_blanco, inicializar_campo, inicializar_atencion, inicializar_memoria, vecinos, perfil_modulacion, actualizar_memoria_estabilidad, actualizar_memoria_coherencia, actualizar_memoria_trayectoria, actualizar_campo, actualizar_atencion, simular, metrics, main	campo, memoria, valencia, predictiva	319
V026_trayectoria_atencion.py	26	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v026_trayectoria_atencion.py	v026_trayectoria_atencion.py	!/usr/bin/env python3		cargar_audio, generar_tono_puro, generar_ruido_blanco, inicializar_campo, inicializar_atencion, inicializar_memoria, vecinos, perfil_modulacion, actualizar_memoria_estabilidad, actualizar_memoria_coherencia, actualizar_memoria_trayectoria_atencion, actualizar_campo, actualizar_atencion, simular, metrics, main	campo, memoria, valencia, predictiva	323
