fase,t,ged_L,ged_R,asim_LR,coh_rel,err_L,err_R,geom,frac_L,frac_R,efic,lf
F7,17.86,0.00012405768155730642,0.0001240780549738164,2.041439676450402e-08,-0.005166080810366414,0.1708495358538685,0.16909336336507658,0.4572255464871101,0.7879766507690639,0.8089429527650783,0.1659808375542996,1
F7,17.87,0.0001242774322536018,0.00012429765147064015,2.026796050857888e-08,-0.005008504685538774,0.17063278246646418,0.16893207030978918,0.45715228033613264,0.7879985520383853,0.8089630349712,0.16617473542251687,1
F7,17.88,0.0001244983628682703,0.0001245184274925561,2.0122350399163954e-08,-0.00482272063007501,0.17062600748348758,0.16898814331169995,0.4570980125771342,0.7880510511995857,0.8089799381085228,0.16637235778506393,1
F7,17.89,0.00012472047488327958,0.0001247403844476571,1.9976153346557534e-08,-0.004646315173010309,0.1707944641005416,0.1692146744805256,0.45702617894325004,0.7880599975489723,0.8089749169801751,0.16657330761131914,1
F7,17.9,0.00012494376842677165,0.000124963522414527,1.9829346459677292e-08,-0.004422280420208351,0.17074580044032636,0.16924227781829676,0.4569740846535858,0.7881069236909171,0.8089620696205619,0.1667756177617529,1
F7,17.91,0.00012516824210749688,0.00012518783998601338,1.9681995734955092e-08,-0.004255156659620069,0.17020195051122033,0.1687596159439379,0.45691429618597,0.7881527736430508,0.8089505153554453,0.16698093439932352,1
F7,17.92,0.00012539389578950985,0.0001254133370812702,1.953416869336811e-08,-0.004351304170287047,0.16997420107581362,0.1685013908208183,0.4568663414608461,0.7882081381846752,0.8089546225782517,0.16718712864202334,1
F7,17.93,0.00012562072754018435,0.0001256400118372586,1.9385875742730642e-08,-0.0040815744823031585,0.16990167583206492,0.16852038100024147,0.45680300073096725,0.7882553512620668,0.8089641355373228,0.16739717531172046,1
F7,17.94,0.00012584873682223256,0.00012586786371255904,1.9237042028151986e-08,-0.0039352677394043105,0.17035511663408054,0.16901958631360706,0.4567400107035125,0.7883065374859105,0.8089625251800164,0.1676043571605113,1
F7,17.95,0.00012607792385409733,0.00012609689285721012,1.9087581601320922e-08,-0.0037126573033144784,0.17070158418695536,0.16943875965486785,0.45668037884523527,0.7883534835223117,0.8089639948220977,0.16780928260013406,1
F7,17.96,0.0001263082898744496,0.000126327100428003,1.893746484385854e-08,-0.0035316508657394162,0.17104542899664893,0.1698415352538811,0.4566106133568974,0.7884057837077332,0.8089607945357166,0.1680156880006351,1
F7,17.97,0.00012653983349773885,0.00012655848501321576,1.8786672001392892e-08,-0.0034367478145566482,0.17137985987923016,0.17020591571114263,0.45655773978320824,0.7884730546340011,0.8089616548917993,0.1682230509119429,1
F7,17.98,0.00012677255294661922,0.00012679104482441457,1.863524851406556e-08,-0.0033097628422995165,0.17137082090978642,0.17024016954672136,0.4564739062180492,0.7885363187340308,0.8089675387352971,0.16843268267583175,1
F7,17.99,0.00012700644548727392,0.00012702477716272718,1.848326525585257e-08,-0.0032152594029550615,0.17105612386271857,0.16995966962582681,0.4564129013332627,0.7886028470346366,0.808966073199802,0.16863960850119925,1
F7,18.0,0.0001272415089078791,0.00012725967988552704,1.8330692029825706e-08,-0.0026322312342956723,0.17098525963153585,0.17008747731990234,0.4563459139428028,0.7886240855200473,0.8089500853931499,0.16884966016517375,1
F7,18.01,0.00012747774377591602,0.00012749575352669196,1.817751256567892e-08,-0.0024731039338274767,0.1708530663017228,0.1700100763225546,0.45628654394821416,0.7886831531720825,0.8089464317198825,0.1690641171269042,1
F7,18.02,0.00012771514877561157,0.00012773299675636937,1.8023772537547384e-08,-0.002405188611530255,0.17111545031301487,0.17029429548032676,0.4562126096691745,0.7887297833995024,0.808942802921329,0.16928216083952147,1
F7,18.03,0.00012795372239105034,0.00012797140809638036,1.7869443481399193e-08,-0.002298729711452946,0.17110384857422986,0.17031900970550318,0.4561488494598667,0.788794503249529,0.8089125028406635,0.16949422325893984,1
F7,18.04,0.00012819346361479808,0.00012821098651197134,1.771455843468659e-08,-0.002202720683101011,0.17087901205758954,0.17012786914706002,0.4560740944778442,0.7888666093328103,0.808906210389558,0.16970507153696823,1
F7,18.05,0.00012843437114205795,0.00012845173072187642,1.7559219952839058e-08,-0.0020256485809774503,0.17110830729078016,0.17041649805326384,0.4560087666589627,0.7889433232233356,0.8088907273459226,0.16991815179436628,1
F7,18.06,0.00012867644202203298,0.0001286936378730103,1.7403440966778983e-08,-0.0018311004010799,0.17134868991488295,0.17072232354475608,0.45596267355073455,0.788999122813114,0.8088920953019175,0.17013221459553635,1
F7,18.07,0.00012891967439304135,0.00012893670612051608,1.7247265055328292e-08,-0.001710016522015553,0.1712976774633599,0.1707128338381603,0.4558970535213323,0.789070235896781,0.8088657695371634,0.17034761182319244,1
F7,18.08,0.00012916406590595823,0.0001291809331526363,1.709070209710025e-08,-0.0013941678356510314,0.17120907405642008,0.17073235032073733,0.45581128544686594,0.789141474206384,0.8088429583456903,0.1705660705243443,1
F7,18.09,0.00012940961386497926,0.0001294263162942976,1.6933748709425603e-08,-0.001522973904035557,0.17068552255210234,0.17016641394752113,0.455764330454342,0.7892068559582793,0.8088210623470716,0.17078445689458513,1
F7,18.1,0.00012965631656805293,0.00012967285384454018,1.6776367230833566e-08,-0.0014567672168304467,0.17074523704703012,0.17024848856626612,0.4557023324768357,0.7892715175484276,0.8087845333739183,0.17099976463497987,1
F7,18.11,0.0001299041709905602,0.00012992054273665637,1.6618536563400397e-08,-0.0014024380460271422,0.1710871738206604,0.17060796755411356,0.4556331416205202,0.7893464320130249,0.8087673860254058,0.17121473009470412,1
F7,18.12,0.00013015317236920134,0.0001301693781816803,1.6460293295712063e-08,-0.001314223119128456,0.17121941546918393,0.17076996511858764,0.45555035506412567,0.7894366242388579,0.8087566726251315,0.1714295046420106,1
F7,18.13,0.00013040331741464442,0.0001304193569232584,1.6310692186974715e-08,-0.0012214816694914254,0.1709951391168235,0.17057791389365684,0.4554910071546855,0.7895199302997655,0.8087477036220128,0.17164728566551116,1
F7,18.14,0.00013065460232521356,0.00013067047522851333,1.616298086573693e-08,-0.001144150025047009,0.17032178748983623,0.16993248555469556,0.455410538824179,0.7896238912638004,0.8087365349925248,0.17186907375386515,1
F7,18.15,0.00013090702331496857,0.0001309227293197609,1.601487314325966e-08,-0.0010494318278731958,0.17021912312742843,0.16986223093030908,0.4553443452731949,0.7897112550687806,0.8086924222850047,0.17209411113308776,1
F7,18.16,0.00013116057702023973,0.00013117611581825111,1.5866404238842934e-08,-0.0010681336193366722,0.1705663804520121,0.17020239386763433,0.4552995612141343,0.7897828780924,0.8086582861112664,0.1723210928698163,1
F7,18.17,0.00013141525896339198,0.00013143063028353376,1.5717557713087925e-08,-0.0008995960081799052,0.1702472638514962,0.1699412316388344,0.45525573496714317,0.7898543009491972,0.8086312928524674,0.1725466761963301,1
