fase,t,ged_L,ged_R,frac_L,frac_R,sesgo_freq,asimetria_LR,G_actividad,senal_mant,eficiencia,error_rec
Fase 4,15.88,0.00048101982766732466,0.00048101936905534126,0.778934001679041,0.8003157480453016,0.027078359670460694,3.2816749755392637e-10,0.46253391239328223,0.0,0.2500814116183456,0.003584739511749911
Fase 4,15.89,0.00048405202462416854,0.000484051563288449,0.7787827841554629,0.8003966839006948,0.027373582524900682,3.299535758752157e-10,0.4625302347931142,0.0,0.2508422369248569,0.0035805739778948637
Fase 4,15.9,0.0004870973783301473,0.0004870969144354732,0.7786315144084709,0.8004775935131258,0.027668865938476492,3.3168133010142053e-10,0.4625260272283711,0.0,0.2516087952580882,0.003576503936384029
Fase 4,15.91,0.0004901556615946119,0.0004901551953058441,0.7784801976483008,0.8005584741484013,0.02796419985709267,3.3335068209130767e-10,0.4625212902770566,0.0,0.252375567844647,0.0035725289932417715
Fase 4,15.92,0.0004932266470733906,0.0004932261785554487,0.7783288390795889,0.8006393230768882,0.028259574235909506,3.3496156027774183e-10,0.46251602453155116,0.0,0.25314535601877614,0.0035686487515368993
Fase 4,15.93,0.0004963101072815192,0.000496309636699361,0.7781774439012008,0.8007201375736067,0.028554979039678234,3.3651389963397114e-10,0.4625102305985893,0.0,0.2539174698788649,0.003564862811419317
Fase 4,15.94,0.000499405814605933,0.0004994053421245336,0.7780260173060584,0.8008009149183222,0.028850404243075143,3.380076416887802e-10,0.46250390909923494,0.0,0.25469410363489997,0.0035611707701567893
Fase 4,15.950000000000001,0.0005025135413181187,0.0005025130671024503,0.7778745644809708,0.8008816523956388,0.029145839831034765,3.3944273450901227e-10,0.4624970606688574,0.0,0.2554762014662417,0.0035575722221718132
Fase 4,15.96,0.0005056330595867223,0.0005056325838017342,0.7777230906064622,0.80096234729509,0.02944127579908283,3.4081913270913854e-10,0.4624896859571065,0.0,0.25626203730870883,0.0035540667590786036
Fase 4,15.97,0.0005087641414901196,0.0005087636643007165,0.7775716008566026,0.8010429969112294,0.02973670215366757,3.4213679741634844e-10,0.4624817856278872,0.0,0.2570506440281178,0.0035506539697201644
Fase 4,15.98,0.000511906559028941,0.0005119060805999638,0.7774201003988384,0.8011235985437232,0.03003210891249115,3.4343957306664277e-10,0.4624733603593343,0.0,0.2578390295860842,0.0035473334402054825
Fase 4,15.99,0.0005150600841385562,0.0005150596046347612,0.7772685943938223,0.8012041494974382,0.03032748610484048,3.4483527107962656e-10,0.46246441084378587,0.0,0.2586311559236592,0.003544104753946808
Fase 4,16.0,0.0005182244887015156,0.0005182240082875544,0.7771170879952467,0.8012846470825328,0.030622823771915296,3.461760957529153e-10,0.46245493778775737,0.0,0.25942808973603093,0.003540967491697029
Fase 4,16.01,0.0005213995445599478,0.000521399063400347,0.7769655863496735,0.8013650886145457,0.030918111967158494,3.4746202108255687e-10,0.462444941911914,0.0,0.2602252534588588,0.0035379212315871534
Fase 4,16.02,0.0005245850235279139,0.0005245845417870546,0.7768140945963681,0.8014454714144847,0.031213340756582778,3.4869302702062966e-10,0.4624344239510441,0.0,0.2610243416093747,0.0035349655491638656
Fase 4,16.03,0.0005277806974037196,0.0005277802152458176,0.7766626178671322,0.8015257928089149,0.03150850021909881,3.498690994672566e-10,0.4624233846540308,0.0,0.2618267662513807,0.0035321000174271923
Fase 4,16.04,0.0005309863379821795,0.0005309858555712658,0.7765111612861371,0.8016060501300457,0.03180358044684001,3.5099023023973156e-10,0.46241182478382403,0.0,0.2626336958044336,0.003529324206868235
Fase 4,16.05,0.0005342017170668396,0.0005342012345667394,0.7763597299697576,0.8016862407158186,0.032098571545489236,3.5205641709461966e-10,0.4623997451174124,0.0,0.26344316914094995,0.003526637685507007
Fase 4,16.06,0.0005374266064821526,0.0005374261240564658,0.7762083290264082,0.8017663619099936,0.03239346363460213,3.5306766368662273e-10,0.46238714644579326,0.0,0.2642578825235593,0.0035240400189303356
Fase 4,16.07,0.00054066077808561,0.0005406602958976913,0.7760569635563761,0.8018464110622349,0.032688246847931535,3.5402397958075295e-10,0.46237402957394397,0.0,0.2650748020377644,0.003521530770329859
Fase 4,16.080000000000002,0.0005439040037798258,0.0005439035219927652,0.775905638651659,0.8019263855281963,0.03298291133374961,3.5492538021630967e-10,0.4623603953207918,0.0,0.265880253963617,0.003519109500540093
Fase 4,16.09,0.0005471560555245761,0.0005471555743011787,0.7757543593958004,0.8020062826696073,0.03327744725516953,3.557718869058992e-10,0.46234624451918405,0.0,0.26661178980657324,0.003516775768076573
Fase 4,16.1,0.0005504167053487902,0.0005504162248515569,0.7756031308637275,0.8020860998543562,0.03357184479046624,3.5656352682227294e-10,0.4623315780158565,0.0,0.26733965187751824,0.003514529129174078
Fase 4,16.11,0.0005536857253624959,0.0005536852457536038,0.7754519581215877,0.8021658344565745,0.03386609413339687,3.573003329797555e-10,0.46231639667140323,0.0,0.2680700138108556,0.003512369137824913
Fase 4,16.12,0.0005569628877687194,0.0005569624092100022,0.7753008462265877,0.8022454838567205,0.034160185493518666,3.579823442204702e-10,0.46230070136024465,0.0,0.26880079966757175,0.003510295345817267
Fase 4,16.13,0.0005602479648753328,0.0005602474875282611,0.7751498002268322,0.8023250454416614,0.034454109096507354,3.586096051913009e-10,0.46228449297059576,0.0,0.2695355490347798,0.0035083073027736434
Fase 4,16.14,0.0005635407291068579,0.0005635402531325205,0.7749988251611629,0.8024045166047568,0.034747855184474076,3.5918216633448394e-10,0.4622677724044337,0.0,0.2702741817867311,0.003506404556189341
Fase 4,16.15,0.00056684095301622,0.0005668404785753044,0.7748479260589988,0.8024838947459391,0.035041414016281205,3.5970008387149504e-10,0.4622505405774653,0.0,0.2710137723777546,0.003504586651471008
