fase,angulo,t,ged_L,ged_R,grad_E,act_busc,coh_rel,geom,frac_L,frac_R,efic,lf
F12,60.0,1.29,0.0010775877675010465,0.0010776195549863786,0.7616855174393451,0.04974929130857597,1.4398797531167462e-06,0.3807970779778823,1.0,0.4721243977242419,0.5794152891372414,0
F12,60.0,1.3,0.0010791265230631808,0.0010791583401023987,0.06542984050721617,0.05046034104785835,9.45619766532671e-08,0.3807970779778823,1.0,0.4753234093459831,0.5798134377718771,0
F12,60.0,1.31,0.001080670426636368,0.0010807022729668392,0.00038559382180288263,0.050738191671515276,7.600396432068476e-09,0.3807970779778823,1.0,0.4755305325186933,0.5802163700588066,0
F12,60.0,1.32,0.001082219368407256,0.001082251243726747,0.19262763143910278,0.05172894366389713,2.455554248995155e-07,0.3807970779778823,1.0,0.4744982890591389,0.5806338198170117,0
F12,60.0,1.33,0.0010837732377622143,0.0010838051417720314,0.8309736564821032,0.05274425425757001,3.9914424326426255e-06,0.3807970779778823,1.0,0.47137735517838114,0.581065768192265,0
F12,60.0,1.34,0.00108533192346736,0.0010853638558645014,0.04453094123471407,0.053316338685896025,1.2595349211963546e-07,0.3807970779778823,1.0,0.4749998764224653,0.581506387950215,0
F12,60.0,1.35,0.0010868953128482987,0.0010869272734228496,-0.00604155317999055,0.05352509907909875,-1.0638997677343261e-08,0.3807970779778823,1.0,0.475139706769265,0.5819461898986281,0
F12,60.0,1.36,0.001088461283240662,0.0010884932739150602,-0.43799663589680804,0.05302664057995532,-2.033407298075616e-06,0.3807970779778823,1.0,0.47714468437636987,0.5823913649222053,0
F12,60.0,1.37,0.001090028102092799,0.0010900601265070827,-0.6336117513745174,0.05252878998082677,-1.014755333630646e-06,0.3812941752150897,1.0,0.4780096317527713,0.5828395065236665,0
F12,60.0,1.38,0.0010915961928252512,0.0010916282540058505,-0.41614346317050127,0.05203214755992758,-7.025274548135169e-07,0.38079825616633883,1.0,0.4770330614017781,0.5832966861089227,0
F12,60.0,1.39,0.0010931659194677512,0.001093198019931439,0.692441728289006,0.053035959193794,1.4159116760003291e-06,0.3807970779778823,1.0,0.47140856052822067,0.5837532884800345,0
F12,60.0,1.4,0.0010947375886324604,0.0010947697304915698,0.6416338855166912,0.05403306312195044,1.5180592265362178e-06,0.3807970779778823,1.0,0.47154590603110796,0.5842185215565526,0
F12,60.0,1.41,0.0010963114579966898,0.0010963436429816083,-0.648431245214642,0.05352351644513342,-1.8654334125988206e-06,0.3813895460416601,1.0,0.47767559763460804,0.5846816908081192,0
F12,60.0,1.42,0.001097887740361702,0.0010979199700633716,-0.07383351595543707,0.05329374450375668,-1.4249419597230676e-07,0.3807970779778823,1.0,0.47504906691738585,0.5851556843399294,0
F12,60.0,1.43,0.001099466610957451,0.0010994988868187202,-0.16638221368220174,0.05283652388956106,-2.300651104617681e-07,0.3807970779778823,1.0,0.47510640526635417,0.585637434378646,0
F12,60.0,1.44,0.0011010482067114135,0.0011010805299822863,0.049993074720401175,0.053424517610566324,2.7985282917770227e-07,0.3807970779778823,1.0,0.4739616040848748,0.5861086594963605,0
F12,60.0,1.45,0.001102632635105557,0.001102665006906456,-0.3227075410247103,0.05291372868612354,-3.6506070446871127e-07,0.3807970779778823,1.0,0.47567337362227763,0.5865470859248467,0
F12,60.0,1.46,0.0011042199750401428,0.0011042523963795707,-0.9393255788922805,0.05240149709097164,-4.728540936617977e-06,0.3826785372756589,1.0,0.47863680366574446,0.5869766604961285,0
F12,60.0,1.47,0.0011058102794837506,0.0011058427512844696,0.8504160401507815,0.053390164750478086,6.367653424310653e-06,0.3807970779778823,1.0,0.47156844095933936,0.5874194455618702,0
F12,60.0,1.48,0.0011074035805846716,0.0011074361036821562,0.7422335329587317,0.054372204483674746,1.4138511370091194e-06,0.3807970779778823,1.0,0.4703005844192977,0.5878758182531967,0
F12,60.0,1.49,0.001108999886771296,0.0011090324618891554,0.7840169080378517,0.05534762810140048,1.59756395755761e-06,0.3807970779778823,1.0,0.47001274376663554,0.588342624878852,0
F12,60.0,1.5,0.0011105991895715465,0.0011106318173396256,-0.012532380047067934,0.055472963068180836,-6.704069652122893e-08,0.3807970779778823,1.0,0.47369128042200753,0.588794151162041,0
F12,60.0,1.51,0.0011122014651222356,0.0011122341461577779,-0.17284267528327416,0.05498532795171196,-2.7789867140453623e-07,0.3807970779778823,1.0,0.47437434883627994,0.5892569996227229,0
F12,60.0,1.52,0.0011138066754664408,0.001113839410321855,-0.6364472191379222,0.05445260688523934,-1.0392543726124288e-06,0.3813983353207704,1.0,0.4765570787502677,0.5897273320209544,0
F12,60.0,1.53,0.0011154147701269992,0.0011154475592929254,-0.10328008712171284,0.054089602150210414,-1.1851483319924551e-07,0.3807970779778823,1.0,0.4741669053448418,0.5902050447068931,0
F12,60.0,1.54,0.0011170256886702712,0.0011170585325556593,0.8739672996238279,0.05505799148618051,2.4424186001354074e-06,0.3807970779778823,1.0,0.46914080827020405,0.5906809980436768,0
F12,60.0,1.55,0.001118639356991834,0.0011186722560186475,0.32949307811625406,0.05601776582754525,2.4731348211223265e-06,0.3807970779778823,1.0,0.47160193206091827,0.5911704963283606,0
F12,60.0,1.56,0.0011202556927423668,0.001120288647411178,0.37452332467726335,0.05697222655648182,5.641608459969626e-07,0.3807970779778823,1.0,0.47130042031282654,0.5916692484196273,0
F12,60.0,1.57,0.0011218746055080286,0.001121907616346355,-0.001583100184285713,0.05715914051561466,-1.2319180574340173e-08,0.3807970779778823,1.0,0.47300755900581476,0.5921709430790494,0
F12,60.0,1.58,0.0011234959979077748,0.0011235290653665783,-0.09771717672949909,0.05679138375886017,-9.166811404819064e-08,0.3807970779778823,1.0,0.47338423645568733,0.5926838720577179,0
F12,60.0,1.59,0.0011251197665736964,0.0011251528910303516,-0.32531307489304995,0.05623986812121362,-5.448770007498638e-07,0.3807970779778823,1.0,0.4744035124157474,0.5932028058435803,0
F12,60.0,1.6,0.0011267458028713746,0.0011267789846287869,-0.04584503688742575,0.056115546687437456,-1.0344722991999099e-07,0.3807970779778823,1.0,0.47296239643158583,0.5937303905786568,0
F12,60.0,1.61,0.0011283739935657974,0.0011284072328615594,0.4886389415481541,0.05706164494096766,7.276774217256332e-06,0.3807970779778823,1.0,0.47033358784900203,0.594271257599211,0
F12,60.0,1.62,0.0011300042209928384,0.0011300375180271355,0.3044083805438157,0.057997948666031696,1.8780632991481285e-06,0.3807970779778823,1.0,0.47112012841923884,0.594804929102817,0
F12,60.0,1.63,0.0011316363632787178,0.0011316697182254213,0.3561327590463167,0.058929984668882884,2.2299028663514772e-06,0.3807970779778823,1.0,0.4707926232326517,0.5953194845815735,0
F12,60.0,1.64,0.001133270295174093,0.001133303708215623,-0.0064244262083715635,0.05905867681365862,-2.3108133575699545e-08,0.3807970779778823,1.0,0.47243951608446444,0.5958181854303661,0
F12,60.0,1.65,0.0011349058887180998,0.0011349393599684148,0.03580971863851719,0.05949071054914612,1.246111261277149e-07,0.3807970779778823,1.0,0.47215548030784976,0.5963222191097189,0
F12,60.0,1.66,0.001136543013576557,0.001136576543058728,-0.9761929308953168,0.05891116208102376,-8.000132208936318e-06,0.3829481542348489,1.0,0.4770427507958807,0.5968264323320326,0
F12,60.0,1.67,0.0011381815372835816,0.0011382151248988074,0.6576406791508497,0.05983271831320902,1.5513481684273486e-06,0.3807970779778823,1.0,0.47105390329019564,0.5973436406865316,0
F12,60.0,1.68,0.0011398213273063216,0.0011398549729061528,0.7721138245344067,0.060747858671579724,1.5034270949675559e-06,0.3807970779778823,1.0,0.46844519210290453,0.597872656861822,0
F12,60.0,1.69,0.0011420184265889814,0.001142051166211946,-0.5557417480382568,0.06015665080066157,-1.0168293844178585e-06,0.38107605892090446,1.0,0.4747135186097501,0.5986953611616903,0
F12,60.0,1.7,0.001143672278612583,0.0011437050304891954,0.019073465069319482,0.06045791676681489,4.921151976238533e-08,0.3807970779778823,1.0,0.4719325913570374,0.5992447599683339,0
F12,60.0,1.71,0.0011453265030100359,0.0011453592661439266,-0.45314776265351236,0.059864723631576355,-1.2220070077424602e-06,0.3807970779778823,1.0,0.4740552790172413,0.5997953470654352,0
F12,60.0,1.72,0.001146980971654558,0.0011470137450183889,-0.002037213526211277,0.06000725818973829,-6.216294560165702e-09,0.3807970779778823,1.0,0.47179160011316446,0.6003219410738143,0
