fase,t,ged_L,ged_R,alpha_L,alpha_R,G_actividad,G_varianza,asimetria_LR,perm_nivel,senal_mant,eficiencia,ventaja,error_rec
Fase 2,14.77,0.000753809468396262,0.000753812378995177,0.03567097507146472,0.03679820688853776,0.46692602243884435,0.00023720060532654761,2.9205909481435573e-09,0.4494100134518276,0.0035556330546296262,0.2791606500667893,1.0,0.01078698336771617
Fase 2,14.780000000000001,0.0007549096662039004,0.000754912360753083,0.035694596093531504,0.03677590457905988,0.4669889490738207,0.0002354406921147157,2.7113615949258757e-09,0.44943633493247404,0.0032857821059348834,0.2793672998696303,1.0,0.010987168615093985
Fase 2,14.790000000000001,0.0007560085089309939,0.0007560109925435908,0.03571818190197395,0.03675363484464977,0.46705162719881926,0.00023369380283539353,2.5220686967290464e-09,0.4494626081668922,0.0034481349250077772,0.2795767900498114,1.0,0.011246797728319291
Fase 2,14.8,0.0007571058753889624,0.0007571081531161446,0.03574172982454582,0.0367314005837988,0.4671140542739849,0.00023196031543835913,2.343370020664066e-09,0.4494888334501864,0.003775033638862793,0.27978975833588093,1.0,0.011432508141210489
Fase 2,14.81,0.000758201644798154,0.0007582037216289628,0.03576523548925495,0.03670920618325437,0.4671762245505286,0.00023024047606264337,2.1705082402039805e-09,0.4495149990384259,0.004807009103062313,0.27999743926915066,1.0,0.011237125014836282
Fase 2,14.82,0.0007592956967917612,0.0007592975776525335,0.03578869474654287,0.036687055205378426,0.4672381266067592,0.00022853425297477293,2.0109919752016337e-09,0.4495410723540795,0.005169828918337421,0.2802036142056315,1.0,0.010350087918519544
Fase 2,14.83,0.0007603879114296197,0.0007603896011828811,0.03581210531632524,0.036664948301378744,0.4672997538113796,0.00022684180260874347,1.8653226737661554e-09,0.4495670381206587,0.0063226225074843115,0.2804128358926455,1.0,0.01004310091769895
Fase 2,14.84,0.000761478169198867,0.0007614796726417293,0.0358354640234091,0.036642887882623834,0.4673611197021147,0.00022516247257952816,1.7262259053919403e-09,0.4495929015058017,0.006200886471891258,0.28062564584849714,1.0,0.010270241940725082
Fase 2,14.85,0.0007625663510504342,0.0007625676729123467,0.03585877335527636,0.03662087172001373,0.4674222319883553,0.00022349578728687855,1.6094308342395396e-09,0.44961869217001216,0.0066141969879782055,0.2808411006316892,1.0,0.01075278182337229
Fase 2,14.86,0.0007636523384053303,0.0007636534833447656,0.03588203907081329,0.03659889553768732,0.46748309222704876,0.00022184109986586747,1.506862315400154e-09,0.4496444233313899,0.007929706032610794,0.2810565437063799,1.0,0.010923743864188313
Fase 2,14.870000000000001,0.0007647360131529763,0.0007647369857543456,0.03590526709770133,0.03657695406886816,0.46754369056113476,0.00022019778856843857,1.4238868257704622e-09,0.44967007004914294,0.00885975725357225,0.2812719223560374,1.0,0.010104494259825576
Fase 2,14.88,0.0007658172576540583,0.0007658180624254815,0.035928460126445426,0.036555043376011724,0.46760401971058896,0.00021856526489566285,1.3550356037957364e-09,0.4496956159997117,0.009767699073187381,0.2814903077358248,1.0,0.009527813644764125
Fase 2,14.89,0.0007668959547521405,0.0007668965961231638,0.03595162176237564,0.03653315903760995,0.4676640711476906,0.0002169429529015338,1.2931140053236229e-09,0.4497210400558129,0.01074364668601395,0.28171209413665915,1.0,0.008848656248632895
Fase 2,14.9,0.000767971987782745,0.0007679724701022823,0.035974755304682415,0.036511296698108237,0.4677238338803575,0.00021533027087949298,1.2531921713531031e-09,0.4497463117301402,0.011588773275767131,0.28193620777952066,1.0,0.007982312268898107
Fase 2,14.91,0.0007690452405814802,0.0007690455681160487,0.03599786325403629,0.036489452332470716,0.46778329637796645,0.00021372665683373247,1.2223414147696616e-09,0.4497713981203817,0.01179542263272999,0.28213760637488317,1.0,0.0071192171677451
Fase 2,14.92,0.0007701155974892024,0.0007701157744211103,0.03602094760710902,0.036467622298910055,0.4678424516233159,0.0002121316332170261,1.2066037095955014e-09,0.4497962821328268,0.011425532066703494,0.2822968277433084,1.0,0.006682720617214416
Fase 2,14.93,0.0007711829433613927,0.0007711829737872177,0.03604401045903619,0.03644580364760514,0.46790129608623177,0.0002105448414691575,1.200364351217417e-09,0.4498209592459135,0.011153094122589694,0.2824579763530339,1.0,0.006530637629018887
Fase 2,14.94,0.0007722471635782998,0.0007722470515075697,0.03606705437475748,0.03642399358753819,0.4679598259038192,0.00020896621368933637,1.204353565967649e-09,0.4498454234697581,0.010747017791640882,0.2826207879947939,1.0,0.0063753465651907315
Fase 2,14.950000000000001,0.0007733081440592183,0.0007733078934136977,0.03609007993726169,0.036402191236226226,0.4680180375534983,0.00020739571392907764,1.2139433669215745e-09,0.44986967030898867,0.01008939370433799,0.2827853344080168,1.0,0.006266516241474474
Fase 2,14.96,0.000774365771271124,0.0007743653858841809,0.036113087277840294,0.036380396237609136,0.46807592936395986,0.00020583337060468997,1.2316748503916378e-09,0.4498937023654807,0.009494989627466751,0.28295307278494275,1.0,0.00633284474707457
Fase 2,14.97,0.0007754199322424531,0.0007754194158589444,0.036136075999590574,0.03635860911868347,0.46813349917692404,0.0002042791633375547,1.2479065304152847e-09,0.449917520214867,0.009573589018138581,0.2831206432207886,1.0,0.006325942029129446
Fase 2,14.98,0.0007764705145863536,0.0007764698708620055,0.03615904646872151,0.03633682954202184,0.4681907438971771,0.0002027327890168858,1.2822625218968427e-09,0.44994111978008067,0.010439328862261505,0.28329058165034476,1.0,0.006198325825944814
Fase 2,14.99,0.0007775174065022435,0.0007775166390033178,0.03618200064526789,0.03631505534373614,0.4682476549913289,0.00020119411308924988,1.3215976554302328e-09,0.4499644777843416,0.011244072317641456,0.28346347042842784,1.0,0.005570925828827298
Fase 2,15.0,0.000778560496772024,0.0007785596089745356,0.03620494047927473,0.03629328340994235,0.46830422233506125,0.00019966303827003492,1.3670944312576613e-09,0.44998756522781813,0.011887726896682847,0.283638786415465,1.0,0.004861918238344594
Fase 2,15.01,0.0007795996747689082,0.0007795986700578604,0.03622786747759992,0.03627151078379097,0.46836043600506744,0.0001981394803320625,1.4199955489343485e-09,0.45001035364955,0.012353269455948102,0.28381696903286624,1.0,0.00421501788824766
Fase 2,15.02,0.0007806348304654089,0.0007806337121341376,0.036250783003988596,0.03624973467848889,0.4684162864446816,0.0001966233749323415,1.4780793716263353e-09,0.4500328156378525,0.012628452664077043,0.28399807167489777,1.0,0.003641120202329021
Fase 2,15.030000000000001,0.0007816658544423083,0.0007816646256919377,0.03627368824457569,0.036227952537316935,0.468471764391025,0.00019511466738146097,1.5338292501229106e-09,0.45005492471276454,0.012730494525525823,0.28418171009617527,1.0,0.0031346050560831173
Fase 2,15.040000000000001,0.0007826926378981516,0.0007826913018371085,0.03629658428461591,0.03620616195102232,0.4685268610041547,0.00019361330099903318,1.5961514187723093e-09,0.45007665566156596,0.01265991204804735,0.2843655617840808,1.0,0.0026946386632704304
Fase 2,15.05,0.000783715072658469,0.0007837136323019671,0.03631947219399078,0.036184360589087514,0.46858156834583015,0.0001921192131326008,1.6672593045742807e-09,0.4500979862243363,0.01241973816714806,0.2845487410386158,1.0,0.002335988908119225
Fase 2,15.06,0.0007847330511849167,0.0007847315094543882,0.03634235312259002,0.036162546188626805,0.4686358796917707,0.00019063233074507408,1.7412860896904194e-09,0.45011889835112406,0.011958159707261724,0.28472801608081744,1.0,0.0020632376348607346
Fase 2,15.07,0.0007857464665846033,0.0007857448263068646,0.03636522835067867,0.036140716566877534,0.46868979115284887,0.00018915256753714992,1.820561881225027e-09,0.4501393839706519,0.010947625463820007,0.2849076997924312,1.0,0.0019292335283237227
Fase 2,15.08,0.0007867552126067264,0.0007867534765109978,0.03638809945284432,0.03611886974568828,0.4687433152409599,0.00018768017626040869,1.8975853325703727e-09,0.4501594945935294,0.011206181723227585,0.2850899825490164,1.0,0.0025726832105208842
Fase 2,15.09,0.0007877591836580257,0.0007877573543767536,0.0364109671248467,0.03609700760482978,0.4687964569397346,0.00018621573300354473,1.9720489348440896e-09,0.450179255452683,0.011877939961702347,0.2852722556400805,1.0,0.0030168972110619164
Fase 2,15.1,0.0007887582748175046,0.0007887563548890418,0.0364338265291101,0.03607513624352405,0.4688492149250716,0.00018475961901846965,2.044025357093668e-09,0.4501986682695291,0.012608596793372171,0.2854529419756292,1.0,0.003150064167478894
Fase 2,15.11,0.0007897523818412261,0.0007897503737124254,0.03645667271904939,0.03605326069442707,0.4689015824812962,0.00018331212378274237,2.1145596810853706e-09,0.45021771491542145,0.01312819985674325,0.28563239452911915,1.0,0.0029597485582554704
Fase 2,15.120000000000001,0.0007907414011724713,0.0007907393071999877,0.03647950108879371,0.03603138465697735,0.46895355335935407,0.00018187352418313368,2.1830028925404175e-09,0.45023637892017193,0.01340946403649372,0.2858136461183704,1.0,0.002792985803367085
Fase 2,15.13,0.0007917252299496953,0.0007917230524012034,0.03650230727958595,0.03600951166642265,0.46900512153603985,0.00018044403757545973,2.253433542731522e-09,0.45025464435775064,0.013350134375448226,0.28599650877902727,1.0,0.0026236056456182904
