ventana,delta_struct,acoplamiento,error,lf,icr,irde,modo,plan,j,mezcla_nada,mezcla_preservar,mezcla_contexto,S_zona_voz,S_perturbacion,S_no_intervenir,S_contexto,V_nada,V_preservar,V_contexto,C_nada,C_preservar,C_contexto
1580,0.001195720302002058,0.35776499763288283,0.6422350023671172,0.0056676094665600255,0.12799579353125665,0.412465798265491,NO_SE,PRESERVAR,0.750850141419984,0.49485603259622585,0.5051429674038539,0.0,0.2148728539609071,0.6882226902948096,0.3573372107618675,0.31177730970519035,0.7,0.501700282839968,0.34078538156855,0.8213313946190662,1.0,0.5087012955659457
1581,0.0030010561044011264,0.3226870801291668,0.6773129198708332,0.0011804539028249814,0.10412695168228732,0.4587527914239537,NO_SE,PRESERVAR,0.7501770680854238,0.4552908797761226,0.5447081202239573,0.0,0.037567881267533895,0.8062076700213215,0.3217186780975338,0.19379232997867846,0.7,0.5003541361708476,0.25715209577254783,0.8391406609512331,1.0,0.5443587919667835
1582,0.0017536774565858973,0.29250816482332226,0.7074918351766777,9.968442227974972e-05,0.08556102648830788,0.5005446968416633,NO_SE,PRESERVAR,0.750014952663342,0.41886939130245365,0.5811296086976263,0.0,0.1453023990922696,0.7450135225916079,0.2919951998488043,0.2549864774083921,0.7,0.5000299053266839,0.2906595057892053,0.8540024000755979,1.0,0.5132459103937372
1583,0.002245846164881586,0.26681763952604687,0.7331823604739531,0.002932579648255375,0.07119165276225149,0.5375563737101577,NO_SE,PRESERVAR,0.7504398869472383,0.3854089439248116,0.6145900560752682,0.0,0.373433958622772,0.5901778293644899,0.26621840815359454,0.4098221706355101,0.7,0.5008797738944766,0.38575095485655786,0.8668907959232027,1.0,0.4700927866737415
1584,0.0016490596877686153,0.24306085102009092,0.7569391489799091,0.009321865314492415,0.05907857729861083,0.572956875258429,NO_SE,PRESERVAR,0.7513982797971739,0.35471990937612463,0.6452790906239549,0.0,0.20038109839218848,0.7490373959366298,0.24266002916899895,0.25096260406337023,0.7,0.5027965595943478,0.27718216135242635,0.8786699854155006,1.0,0.46556146494328243
1585,0.005933754097923002,0.2209944414689959,0.7790055585310041,0.018755533471554415,0.04883854316019347,0.6068496602222015,NO_SE,PRESERVAR,0.7528133300207331,0.32660840918769984,0.6733905908123795,0.0,0.06848987179200966,0.9016641958813078,0.21968311479631106,0.09833580411869225,0.7,0.5056266600414664,0.17289082364381964,0.8901584426018445,1.0,0.43371032627321543
1586,0.00419174071875162,0.19978986647792532,0.8002101335220747,0.030747523019584375,0.039915990747267226,0.6403362577914167,NO_SE,PRESERVAR,0.7546121284529377,0.30088140873539904,0.6991175912646798,0.0,0.04004359727848938,0.8436563605156373,0.19895239915941584,0.1563436394843627,0.7,0.5092242569058754,0.20557292699612323,0.9005238004202921,1.0,0.508674397713135
1587,0.003786754488562943,0.18030207266991194,0.8196979273300881,0.0447871807587187,0.0325088374090662,0.6719046920692423,NO_SE,PRESERVAR,0.7567180771138078,0.2773498995470226,0.7226491004530555,0.0,0.047781647680757704,0.652574650784453,0.17961931298693196,0.347425349215547,0.7,0.5134361542276157,0.3250407731797192,0.910190343506534,1.0,0.6744574961493862
1588,0.0016053733684511613,0.1654808190527869,0.8345191809472131,0.060161461871352816,0.027383901474381196,0.6964222633688074,NO_SE,PRESERVAR,0.759024219280703,0.2558293187488044,0.7441696812512733,0.0,0.3402619777646972,0.6010849663567503,0.16521516055289007,0.39891503364324965,0.7,0.5180484385614059,0.3548314323627911,0.917392419723555,1.0,0.4868139480671668
1589,0.00037851414136545617,0.15284080598425145,0.8471591940157486,0.07634159795085639,0.023360311973915592,0.7176787000054128,NO_SE,PRESERVAR,0.7614512396926285,0.2361441718382928,0.7638548281617842,0.0,0.3705168905203198,0.6306586416241472,0.15278295357780872,0.3693413583758528,0.7,0.5229024793852569,0.3324200779434924,0.9236085232110957,1.0,0.4359937101220116
1590,0.0008437094402206283,0.13879720497827736,0.8612027950217227,0.09316812938423817,0.01926466410978193,0.7416702541532273,NO_SE,PRESERVAR,0.7639752194076357,0.21813266588372768,0.7818663341163488,0.0,0.13116087373683902,0.5766638874838343,0.13868010046616094,0.42333611251616565,0.7,0.5279504388152715,0.3639179350125235,0.9306599497669196,1.0,0.676073802275078
1591,0.0009236165885290866,0.12683041221853678,0.8731695877814633,0.11025468476495008,0.01608595346352396,0.7624251290264504,NO_SE,PRESERVAR,0.7665382027147425,0.2016440433033377,0.798354956696738,0.0,0.27537644279276324,0.3962605653205274,0.12671326954588175,0.6037394346794727,0.7,0.5330764054294851,0.4780668631876897,0.9366433652270592,1.0,0.7230643369773148
1592,0.0010763884562867245,0.11717962443290893,0.882820375567091,0.12723087993790583,0.013731064382237592,0.7793718155164197,NO_SE,PRESERVAR,0.7690846319906859,0.18653871982784828,0.8134602801722266,0.0,0.285952547014126,0.5923748452427033,0.11705349363785733,0.40762515475729666,0.7,0.5381692639813718,0.3480505782647799,0.9414732531810713,1.0,0.5381006016702663
1593,0.0005751396506976105,0.10866022906762217,0.8913397709323778,0.14388158499650172,0.011807045381028123,0.7944865872457838,NO_SE,PRESERVAR,0.7715822377494752,0.1726891888872271,0.8273098111128472,0.0,0.27664334805197294,0.540481058564184,0.10859773426143149,0.45951894143581595,0.7,0.5431644754989505,0.37951432384641276,0.9457011328692843,1.0,0.592252368850656
1594,0.001914733466638394,0.10011315729657663,0.8998868427034233,0.16014760912858683,0.010022644263889097,0.8097963296707358,NO_SE,PRESERVAR,0.774022141369288,0.15998027243154025,0.8400187275685335,0.0,0.1581029883807643,0.7024104583636954,0.09992146728385004,0.2975895416363046,0.7,0.5480442827385761,0.2719637526129876,0.950039266358075,1.0,0.5413481967680627
1595,0.0011840943376713003,0.09373332302432524,0.9062666769756748,0.17577537614322966,0.0087859358451825,0.821319289796532,NO_SE,PRESERVAR,0.7763663064214845,0.14830666351770622,0.8516923364823669,0.0,0.1914879990619293,0.7896179916682424,0.09362233392728102,0.21038200833175758,0.7,0.5527326128429689,0.21355041194616264,0.9531888330363595,1.0,0.43615340824903837
