fase,angulo,t,ged_L,ged_R,grad_E,act_busc,coh_rel,geom,geom_baja,geom_alta,frac_L,frac_R,efic,lf
F4,60.0,18.67,0.00016017925822209522,0.0001602349253175918,1.263434326245544e-14,-0.000687542075083758,-2.12453528582334e-14,0.3592288239167548,0.3526737749982422,0.4015669441375952,0.7367341780657986,0.7736462089753097,0.1468397102818013,1
F4,60.0,18.68,0.0001608394621985761,0.00016089515363117173,1.2634335595952073e-14,-0.0006847703423534246,-2.1215122410516022e-14,0.3594296939635145,0.3529272719617946,0.40177206194203335,0.7370933711161454,0.7739862731171979,0.14749230795180676,1
F4,60.0,18.69,0.0001616008874724132,0.00016165659932609048,1.2634331988186426e-14,-0.0006819956141708161,-2.1252929782447303e-14,0.35963231402408774,0.3531829657130566,0.40197907379419234,0.7374523206464231,0.774325812270686,0.14802739121566189,1
F4,60.0,18.7,0.00016236677771640852,0.00016242250607002143,1.2634336259701876e-14,-0.0006792179849376412,-2.129067928876503e-14,0.3598366766321148,0.35344084817654253,0.40218797275773766,0.7378141058924022,0.7746680600844186,0.1485639563464277,1
F4,60.0,18.71,0.00016313711299822993,0.00016319285392214962,1.2634331988186426e-14,-0.000676437548590203,-2.1259789359894816e-14,0.3600427742652759,0.3537009112142732,0.4023987518392427,0.7381719468035103,0.7750058983278378,0.1491036511320608,1
F4,60.0,18.72,0.00016391187346139906,0.00016396762302419015,1.263434326245544e-14,-0.0006736543985996768,-2.129729733373647e-14,0.3602505993456536,0.35396314662605843,0.4026114039884442,0.7385266732002348,0.7753401993733503,0.14964826801213146,1
F4,60.0,18.73,0.00016469103859526095,0.0001647467928665576,1.2634335595952073e-14,-0.000670868627972665,-2.1265921092637807e-14,0.36046014424009715,0.35422754614978147,0.40282592209849943,0.7388875788491597,0.775680720845314,0.1501962365055613,1
F4,60.0,18.74,0.0001654745875925088,0.0001655303426435486,1.2634331988186426e-14,-0.0006680803292500315,-2.137212430363729e-14,0.3606714012605887,0.3544941014616836,0.40304229900624394,0.739240573368152,0.7760126710894871,0.15074580275206212,1
F4,60.0,18.75,0.00016626249943650935,0.00016631825134082417,1.2634336259701876e-14,-0.0006652895945082893,-2.1271314711579235e-14,0.3608843626646124,0.35476280417665135,0.40326052749245084,0.7395966189990048,0.7763475589099393,0.15129852531464388,1
F4,60.0,18.76,0.00016705475282361782,0.00016711049765301249,1.2634331988186426e-14,-0.0006624965153591011,-2.1308323017604525e-14,0.36109902065552224,0.35503364584850317,0.40348060028209154,0.7399538946463998,0.7766834729413405,0.15185524183859733,1
F4,60.0,18.77,0.0001678513258811706,0.00016790705971676093,1.263434326245544e-14,-0.0006597011829495569,-2.1345262987401714e-14,0.3613153673829157,0.3553066179702797,0.4037025100445976,0.7403133232485257,0.7770213823009484,0.15241563696503097,1
F4,60.0,18.78,0.00016865219714163097,0.00016870791605293087,1.2634335595952073e-14,-0.0006569036879623957,-2.138213306498773e-14,0.36153339494300624,0.3555817119745332,0.4039262493941244,0.7406648841344454,0.7773507702550244,0.15297830627397907,1
F4,60.0,18.79,0.00016945734481145936,0.00016951304485944622,1.2634331988186426e-14,-0.0006541041206159504,-2.1349389713998234e-14,0.36175309537899836,0.3558589192336199,0.4041518108898154,0.7410215511965076,0.777685254498142,0.15354387858586452,1
F4,60.0,18.8,0.0001702667467410021,0.0001703224239833685,1.2634336259701876e-14,-0.0006513025706645914,-2.138599612298291e-14,0.3619744606814651,0.3561382310599929,0.40437918703606807,0.7413733128787084,0.7780143284766589,0.1541138777307013,1
F4,60.0,18.81,0.0001710803806758291,0.00017113603116284678,1.2634331988186426e-14,-0.0006484991273986163,-2.142252824874355e-14,0.36219748278872643,0.3564196387064964,0.40460837028280056,0.7417259760757426,0.7783440871996137,0.15468704617161302,1
F4,60.0,18.82,0.00017165907286868762,0.0001717146926462033,1.263434326245544e-14,-0.0006456938796450262,-2.138908536887542e-14,0.362422153587229,0.3567031333666618,0.40483935302571966,0.7420755640112712,0.778670358276608,0.15515450908333092,1
F4,60.0,18.83,0.00016964813939360395,0.00016970372452047207,1.2634335595952073e-14,-0.0006428869157669159,-2.135532663515757e-14,0.36264846491192915,0.35698870617500494,0.4050721276065909,0.7424284962678627,0.7789998786704577,0.15523280551869492,1
F4,60.0,18.84,0.00016678547306142401,0.00016684101960737804,1.2634331988186426e-14,-0.000640078323664417,-2.1461531052175588e-14,0.36287640854667613,0.35727634820732396,0.4053066863135093,0.7427838422214439,0.7793316720707424,0.15657904621486513,1
F4,60.0,18.85,0.00016657877519629498,0.00016663427922869765,1.2634336259701876e-14,-0.000637268190774587,-2.1497657550422675e-14,0.36310597622459867,0.3575660504809999,0.4055430213811742,0.7431339530824667,0.7796577140219165,0.15811582894537252,1
F4,60.0,18.86,0.00016722873505010445,0.0001672841926491375,1.2634331988186426e-14,-0.000634456604071465,-2.1533725773853924e-14,0.3633371596284939,0.3578578039552974,0.4057811249911649,0.7434852269540762,0.7799847182677888,0.15877003768482445,1
F4,60.0,18.87,0.00016807145415385395,0.00016812686140111287,1.263434326245544e-14,-0.0006316436500670708,-2.1499245076757182e-14,0.36356995039121687,0.3581515995316687,0.406020989272218,0.743833968956723,0.780308809225053,0.1594706960867239,1
F4,60.0,18.88,0.00016894541150223158,0.00016900076448968042,1.2634335595952073e-14,-0.0006288294148107942,-2.1535075062299065e-14,0.36380434009607215,0.3584474280540564,0.40626260630050653,0.7441891340896848,0.7806393816159418,0.16011066756145198,1
F4,60.0,18.89,0.00016982303347417012,0.00016987832828725322,1.2634331988186426e-14,-0.0006260139838901169,-2.1429394357846683e-14,0.36404032027720873,0.35874528030919967,0.40650596809992096,0.7445382165339607,0.7809633173928466,0.16075476839243474,1
F4,60.0,18.9,0.00017070428893451548,0.0001707595216740352,1.2634336259701876e-14,-0.0006231974424311115,-2.1464863568975015e-14,0.36427788242001397,0.35904514702694096,0.40675106664235117,0.7448838014176611,0.7812833297375179,0.16140230682960707,1
F4,60.0,18.91,0.00017158914642399737,0.00017164431319021366,1.2634331988186426e-14,-0.0006203798750982759,-2.1571225511643013e-14,0.36451701796151115,0.3593470188805329,0.40699789384797,0.7452363055005362,0.7816103451388827,0.16205204030070194,1
F4,60.0,18.92,0.00017247757438675873,0.00017253267128027717,1.263434326245544e-14,-0.0006175613660950319,-2.1606679300698802e-14,0.36475771829075754,0.35965088648694904,0.4072464415855176,0.7455862841145915,0.7819344580026055,0.16270412300667805,1
F4,60.0,18.93,0.00017336953913280547,0.00017342456229469172,1.2634335595952073e-14,-0.0006147419991643366,-2.1570873514905063e-14,0.3649999747492449,0.3599567404071938,0.40749670167258856,0.7459319919456194,0.7822538391753444,0.16335671733163723,1
F4,60.0,18.94,0.00017426500878827404,0.00017431995436511686,1.2634331988186426e-14,-0.000611921857588571,-2.1534765270469246e-14,0.3652437786313012,0.3602645711466151,0.4077486658759184,0.7462799661431186,0.782575345201724,0.16401030331024644,1
F4,60.0,18.95,0.00017516395117444679,0.00017521881531357933,1.2634336259701876e-14,-0.0006091010241899286,-2.164119993378732e-14,0.3654891211844934,0.36057436915521807,0.4080023259116722,0.7466263936788698,0.7828949781563959,0.16466268302614673,1
F4,60.0,18.96,0.00017606633286678007,0.00017612111173877899,1.2634331988186426e-14,-0.0006062795813314148,-2.1604715666545864e-14,0.36573599361003234,0.36088612482798027,0.40825767344573466,0.7469664529350414,0.7832076834873524,0.16530734316712647,1
F4,60.0,18.97,0.00017697212011275314,0.00017702680991114986,1.263434326245544e-14,-0.000603457610916347,-2.1567926010213497e-14,0.3659843870631795,0.3611998285051671,0.4085147000940013,0.7473149743983548,0.7835290122122286,0.16594949011309146,1
