fase,t,ged_L,ged_R,act_busc,coherencia_rel,geom_estado,frac_L,frac_R,eficiencia,lf_activa
Fase 6,13.72,0.0005827662457597772,0.0005828112304892399,-0.05847147161021993,-0.050489348141119376,0.45194673410874586,0.7914558522493994,0.8321213815773169,0.24970781508803483,1
Fase 6,13.73,0.0005777348335656536,0.0005777797801950463,-0.058515384305069085,-0.04456991671498566,0.4520544863076348,0.7912291249957272,0.8323587430396598,0.2485124703271204,1
Fase 6,13.74,0.0005727496001891445,0.0005727945131012688,-0.05850812942557243,0.023398156586700438,0.45211489221925377,0.7911211342059863,0.8325232682175415,0.24732067045959122,1
Fase 6,13.75,0.0005678107313668447,0.0005678556067280293,-0.05853812461589769,-0.026182907611646686,0.452170994912059,0.7918305494898731,0.8318094131567286,0.24613295406439867,1
Fase 6,13.76,0.0005629184015372989,0.0005629632398152874,-0.05858688035704118,-0.05136137246944164,0.4521955288650446,0.7919072043760986,0.8317242061045463,0.2449566476115812,1
Fase 6,13.77,0.000558072786369023,0.0005581175860846324,-0.05860466702235312,-0.010361354781343923,0.4522485890510503,0.7916822482393222,0.8319502844430251,0.24379067963146456,1
Fase 6,13.780000000000001,0.0005532740564878542,0.0005533188187499825,-0.05862899877685962,-0.019174982054673807,0.4523296056359162,0.7919713787963124,0.8316671913534862,0.24262264820349963,1
Fase 6,13.790000000000001,0.0005485223818654123,0.0005485670939586471,-0.05865828550396229,-0.025913610440312755,0.4524128053944804,0.7921473376304973,0.8314871095899135,0.24146721341122718,1
Fase 6,13.8,0.0005438179154031618,0.0005438625765834568,-0.05869159811083108,-0.03144823569556115,0.45245455289831116,0.7922421424503855,0.8314440689584975,0.24031803136236016,1
Fase 6,13.81,0.0005391608187571622,0.0005392054237065943,-0.05871400723329484,-0.01710582464882433,0.45253305462454496,0.7922860662921898,0.8314112419455415,0.23917679164829944,1
Fase 6,13.82,0.000534551245748717,0.0005345957948984373,-0.058692641829037495,0.04113587698313805,0.4526396085244946,0.7924594723773016,0.8311956765298135,0.2380467528121147,1
Fase 6,13.83,0.0005299893531310345,0.0005300338478075589,-0.058727972356462044,-0.03429068114624565,0.45270270054609285,0.7934252192805799,0.8302518441101059,0.23692305528543336,1
Fase 6,13.84,0.000525475296098764,0.0005255197381553872,-0.05876182163434435,-0.032527693934956796,0.45276670066017827,0.7934777705037859,0.8302582628268752,0.23581488911631102,1
Fase 6,13.85,0.0005210092273209324,0.0005210536111783028,-0.05878161778510638,-0.01399432457008714,0.4528498609878024,0.7934589030500905,0.8302399249709373,0.23471790313020605,1
Fase 6,13.86,0.0005165912886851436,0.0005166356130775729,-0.05879204480739547,-0.001613965396588698,0.45290766728854914,0.7936876857680225,0.8299984775651095,0.23363139763277638,1
Fase 6,13.870000000000001,0.0005122216233260623,0.0005122658857399272,-0.058828811906531,-0.036784367706371085,0.45296603144441067,0.7940605750829421,0.8295951888161491,0.23256013587441685,1
Fase 6,13.88,0.0005079003698555692,0.0005079445783412756,-0.05883866416066752,-0.0011259575358945047,0.45307168269015874,0.7940501700109603,0.8295861700956935,0.2315059530632924,1
Fase 6,13.89,0.0005036276739768811,0.0005036718320916312,-0.058875359439252595,-0.036966210307692565,0.45314919352701394,0.7944473779114449,0.8292189027752388,0.23045963203597458,1
Fase 6,13.9,0.0004994036739838038,0.0004994477712659596,-0.05892949710829554,-0.06045339755252579,0.4532374264020829,0.7944196714783195,0.8292242351715663,0.22941590206647874,1
Fase 6,13.91,0.0004952284912218287,0.0004952725248788787,-0.05896350796997557,-0.03396756004488366,0.4532985171335116,0.7940885918756084,0.8295233993503149,0.22837096895663797,1
Fase 6,13.92,0.0004911022509339895,0.0004911462179969292,-0.05899961337539977,-0.03697806206985631,0.4533665208315284,0.7940379649017443,0.829523120000971,0.22734217393256723,1
Fase 6,13.93,0.0004870250745731384,0.0004870689736479061,-0.059031726629482195,-0.031889086014670796,0.4534393640747886,0.7940035820973642,0.8295343058224068,0.2263233490154005,1
Fase 6,13.94,0.00048299708172206795,0.0004830409189804345,-0.05905835235321605,-0.024781634436623855,0.4535114951189523,0.7940363827897382,0.8294988907887729,0.22531190810883991,1
