ciclo,grad_f2,grad_f13,busc_f2,busc_f13,geom_f2,geom_f13,coh_f2,coh_f13,mejor_ef,c28,c21,c29
53,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.3998891601667082,0.3536867891061605,-0.0005791597655551575,0.0005680231022657721,0.8873914814638676,1,1,1
54,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.39904526731140083,0.34629844625139355,-0.000578308697682905,0.0005682408891867469,0.8873914814638676,1,1,1
55,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.40004617130316034,0.35326438337108074,-0.0005786173524504729,0.0005729315566784923,0.8873914814638676,1,1,1
56,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39924643068905175,0.42769101830223516,-0.0005784989958359421,0.0005902459126253497,0.8873914814638676,1,1,1
57,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.3884206395089599,0.36708995180946696,-0.0005984576943921573,0.0005787397814888401,0.8873914814638676,1,1,1
58,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3964929401524904,0.34929127022430173,-0.0005821791775245733,0.0005709300472437333,0.8873914814638676,1,1,1
59,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.39930162096394545,0.35684744024476833,-0.0005810570976651787,0.0005701626231905596,0.8873914814638676,1,1,1
60,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.3989049742681908,0.36112564645929074,-0.0005787668307595921,0.0005679964478851872,0.8873914814638676,1,1,1
61,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.39847724214174857,0.3617297061258394,-0.0005772931254418338,0.0005691060216314381,0.8873914814638676,1,1,1
62,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.39877786040317154,0.3542587226568152,-0.0005792804682679101,0.000566735225248993,0.8873914814638676,1,1,1
63,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.3999652166401251,0.3525967528874068,-0.0005762416258161324,0.0005722911435888376,0.8873914814638676,1,1,1
64,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.39997086968607054,0.3537464578303365,-0.0005791557212457264,0.0005680569737392823,0.8873914814638676,1,1,1
65,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.3989346122079032,0.346464290385172,-0.0005783285309591549,0.0005682245939795265,0.8873914814638676,1,1,1
66,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.39989050117851016,0.35326454015508274,-0.0005785810397199359,0.0005729164005847929,0.8873914814638676,1,1,1
67,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.3993355919277581,0.42761436155748017,-0.0005785300613668785,0.0005902765107051516,0.8873914814638676,1,1,1
68,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38829517502502936,0.367081708723072,-0.0005984135794596944,0.0005787230967286834,0.8873914814638676,1,1,1
69,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3965189216911834,0.3491818689326176,-0.0005821945714125072,0.0005708986606065626,0.8873914814638676,1,1,1
70,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.39921475053406313,0.35687598944881993,-0.0005810802018879404,0.0005701958063764567,0.8873914814638676,1,1,1
