t,PowerBase,PowerLive,beta,sigma,noise,band,Th,Tc,Tf,envTemp,stress,LF,deltaStruct,A_sys_env,LF_exp,Lambda_exp,Regimen
48830,0.599,0.855,0.543,1.7,0.0058,1.190,14.447,15.241,12.119,-5.412,0.197,0.158,1.074,0.860,0.250,0.298,TRANSICIÓN
48835,0.593,0.844,0.543,1.7,0.0058,1.180,14.289,15.097,11.961,-5.604,0.197,0.153,1.087,0.865,0.245,0.343,TRANSICIÓN
48840,0.587,0.834,0.543,1.7,0.0058,1.171,14.126,14.950,11.745,-5.796,0.198,0.149,1.101,0.873,0.241,0.399,TRANSICIÓN
48845,0.582,0.823,0.543,1.7,0.0058,1.161,13.960,14.799,11.541,-5.987,0.197,0.145,1.115,0.882,0.236,0.595,TRANSICIÓN
48850,0.577,0.813,0.543,1.7,0.0058,1.152,13.795,14.648,11.385,-6.179,0.197,0.140,1.128,0.886,0.231,1.066,TRANSICIÓN
48855,0.572,0.804,0.543,1.7,0.0058,1.142,13.631,14.498,11.233,-6.370,0.198,0.135,1.139,0.890,0.227,1.946,TRANSICIÓN
48860,0.567,0.794,0.543,1.7,0.0058,1.133,13.466,14.346,11.062,-6.562,0.198,0.131,1.150,0.895,0.222,4.000,TRANSICIÓN
48865,0.563,0.785,0.543,1.7,0.0058,1.123,13.302,14.194,10.903,-6.753,0.198,0.127,1.160,0.900,0.218,2.144,TRANSICIÓN
48870,0.559,0.776,0.543,1.7,0.0058,1.114,13.138,14.041,10.746,-6.943,0.199,0.123,1.168,0.905,0.213,1.031,TRANSICIÓN
48875,0.555,0.768,0.543,1.7,0.0058,1.105,12.972,13.887,10.554,-7.134,0.199,0.118,1.177,0.913,0.209,0.678,TRANSICIÓN
48880,0.551,0.760,0.543,1.7,0.0058,1.105,12.807,13.732,10.397,-7.324,0.199,0.115,1.185,0.918,0.205,0.439,TRANSICIÓN
48885,0.547,0.752,0.543,1.7,0.0058,1.105,12.641,13.577,10.217,-7.515,0.199,0.111,1.193,0.926,0.201,0.354,TRANSICIÓN
48890,0.544,0.744,0.543,1.7,0.0058,1.105,12.476,13.421,10.067,-7.705,0.199,0.108,1.199,0.931,0.197,0.279,TRANSICIÓN
48895,0.554,0.737,0.543,1.7,0.0058,1.120,12.310,13.264,9.882,-7.894,0.200,0.104,1.206,0.939,0.193,0.242,RÍGIDO
48900,0.564,0.731,0.543,1.7,0.0058,1.130,12.144,13.107,9.724,-8.084,0.200,0.090,1.212,0.945,0.177,0.179,RÍGIDO
48905,0.574,0.727,0.543,1.7,0.0058,1.140,11.981,12.952,9.596,-8.273,0.200,0.078,1.216,0.948,0.163,0.141,RÍGIDO
48910,0.584,0.724,0.543,1.7,0.0058,1.150,11.820,12.797,9.450,-8.462,0.201,0.068,1.219,0.953,0.150,0.117,RÍGIDO
48915,0.594,0.722,0.543,1.7,0.0058,1.160,11.657,12.640,9.273,-8.651,0.201,0.059,1.222,0.961,0.138,0.095,RÍGIDO
48920,0.604,0.721,0.543,1.7,0.0058,1.170,11.495,12.484,9.108,-8.840,0.201,0.051,1.225,0.967,0.127,0.075,RÍGIDO
48925,0.614,0.722,0.543,1.7,0.0058,1.180,11.335,12.329,8.988,-9.028,0.202,0.044,1.227,0.970,0.118,0.060,RÍGIDO
48930,0.624,0.723,0.543,1.7,0.0058,1.190,11.178,12.175,8.849,-9.216,0.203,0.038,1.227,0.974,0.109,0.051,RÍGIDO
48935,0.634,0.725,0.543,1.7,0.0058,1.200,11.021,12.021,8.702,-9.404,0.203,0.033,1.227,0.979,0.101,0.042,RÍGIDO
48940,0.644,0.728,0.543,1.7,0.0058,1.210,10.867,11.869,8.579,-9.592,0.203,0.029,1.226,0.981,0.094,0.035,RÍGIDO
48945,0.654,0.731,0.543,1.7,0.0058,1.220,10.719,11.721,8.497,-9.780,0.204,0.026,1.222,0.980,0.087,0.030,RÍGIDO
48950,0.664,0.736,0.543,1.7,0.0058,1.230,10.575,11.574,8.396,-9.967,0.205,0.023,1.217,0.981,0.082,0.027,RÍGIDO
48955,0.674,0.740,0.543,1.7,0.0058,1.240,10.432,11.429,8.269,-10.154,0.206,0.020,1.211,0.984,0.076,0.023,RÍGIDO
48960,0.684,0.746,0.543,1.7,0.0058,1.250,10.292,11.286,8.161,-10.340,0.207,0.018,1.205,0.985,0.072,0.020,RÍGIDO
48965,0.694,0.752,0.543,1.7,0.0058,1.260,10.153,11.143,8.037,-10.527,0.208,0.016,1.198,0.988,0.068,0.018,RÍGIDO
48970,0.704,0.758,0.543,1.7,0.0058,1.270,10.019,11.004,7.960,-10.713,0.209,0.015,1.190,0.987,0.064,0.016,RÍGIDO
48975,0.714,0.765,0.543,1.7,0.0058,1.280,9.887,10.866,7.841,-10.899,0.210,0.013,1.182,0.989,0.061,0.014,RÍGIDO
48980,0.724,0.773,0.543,1.7,0.0058,1.290,9.760,10.732,7.783,-11.084,0.211,0.012,1.172,0.986,0.059,0.013,RÍGIDO
48985,0.734,0.780,0.543,1.7,0.0058,1.300,9.635,10.599,7.680,-11.270,0.212,0.011,1.161,0.987,0.056,0.012,RÍGIDO
48990,0.744,0.788,0.543,1.7,0.0058,1.310,9.515,10.470,7.606,-11.455,0.213,0.011,1.150,0.986,0.054,0.011,RÍGIDO
48995,0.754,0.797,0.543,1.7,0.0058,1.320,9.397,10.342,7.523,-11.639,0.214,0.010,1.138,0.985,0.053,0.010,RÍGIDO
49000,0.764,0.805,0.543,1.7,0.0058,1.330,9.283,10.217,7.438,-11.824,0.215,0.010,1.125,0.985,0.051,0.010,RÍGIDO
49005,0.774,0.814,0.543,1.7,0.0058,1.340,9.170,10.094,7.350,-12.008,0.216,0.009,1.113,0.985,0.050,0.009,RÍGIDO
49010,0.784,0.823,0.543,1.7,0.0058,1.350,9.060,9.972,7.267,-12.192,0.217,0.009,1.101,0.984,0.049,0.009,RÍGIDO
49015,0.794,0.833,0.543,1.7,0.0058,1.360,8.954,9.855,7.217,-12.375,0.218,0.009,1.087,0.981,0.049,0.009,RÍGIDO
49020,0.804,0.842,0.543,1.7,0.0058,1.370,8.851,9.739,7.134,-12.559,0.220,0.009,1.074,0.981,0.048,0.009,RÍGIDO
49025,0.814,0.852,0.543,1.7,0.0058,1.380,8.748,9.624,7.042,-12.742,0.221,0.008,1.061,0.981,0.048,0.009,RÍGIDO
49030,0.824,0.862,0.543,1.7,0.0058,1.390,8.647,9.511,6.960,-12.924,0.222,0.008,1.048,0.980,0.048,0.009,RÍGIDO
