bateria,tag,clave,potencia_base,beta,t_optima,exponente_ptc,sigma,modo,n,r_huella_acoplamiento,r_huella_brecha
bateria,B,0.8|8|0.47|2,0.47,0.8,25,4.1,8,parada,60,0.27594690812784145,0.8988762700879753
bateria,B,0.8|8|0.65|2,0.65,0.8,25,4.1,8,parada,60,0.2773712663303873,0.8623085099944711
bateria,B,0.88|3|0.3|2,0.3,0.88,25,4.1,3,parada,60,0.35082773020087726,0.9400223100992786
bateria,B,0.88|3|0.47|2,0.47,0.88,25,4.1,3,parada,60,0.37416103768495307,0.9062245296245719
bateria,B,0.88|3|0.65|2,0.65,0.88,25,4.1,3,parada,60,0.3596334332254358,0.8708294499100785
bateria,B,0.88|5|0.3|2,0.3,0.88,25,4.1,5,parada,60,0.35082773020087726,0.9400223100992786
bateria,B,0.88|5|0.47|2,0.47,0.88,25,4.1,5,parada,60,0.37416103768495307,0.9062245296245719
bateria,B,0.88|5|0.65|2,0.65,0.88,25,4.1,5,parada,60,0.3596334332254358,0.8708294499100785
bateria,B,0.88|6.8|0.3|2,0.3,0.88,25,4.1,6.8,parada,60,0.35082773020087726,0.9400223100992786
bateria,B,0.88|6.8|0.47|2,0.47,0.88,25,4.1,6.8,parada,60,0.37416103768495307,0.9062245296245719
bateria,B,0.88|6.8|0.65|2,0.65,0.88,25,4.1,6.8,parada,60,0.3596334332254358,0.8708294499100785
bateria,B,0.88|8|0.3|2,0.3,0.88,25,4.1,8,parada,60,0.35082773020087726,0.9400223100992786
bateria,B,0.88|8|0.47|2,0.47,0.88,25,4.1,8,parada,60,0.37416103768495307,0.9062245296245719
bateria,B,0.88|8|0.65|2,0.65,0.88,25,4.1,8,parada,60,0.3596334332254358,0.8708294499100785
bateria,B,0.94|3|0.3|2,0.3,0.94,25,4.1,3,parada,60,0.4423130693272506,0.9459360330727019
bateria,B,0.94|3|0.47|2,0.47,0.94,25,4.1,3,parada,60,0.452240519135323,0.9141169179525381
bateria,B,0.94|3|0.65|2,0.65,0.94,25,4.1,3,parada,60,0.4168428193438111,0.8775538088185671
bateria,B,0.94|5|0.3|2,0.3,0.94,25,4.1,5,parada,60,0.4423130693272506,0.9459360330727019
bateria,B,0.94|5|0.47|2,0.47,0.94,25,4.1,5,parada,60,0.452240519135323,0.9141169179525381
bateria,B,0.94|5|0.65|2,0.65,0.94,25,4.1,5,parada,60,0.4168428193438111,0.8775538088185671
bateria,B,0.94|6.8|0.3|2,0.3,0.94,25,4.1,6.8,parada,60,0.4423130693272506,0.9459360330727019
bateria,B,0.94|6.8|0.47|2,0.47,0.94,25,4.1,6.8,parada,60,0.452240519135323,0.9141169179525381
bateria,B,0.94|6.8|0.65|2,0.65,0.94,25,4.1,6.8,parada,60,0.4168428193438111,0.8775538088185671
bateria,B,0.94|8|0.3|2,0.3,0.94,25,4.1,8,parada,60,0.4423130693272506,0.9459360330727019
bateria,B,0.94|8|0.47|2,0.47,0.94,25,4.1,8,parada,60,0.452240519135323,0.9141169179525381
bateria,B,0.94|8|0.65|2,0.65,0.94,25,4.1,8,parada,60,0.4168428193438111,0.8775538088185671
bateria,B,0.98|3|0.3|2,0.3,0.98,25,4.1,3,parada,60,0.5087233350457486,0.9509908877531875
bateria,B,0.98|3|0.47|2,0.47,0.98,25,4.1,3,parada,60,0.5022640157362452,0.9198203402518608
bateria,B,0.98|3|0.65|2,0.65,0.98,25,4.1,3,parada,60,0.44205268070153086,0.8798551092080408
bateria,B,0.98|5|0.3|2,0.3,0.98,25,4.1,5,parada,60,0.5087233350457486,0.9509908877531875
bateria,B,0.98|5|0.47|2,0.47,0.98,25,4.1,5,parada,60,0.5022640157362452,0.9198203402518608
bateria,B,0.98|5|0.65|2,0.65,0.98,25,4.1,5,parada,60,0.44205268070153086,0.8798551092080408
bateria,B,0.98|6.8|0.3|2,0.3,0.98,25,4.1,6.8,parada,60,0.5087233350457486,0.9509908877531875
bateria,B,0.98|6.8|0.47|2,0.47,0.98,25,4.1,6.8,parada,60,0.5022640157362452,0.9198203402518608
bateria,B,0.98|6.8|0.65|2,0.65,0.98,25,4.1,6.8,parada,60,0.44205268070153086,0.8798551092080408
bateria,B,0.98|8|0.3|2,0.3,0.98,25,4.1,8,parada,60,0.5087233350457486,0.9509908877531875
bateria,B,0.98|8|0.47|2,0.47,0.98,25,4.1,8,parada,60,0.5022640157362452,0.9198203402518608
bateria,B,0.98|8|0.65|2,0.65,0.98,25,4.1,8,parada,60,0.44205268070153086,0.8798551092080408
bateria,B,0.8|3|0.3|3,0.3,0.8,25,4.1,3,parada,60,0.24860946345038665,0.9334526180376838
bateria,B,0.8|3|0.47|3,0.47,0.8,25,4.1,3,parada,60,0.2833232164446347,0.898890621570174
bateria,B,0.8|3|0.65|3,0.65,0.8,25,4.1,3,parada,60,0.2823793543582303,0.8623146890330327
bateria,B,0.8|5|0.3|3,0.3,0.8,25,4.1,5,parada,60,0.24860946345038665,0.9334526180376838
bateria,B,0.8|5|0.47|3,0.47,0.8,25,4.1,5,parada,60,0.2833232164446347,0.898890621570174
bateria,B,0.8|5|0.65|3,0.65,0.8,25,4.1,5,parada,60,0.2823793543582303,0.8623146890330327
bateria,B,0.8|6.8|0.3|3,0.3,0.8,25,4.1,6.8,parada,60,0.24860946345038665,0.9334526180376838
bateria,B,0.8|6.8|0.47|3,0.47,0.8,25,4.1,6.8,parada,60,0.2833232164446347,0.898890621570174
bateria,B,0.8|6.8|0.65|3,0.65,0.8,25,4.1,6.8,parada,60,0.2823793543582303,0.8623146890330327
bateria,B,0.8|8|0.3|3,0.3,0.8,25,4.1,8,parada,60,0.24860946345038665,0.9334526180376838
bateria,B,0.8|8|0.47|3,0.47,0.8,25,4.1,8,parada,60,0.2833232164446347,0.898890621570174
bateria,B,0.8|8|0.65|3,0.65,0.8,25,4.1,8,parada,60,0.2823793543582303,0.8623146890330327
bateria,B,0.88|3|0.3|3,0.3,0.88,25,4.1,3,parada,60,0.3612661375763385,0.9401780548029101
bateria,B,0.88|3|0.47|3,0.47,0.88,25,4.1,3,parada,60,0.380211660023211,0.9061477322996881
bateria,B,0.88|3|0.65|3,0.65,0.88,25,4.1,3,parada,60,0.3634650965471429,0.870679676018418
bateria,B,0.88|5|0.3|3,0.3,0.88,25,4.1,5,parada,60,0.3612661375763385,0.9401780548029101
bateria,B,0.88|5|0.47|3,0.47,0.88,25,4.1,5,parada,60,0.380211660023211,0.9061477322996881
bateria,B,0.88|5|0.65|3,0.65,0.88,25,4.1,5,parada,60,0.3634650965471429,0.870679676018418
bateria,B,0.88|6.8|0.3|3,0.3,0.88,25,4.1,6.8,parada,60,0.3612661375763385,0.9401780548029101
bateria,B,0.88|6.8|0.47|3,0.47,0.88,25,4.1,6.8,parada,60,0.380211660023211,0.9061477322996881
bateria,B,0.88|6.8|0.65|3,0.65,0.88,25,4.1,6.8,parada,60,0.3634650965471429,0.870679676018418
bateria,B,0.88|8|0.3|3,0.3,0.88,25,4.1,8,parada,60,0.3612661375763385,0.9401780548029101
bateria,B,0.88|8|0.47|3,0.47,0.88,25,4.1,8,parada,60,0.380211660023211,0.9061477322996881
bateria,B,0.88|8|0.65|3,0.65,0.88,25,4.1,8,parada,60,0.3634650965471429,0.870679676018418
bateria,B,0.94|3|0.3|3,0.3,0.94,25,4.1,3,parada,60,0.4506634846409706,0.9459386664360041
bateria,B,0.94|3|0.47|3,0.47,0.94,25,4.1,3,parada,60,0.4569279908808704,0.9140040999338986
bateria,B,0.94|3|0.65|3,0.65,0.94,25,4.1,3,parada,60,0.4175756576302948,0.8767789225961162
bateria,B,0.94|5|0.3|3,0.3,0.94,25,4.1,5,parada,60,0.4506634846409706,0.9459386664360041
bateria,B,0.94|5|0.47|3,0.47,0.94,25,4.1,5,parada,60,0.4569279908808704,0.9140040999338986
bateria,B,0.94|5|0.65|3,0.65,0.94,25,4.1,5,parada,60,0.4175756576302948,0.8767789225961162
bateria,B,0.94|6.8|0.3|3,0.3,0.94,25,4.1,6.8,parada,60,0.4506634846409706,0.9459386664360041
bateria,B,0.94|6.8|0.47|3,0.47,0.94,25,4.1,6.8,parada,60,0.4569279908808704,0.9140040999338986
bateria,B,0.94|6.8|0.65|3,0.65,0.94,25,4.1,6.8,parada,60,0.4175756576302948,0.8767789225961162
bateria,B,0.94|8|0.3|3,0.3,0.94,25,4.1,8,parada,60,0.4506634846409706,0.9459386664360041
bateria,B,0.94|8|0.47|3,0.47,0.94,25,4.1,8,parada,60,0.4569279908808704,0.9140040999338986
bateria,B,0.94|8|0.65|3,0.65,0.94,25,4.1,8,parada,60,0.4175756576302948,0.8767789225961162
bateria,B,0.98|3|0.3|3,0.3,0.98,25,4.1,3,parada,60,0.5152439010036188,0.9508876447711893
bateria,B,0.98|3|0.47|3,0.47,0.98,25,4.1,3,parada,60,0.5043065100325248,0.9193856898061682
bateria,B,0.98|3|0.65|3,0.65,0.98,25,4.1,3,parada,60,0.44071814194041947,0.8786861218711193
bateria,B,0.98|5|0.3|3,0.3,0.98,25,4.1,5,parada,60,0.5152439010036188,0.9508876447711893
bateria,B,0.98|5|0.47|3,0.47,0.98,25,4.1,5,parada,60,0.5043065100325248,0.9193856898061682
bateria,B,0.98|5|0.65|3,0.65,0.98,25,4.1,5,parada,60,0.44071814194041947,0.8786861218711193
bateria,B,0.98|6.8|0.3|3,0.3,0.98,25,4.1,6.8,parada,60,0.5152439010036188,0.9508876447711893
bateria,B,0.98|6.8|0.47|3,0.47,0.98,25,4.1,6.8,parada,60,0.5043065100325248,0.9193856898061682
bateria,B,0.98|6.8|0.65|3,0.65,0.98,25,4.1,6.8,parada,60,0.44071814194041947,0.8786861218711193
bateria,B,0.98|8|0.3|3,0.3,0.98,25,4.1,8,parada,60,0.5152439010036188,0.9508876447711893
bateria,B,0.98|8|0.47|3,0.47,0.98,25,4.1,8,parada,60,0.5043065100325248,0.9193856898061682
bateria,B,0.98|8|0.65|3,0.65,0.98,25,4.1,8,parada,60,0.44071814194041947,0.8786861218711193
bateria,B,0.8|3|0.3|4,0.3,0.8,25,4.1,3,parada,60,0.24508362217087895,0.9324826483408138
bateria,B,0.8|3|0.47|4,0.47,0.8,25,4.1,3,parada,60,0.28434854447266894,0.8983783683999697
bateria,B,0.8|3|0.65|4,0.65,0.8,25,4.1,3,parada,60,0.2824864449715237,0.8615772770597275
bateria,B,0.8|5|0.3|4,0.3,0.8,25,4.1,5,parada,60,0.24508362217087895,0.9324826483408138
bateria,B,0.8|5|0.47|4,0.47,0.8,25,4.1,5,parada,60,0.28434854447266894,0.8983783683999697
bateria,B,0.8|5|0.65|4,0.65,0.8,25,4.1,5,parada,60,0.2824864449715237,0.8615772770597275
bateria,B,0.8|6.8|0.3|4,0.3,0.8,25,4.1,6.8,parada,60,0.24508362217087895,0.9324826483408138
bateria,B,0.8|6.8|0.47|4,0.47,0.8,25,4.1,6.8,parada,60,0.28434854447266894,0.8983783683999697
bateria,B,0.8|6.8|0.65|4,0.65,0.8,25,4.1,6.8,parada,60,0.2824864449715237,0.8615772770597275
bateria,B,0.8|8|0.3|4,0.3,0.8,25,4.1,8,parada,60,0.24508362217087895,0.9324826483408138
bateria,B,0.8|8|0.47|4,0.47,0.8,25,4.1,8,parada,60,0.28434854447266894,0.8983783683999697
bateria,B,0.8|8|0.65|4,0.65,0.8,25,4.1,8,parada,60,0.2824864449715237,0.8615772770597275
bateria,B,0.88|3|0.3|4,0.3,0.88,25,4.1,3,parada,60,0.3604342769934729,0.9395686111076943
bateria,B,0.88|3|0.47|4,0.47,0.88,25,4.1,3,parada,60,0.3803645171710418,0.9055162912463682
bateria,B,0.88|3|0.65|4,0.65,0.88,25,4.1,3,parada,60,0.36372421759441964,0.8702509782661932
bateria,B,0.88|5|0.3|4,0.3,0.88,25,4.1,5,parada,60,0.3604342769934729,0.9395686111076943
bateria,B,0.88|5|0.47|4,0.47,0.88,25,4.1,5,parada,60,0.3803645171710418,0.9055162912463682
